Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Beacon of Unrest,5.0,['B'],['B'],None,['Sorcery'],None,Rare,2XM,None,None,None,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.
Grim Lavamancer,1.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,2XM,1,1,None,"{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to any target."
"Godo, Bandit Warlord",6.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Barbarian']",Rare,2XM,3,3,None,"When Godo, Bandit Warlord enters the battlefield, you may search your library for an Equipment card, put it onto the battlefield, then shuffle.\nWhenever Godo attacks for the first time each turn, untap it and all Samurai you control. After this phase, there is an additional combat phase."
Ad Nauseam,5.0,['B'],['B'],None,['Instant'],None,Rare,2XM,None,None,None,Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.
Goblin Guide,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Scout']",Rare,2XM,2,2,None,"Haste\nWhenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand."
Goblin Gaveleer,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,2XM,1,1,None,Trample\nGoblin Gaveleer gets +2/+0 for each Equipment attached to it.
Galvanic Blast,1.0,['R'],['R'],None,['Instant'],None,Uncommon,2XM,None,None,None,Galvanic Blast deals 2 damage to any target.\nMetalcraft — Galvanic Blast deals 4 damage instead if you control three or more artifacts.
Dualcaster Mage,3.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Rare,2XM,2,2,None,"Flash\nWhen Dualcaster Mage enters the battlefield, copy target instant or sorcery spell. You may choose new targets for the copy."
Heat Shimmer,3.0,['R'],['R'],None,['Sorcery'],None,Rare,2XM,None,None,None,"Create a token that's a copy of target creature, except it has haste and ""At the beginning of the end step, exile this permanent."""
Dismantle,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,2XM,None,None,None,"Destroy target artifact. If that artifact had counters on it, put that many +1/+1 counters or charge counters on an artifact you control."
