Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Pearled Unicorn,3.0,['W'],['W'],None,['Creature'],['Unicorn'],Common,3ED,2,2,None,None
Manabarbs,4.0,['R'],['R'],None,['Enchantment'],None,Rare,3ED,None,None,None,"Whenever a player taps a land for mana, Manabarbs deals 1 damage to that player."
Mana Flare,3.0,['R'],['R'],None,['Enchantment'],None,Rare,3ED,None,None,None,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced."
Northern Paladin,4.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,3ED,3,3,None,"{W}{W}, {T}: Destroy target black permanent."
Raise Dead,1.0,['B'],['B'],None,['Sorcery'],None,Common,3ED,None,None,None,Return target creature card from your graveyard to your hand.
Plague Rats,3.0,['B'],['B'],None,['Creature'],['Rat'],Common,3ED,*,*,None,Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.
Pestilence,4.0,['B'],['B'],None,['Enchantment'],None,Common,3ED,None,None,None,"At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence.\n{B}: Pestilence deals 1 damage to each creature and each player."
Paralyze,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,3ED,None,None,None,"Enchant creature\nWhen Paralyze enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step.\nAt the beginning of the upkeep of enchanted creature's controller, that player may pay {4}. If the player does, untap the creature."
Nightmare,6.0,['B'],['B'],None,['Creature'],"['Nightmare', 'Horse']",Rare,3ED,*,*,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\nNightmare's power and toughness are each equal to the number of Swamps you control.
Nettling Imp,3.0,['B'],['B'],None,['Creature'],['Imp'],Uncommon,3ED,1,1,None,"{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. Destroy it at the beginning of the next end step if it didn't attack this turn. Activate only during an opponent's turn, before attackers are declared."
Nether Shadow,2.0,['B'],['B'],None,['Creature'],['Spirit'],Rare,3ED,1,1,None,"Haste\nAt the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield."
Mesa Pegasus,2.0,['W'],['W'],None,['Creature'],['Pegasus'],Common,3ED,1,1,None,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Mind Twist,1.0,['B'],['B'],None,['Sorcery'],None,Rare,3ED,None,None,None,Target player discards X cards at random.
Deathlace,1.0,['B'],['B'],None,['Instant'],None,Rare,3ED,None,None,None,Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)
Gloom,3.0,['B'],['B'],None,['Enchantment'],None,Uncommon,3ED,None,None,None,White spells cost {3} more to cast.\nActivated abilities of white enchantments cost {3} more to activate.
Hypnotic Specter,3.0,['B'],['B'],None,['Creature'],['Specter'],Uncommon,3ED,2,2,None,"Flying\nWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random."
Lance,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,3ED,None,None,None,Enchant creature\nEnchanted creature has first strike.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,3ED,None,None,None,({T}: Add {R}.)
Lord of the Pit,7.0,['B'],['B'],None,['Creature'],['Demon'],Rare,3ED,7,7,None,"Flying, trample\nAt the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you."
Howl from Beyond,1.0,['B'],['B'],None,['Instant'],None,Common,3ED,None,None,None,Target creature gets +X/+0 until end of turn.
Frozen Shade,3.0,['B'],['B'],None,['Creature'],['Shade'],Common,3ED,0,1,None,{B}: Frozen Shade gets +1/+1 until end of turn.
Fear,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,3ED,None,None,None,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Karma,4.0,['W'],['W'],None,['Enchantment'],None,Uncommon,3ED,None,None,None,"At the beginning of each player's upkeep, Karma deals damage to that player equal to the number of Swamps they control."
Granite Gargoyle,3.0,['R'],['R'],None,['Creature'],['Gargoyle'],Rare,3ED,2,2,None,Flying\n{R}: Granite Gargoyle gets +0/+1 until end of turn.
Evil Presence,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,3ED,None,None,None,Enchant land\nEnchanted land is a Swamp.
Goblin King,3.0,['R'],['R'],None,['Creature'],['Goblin'],Rare,3ED,2,2,None,Other Goblins get +1/+1 and have mountainwalk.
Island Sanctuary,2.0,['W'],['W'],None,['Enchantment'],None,Rare,3ED,None,None,None,"If you would draw a card during your draw step, instead you may skip that draw. If you do, until your next turn, you can't be attacked except by creatures with flying and/or islandwalk."
Erg Raiders,2.0,['B'],['B'],None,['Creature'],"['Human', 'Warrior']",Common,3ED,2,3,None,"At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn."
El-Hajjâj,3.0,['B'],['B'],None,['Creature'],"['Human', 'Wizard']",Rare,3ED,1,1,None,"Whenever El-Hajjâj deals damage, you gain that much life."
Demonic Attorney,3.0,['B'],['B'],None,['Sorcery'],None,Rare,3ED,None,None,None,Remove Demonic Attorney from your deck before playing if you're not playing for ante.\nEach player antes the top card of their library.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,3ED,None,None,None,({T}: Add {R}.)
Drudge Skeletons,2.0,['B'],['B'],None,['Creature'],['Skeleton'],Common,3ED,1,1,None,"{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
Deathgrip,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,3ED,None,None,None,{B}{B}: Counter target green spell.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,3ED,None,None,None,({T}: Add {R}.)
Drain Life,2.0,['B'],['B'],None,['Sorcery'],None,Common,3ED,None,None,None,"Spend only black mana on X.\nDrain Life deals X damage to any target. You gain life equal to the damage dealt, but not more life than the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,3ED,None,None,None,({T}: Add {G}.)
Demonic Tutor,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,3ED,None,None,None,"Search your library for a card, put that card into your hand, then shuffle."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,3ED,None,None,None,({T}: Add {G}.)
Demonic Hordes,6.0,['B'],['B'],None,['Creature'],['Demon'],Rare,3ED,5,5,None,"{T}: Destroy target land.\nAt the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent's choice."
Holy Strength,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,3ED,None,None,None,Enchant creature\nEnchanted creature gets +1/+2.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,3ED,None,None,None,({T}: Add {G}.)
Darkpact,3.0,['B'],['B'],None,['Sorcery'],None,Rare,3ED,None,None,None,Remove Darkpact from your deck before playing if you're not playing for ante.\nYou own target card in the ante. Exchange that card with the top card of your library.
Holy Armor,1.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,3ED,None,None,None,Enchant creature\nEnchanted creature gets +0/+2.\n{W}: Enchanted creature gets +0/+1 until end of turn.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,3ED,None,None,None,({T}: Add {B}.)
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Common,3ED,None,None,None,Add {B}{B}{B}.
Healing Salve,1.0,['W'],['W'],None,['Instant'],None,Common,3ED,None,None,None,Choose one —\n• Target player gains 3 life.\n• Prevent the next 3 damage that would be dealt to any target this turn.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,3ED,None,None,None,({T}: Add {B}.)
Cursed Land,4.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,3ED,None,None,None,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player."
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,3ED,None,None,None,({T}: Add {B}.)
Contract from Below,1.0,['B'],['B'],None,['Sorcery'],None,Rare,3ED,None,None,None,"Remove Contract from Below from your deck before playing if you're not playing for ante.\nDiscard your hand, ante the top card of your library, then draw seven cards."
Guardian Angel,1.0,['W'],['W'],None,['Instant'],None,Common,3ED,None,None,None,"Prevent the next X damage that would be dealt to any target this turn. Until end of turn, you may pay {1} any time you could cast an instant. If you do, prevent the next 1 damage that would be dealt to that permanent or player this turn."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,3ED,None,None,None,({T}: Add {U}.)
Bog Wraith,4.0,['B'],['B'],None,['Creature'],['Wraith'],Uncommon,3ED,3,3,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,3ED,None,None,None,({T}: Add {U}.)
Black Knight,2.0,['B'],['B'],None,['Creature'],"['Human', 'Knight']",Uncommon,3ED,2,2,None,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,3ED,None,None,None,({T}: Add {U}.)
Bad Moon,2.0,['B'],['B'],None,['Enchantment'],None,Rare,3ED,None,None,None,Black creatures get +1/+1.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,3ED,None,None,None,({T}: Add {W}.)
Animate Dead,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,3ED,None,None,None,"Enchant creature card in a graveyard\nWhen Animate Dead enters the battlefield, if it's on the battlefield, it loses ""enchant creature card in a graveyard"" and gains ""enchant creature put onto the battlefield with Animate Dead."" Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.\nEnchanted creature gets -1/-0."
