Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Salvaging Station,6.0,None,None,None,['Artifact'],None,Rare,5DN,None,None,None,"{T}: Return target noncreature artifact card with mana value 1 or less from your graveyard to the battlefield.\nWhenever a creature dies, you may untap Salvaging Station."
Relic Barrier,2.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,{T}: Tap target artifact.
Razormane Masticore,5.0,None,None,None,"['Artifact', 'Creature']",['Masticore'],Rare,5DN,5,5,None,"First strike (This creature deals combat damage before creatures without first strike.)\nAt the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.\nAt the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature."
Razorgrass Screen,1.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Common,5DN,2,1,None,Defender (This creature can't attack.)\nRazorgrass Screen blocks each combat if able.
Possessed Portal,8.0,None,None,None,['Artifact'],None,Rare,5DN,None,None,None,"If a player would draw a card, that player skips that draw instead.\nAt the beginning of each end step, each player sacrifices a permanent unless they discard a card."
Pentad Prism,2.0,None,None,None,['Artifact'],None,Common,5DN,None,None,None,Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\nRemove a charge counter from Pentad Prism: Add one mana of any color.
Paradise Mantle,0.0,None,None,None,['Artifact'],['Equipment'],Uncommon,5DN,None,None,None,"Equipped creature has ""{T}: Add one mana of any color.""\nEquip {1}"
Opaline Bracers,4.0,None,None,None,['Artifact'],['Equipment'],Common,5DN,None,None,None,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\nEquipped creature gets +X/+X, where X is the number of charge counters on Opaline Bracers.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Neurok Stealthsuit,2.0,None,['U'],None,['Artifact'],['Equipment'],Common,5DN,None,None,None,Equipped creature has shroud. (It can't be the target of spells or abilities.)\n{U}{U}: Attach Neurok Stealthsuit to target creature you control.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Myr Servitor,1.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Common,5DN,1,1,None,"At the beginning of your upkeep, if Myr Servitor is on the battlefield, each player returns all cards named Myr Servitor from their graveyard to the battlefield."
Myr Quadropod,4.0,None,None,None,"['Artifact', 'Creature']",['Myr'],Common,5DN,1,4,None,{3}: Switch Myr Quadropod's power and toughness until end of turn.
Mycosynth Golem,11.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,5DN,4,5,None,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nArtifact creature spells you cast have affinity for artifacts. (They cost {1} less to cast for each artifact you control.)
Lunar Avenger,7.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,5DN,2,2,None,"Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.)\nRemove a +1/+1 counter from Lunar Avenger: Lunar Avenger gains your choice of flying, first strike, or haste until end of turn."
Lantern of Insight,1.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,"Players play with the top card of their libraries revealed.\n{T}, Sacrifice Lantern of Insight: Target player shuffles."
Krark-Clan Ironworks,4.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,Sacrifice an artifact: Add {C}{C}.
Infused Arrows,4.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\n{T}, Remove X charge counters from Infused Arrows: Target creature gets -X/-X until end of turn."
Horned Helm,2.0,None,['G'],None,['Artifact'],['Equipment'],Common,5DN,None,None,None,Equipped creature gets +1/+1 and has trample.\n{G}{G}: Attach Horned Helm to target creature you control.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
Helm of Kaldra,3.0,None,None,['Legendary'],['Artifact'],['Equipment'],Rare,5DN,None,None,None,"Equipped creature has first strike, trample, and haste.\n{1}: If you control Equipment named Helm of Kaldra, Sword of Kaldra, and Shield of Kaldra, create Kaldra, a legendary 4/4 colorless Avatar creature token. Attach those Equipment to it.\nEquip {2}"
Heliophial,5.0,None,None,None,['Artifact'],None,Common,5DN,None,None,None,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\n{2}, Sacrifice Heliophial: It deals damage equal to the number of charge counters on it to any target."
Healer's Headdress,2.0,None,['W'],None,['Artifact'],['Equipment'],Common,5DN,None,None,None,"Equipped creature gets +0/+2 and has ""{T}: Prevent the next 1 damage that would be dealt to any target this turn.""\n{W}{W}: Attach Healer's Headdress to target creature you control.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
Guardian Idol,2.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,Guardian Idol enters the battlefield tapped.\n{T}: Add {C}.\n{2}: Guardian Idol becomes a 2/2 Golem artifact creature until end of turn.
Grinding Station,2.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,"{T}, Sacrifice an artifact: Target player mills three cards.\nWhenever an artifact enters the battlefield, you may untap Grinding Station."
Grafted Wargear,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,5DN,None,None,None,"Equipped creature gets +3/+2.\nWhenever Grafted Wargear becomes unattached from a permanent, sacrifice that permanent.\nEquip {0} ({0}: Attach to target creature you control. Equip only as a sorcery.)"
Goblin Cannon,4.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,{2}: Goblin Cannon deals 1 damage to any target. Sacrifice Goblin Cannon.
Gemstone Array,4.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,{2}: Put a charge counter on Gemstone Array.\nRemove a charge counter from Gemstone Array: Add one mana of any color.
Fist of Suns,3.0,None,"['B', 'G', 'R', 'U', 'W']",None,['Artifact'],None,Rare,5DN,None,None,None,You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells you cast.
Ferropede,3.0,None,None,None,"['Artifact', 'Creature']",['Insect'],Uncommon,5DN,1,1,None,"Ferropede can't be blocked.\nWhenever Ferropede deals combat damage to a player, you may remove a counter from target permanent."
Etched Oracle,4.0,None,None,None,"['Artifact', 'Creature']",['Wizard'],Uncommon,5DN,0,0,None,"Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.)\n{1}, Remove four +1/+1 counters from Etched Oracle: Target player draws three cards."
Eon Hub,5.0,None,None,None,['Artifact'],None,Rare,5DN,None,None,None,Players skip their upkeep steps.
Ensouled Scimitar,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,5DN,None,None,None,{3}: Ensouled Scimitar becomes a 1/5 Spirit artifact creature with flying until end of turn. (Equipment that's a creature can't equip a creature.)\nEquipped creature gets +1/+5.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Engineered Explosives,0.0,None,None,None,['Artifact'],None,Rare,5DN,None,None,None,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\n{2}, Sacrifice Engineered Explosives: Destroy each nonland permanent with mana value equal to the number of charge counters on Engineered Explosives."
Energy Chamber,2.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,"At the beginning of your upkeep, choose one —\n• Put a +1/+1 counter on target artifact creature.\n• Put a charge counter on target noncreature artifact."
Arachnoid,6.0,None,None,None,"['Artifact', 'Creature']",['Spider'],Uncommon,5DN,2,6,None,Reach (This creature can block creatures with flying.)
Cranial Plating,2.0,None,['B'],None,['Artifact'],['Equipment'],Common,5DN,None,None,None,Equipped creature gets +1/+0 for each artifact you control.\n{B}{B}: Attach Cranial Plating to target creature you control.\nEquip {1}
Door to Nothingness,5.0,None,"['B', 'G', 'R', 'U', 'W']",None,['Artifact'],None,Rare,5DN,None,None,None,"Door to Nothingness enters the battlefield tapped.\n{W}{W}{U}{U}{B}{B}{R}{R}{G}{G}, {T}, Sacrifice Door to Nothingness: Target player loses the game."
Doubling Cube,2.0,None,None,None,['Artifact'],None,Rare,5DN,None,None,None,"{3}, {T}: Double the amount of each type of unspent mana you have."
Crucible of Worlds,3.0,None,None,None,['Artifact'],None,Rare,5DN,None,None,None,You may play lands from your graveyard.
Conjurer's Bauble,1.0,None,None,None,['Artifact'],None,Common,5DN,None,None,None,"{T}, Sacrifice Conjurer's Bauble: Put up to one target card from your graveyard on the bottom of your library. Draw a card."
Composite Golem,6.0,None,"['B', 'G', 'R', 'U', 'W']",None,"['Artifact', 'Creature']",['Golem'],Uncommon,5DN,4,4,None,Sacrifice Composite Golem: Add {W}{U}{B}{R}{G}.
Clock of Omens,4.0,None,None,None,['Artifact'],None,Uncommon,5DN,None,None,None,Tap two untapped artifacts you control: Untap target artifact.
Clearwater Goblet,5.0,None,None,None,['Artifact'],None,Rare,5DN,None,None,None,"Sunburst (This enters the battlefield with a charge counter on it for each color of mana spent to cast it.)\nAt the beginning of your upkeep, you may gain life equal to the number of charge counters on Clearwater Goblet."
