Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Ashnod's Altar,3.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,Sacrifice a creature: Add {C}{C}.
Ankh of Mishra,2.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"Whenever a land enters the battlefield, Ankh of Mishra deals 2 damage to that land's controller."
Amulet of Kroog,2.0,None,None,None,['Artifact'],None,Common,5ED,None,None,None,"{2}, {T}: Prevent the next 1 damage that would be dealt to any target this turn."
Aladdin's Ring,8.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"{8}, {T}: Aladdin's Ring deals 4 damage to any target."
Wyluli Wolf,2.0,['G'],['G'],None,['Creature'],['Wolf'],Rare,5ED,1,1,None,{T}: Target creature gets +1/+1 until end of turn.
Wolverine Pack,4.0,['G'],['G'],None,['Creature'],['Wolverine'],Uncommon,5ED,2,4,None,"Rampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)"
Winter Blast,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,5ED,None,None,None,Tap X target creatures. Winter Blast deals 2 damage to each of those creatures with flying.
Wild Growth,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,5ED,None,None,None,"Enchant land\nWhenever enchanted land is tapped for mana, its controller adds an additional {G}."
Whirling Dervish,2.0,['G'],['G'],None,['Creature'],"['Human', 'Monk']",Uncommon,5ED,1,1,None,"Protection from black\nAt the beginning of each end step, if Whirling Dervish dealt damage to an opponent this turn, put a +1/+1 counter on it."
War Mammoth,4.0,['G'],['G'],None,['Creature'],['Elephant'],Common,5ED,3,3,None,Trample
Wanderlust,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,5ED,None,None,None,"Enchant creature\nAt the beginning of the upkeep of enchanted creature's controller, Wanderlust deals 1 damage to that player."
Wall of Brambles,3.0,['G'],['G'],None,['Creature'],"['Plant', 'Wall']",Uncommon,5ED,2,3,None,Defender (This creature can't attack.)\n{G}: Regenerate Wall of Brambles.
Verduran Enchantress,3.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Rare,5ED,0,2,None,"Whenever you cast an enchantment spell, you may draw a card."
Venom,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,5ED,None,None,None,"Enchant creature\nWhenever enchanted creature blocks or becomes blocked by a non-Wall creature, destroy the other creature at end of combat."
Untamed Wilds,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,5ED,None,None,None,"Search your library for a basic land card, put that card onto the battlefield, then shuffle."
Tsunami,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,5ED,None,None,None,Destroy all Islands.
Tranquility,3.0,['G'],['G'],None,['Sorcery'],None,Common,5ED,None,None,None,Destroy all enchantments.
Titania's Song,4.0,['G'],['G'],None,['Enchantment'],None,Rare,5ED,None,None,None,"Each noncreature artifact loses all abilities and becomes an artifact creature with power and toughness each equal to its mana value. If Titania's Song leaves the battlefield, this effect continues until end of turn."
Thicket Basilisk,5.0,['G'],['G'],None,['Creature'],['Basilisk'],Uncommon,5ED,2,4,None,"Whenever Thicket Basilisk blocks or becomes blocked by a non-Wall creature, destroy that creature at end of combat."
Tarpan,1.0,['G'],['G'],None,['Creature'],['Horse'],Common,5ED,1,1,None,"When Tarpan dies, you gain 1 life."
Sylvan Library,2.0,['G'],['G'],None,['Enchantment'],None,Rare,5ED,None,None,None,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library."
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,5ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,5ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,5ED,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,5ED,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,5ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,5ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,5ED,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,5ED,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,5ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,5ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,5ED,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,5ED,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,5ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,5ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,5ED,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,5ED,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,5ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,5ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,5ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,5ED,None,None,None,({T}: Add {W}.)
Urza's Tower,0.0,None,None,None,['Land'],"[""Urza's"", 'Tower']",Common,5ED,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant, add {C}{C}{C} instead."
Urza's Power Plant,0.0,None,None,None,['Land'],"[""Urza's"", 'Power-Plant']",Common,5ED,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Tower, add {C}{C} instead."
Urza's Mine,0.0,None,None,None,['Land'],"[""Urza's"", 'Mine']",Common,5ED,None,None,None,"{T}: Add {C}. If you control an Urza's Power-Plant and an Urza's Tower, add {C}{C} instead."
Underground River,0.0,None,"['B', 'U']",None,['Land'],None,Rare,5ED,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Underground River deals 1 damage to you.
Svyelunite Temple,0.0,None,['U'],None,['Land'],None,Uncommon,5ED,None,None,None,"Svyelunite Temple enters the battlefield tapped.\n{T}: Add {U}.\n{T}, Sacrifice Svyelunite Temple: Add {U}{U}."
Sulfurous Springs,0.0,None,"['B', 'R']",None,['Land'],None,Rare,5ED,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.
Sand Silos,0.0,None,['U'],None,['Land'],None,Rare,5ED,None,None,None,"Sand Silos enters the battlefield tapped.\nYou may choose not to untap Sand Silos during your untap step.\nAt the beginning of your upkeep, if Sand Silos is tapped, put a storage counter on it.\n{T}, Remove any number of storage counters from Sand Silos: Add {U} for each storage counter removed this way."
Ruins of Trokair,0.0,None,['W'],None,['Land'],None,Uncommon,5ED,None,None,None,"Ruins of Trokair enters the battlefield tapped.\n{T}: Add {W}.\n{T}, Sacrifice Ruins of Trokair: Add {W}{W}."
Karplusan Forest,0.0,None,"['G', 'R']",None,['Land'],None,Rare,5ED,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.
Ice Floe,0.0,None,None,None,['Land'],None,Uncommon,5ED,None,None,None,You may choose not to untap Ice Floe during your untap step.\n{T}: Tap target creature without flying that's attacking you. It doesn't untap during its controller's untap step for as long as Ice Floe remains tapped.
Icatian Store,0.0,None,['W'],None,['Land'],None,Rare,5ED,None,None,None,"Icatian Store enters the battlefield tapped.\nYou may choose not to untap Icatian Store during your untap step.\nAt the beginning of your upkeep, if Icatian Store is tapped, put a storage counter on it.\n{T}, Remove any number of storage counters from Icatian Store: Add {W} for each storage counter removed this way."
Hollow Trees,0.0,None,['G'],None,['Land'],None,Rare,5ED,None,None,None,"Hollow Trees enters the battlefield tapped.\nYou may choose not to untap Hollow Trees during your untap step.\nAt the beginning of your upkeep, if Hollow Trees is tapped, put a storage counter on it.\n{T}, Remove any number of storage counters from Hollow Trees: Add {G} for each storage counter removed this way."
Havenwood Battleground,0.0,None,['G'],None,['Land'],None,Uncommon,5ED,None,None,None,"Havenwood Battleground enters the battlefield tapped.\n{T}: Add {G}.\n{T}, Sacrifice Havenwood Battleground: Add {G}{G}."
Ebon Stronghold,0.0,None,['B'],None,['Land'],None,Uncommon,5ED,None,None,None,"Ebon Stronghold enters the battlefield tapped.\n{T}: Add {B}.\n{T}, Sacrifice Ebon Stronghold: Add {B}{B}."
Dwarven Ruins,0.0,None,['R'],None,['Land'],None,Uncommon,5ED,None,None,None,"Dwarven Ruins enters the battlefield tapped.\n{T}: Add {R}.\n{T}, Sacrifice Dwarven Ruins: Add {R}{R}."
Dwarven Hold,0.0,None,['R'],None,['Land'],None,Rare,5ED,None,None,None,"Dwarven Hold enters the battlefield tapped.\nYou may choose not to untap Dwarven Hold during your untap step.\nAt the beginning of your upkeep, if Dwarven Hold is tapped, put a storage counter on it.\n{T}, Remove any number of storage counters from Dwarven Hold: Add {R} for each storage counter removed this way."
City of Brass,0.0,None,None,None,['Land'],None,Rare,5ED,None,None,None,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color."
Brushland,0.0,None,"['G', 'W']",None,['Land'],None,Rare,5ED,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {W}. Brushland deals 1 damage to you.
Bottomless Vault,0.0,None,['B'],None,['Land'],None,Rare,5ED,None,None,None,"Bottomless Vault enters the battlefield tapped.\nYou may choose not to untap Bottomless Vault during your untap step.\nAt the beginning of your upkeep, if Bottomless Vault is tapped, put a storage counter on it.\n{T}, Remove any number of storage counters from Bottomless Vault: Add {B} for each storage counter removed this way."
Adarkar Wastes,0.0,None,"['U', 'W']",None,['Land'],None,Rare,5ED,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.
Wooden Sphere,1.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,"Whenever a player casts a green spell, you may pay {1}. If you do, you gain 1 life."
Winter Orb,2.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"As long as Winter Orb is untapped, players can't untap more than one land during their untap steps."
Wall of Spears,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Common,5ED,2,3,None,Defender (This creature can't attack.)\nFirst strike
Urza's Bauble,0.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,"{T}, Sacrifice Urza's Bauble: Look at a card at random in target player's hand. You draw a card at the beginning of the next turn's upkeep."
Nevinyrral's Disk,4.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"Nevinyrral's Disk enters the battlefield tapped.\n{1}, {T}: Destroy all artifacts, creatures, and enchantments."
The Hive,5.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"{5}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)"
Time Bomb,4.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"At the beginning of your upkeep, put a time counter on Time Bomb.\n{1}, {T}, Sacrifice Time Bomb: Time Bomb deals damage equal to the number of time counters on it to each creature and each player."
Urza's Avenger,6.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Rare,5ED,4,4,None,"{0}: Urza's Avenger gets -1/-1 and gains your choice of banding, flying, first strike, or trample until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Throne of Bone,1.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,"Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life."
Tawnos's Weaponry,2.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,"You may choose not to untap Tawnos's Weaponry during your untap step.\n{2}, {T}: Target creature gets +1/+1 for as long as Tawnos's Weaponry remains tapped."
Soul Net,1.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,"Whenever a creature dies, you may pay {1}. If you do, you gain 1 life."
Skull Catapult,4.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,"{1}, {T}, Sacrifice a creature: Skull Catapult deals 2 damage to any target."
Shapeshifter,6.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Uncommon,5ED,*,7-*,None,"As Shapeshifter enters the battlefield, choose a number between 0 and 7.\nAt the beginning of your upkeep, you may choose a number between 0 and 7.\nShapeshifter's power is equal to the last chosen number and its toughness is equal to 7 minus that number."
Serpent Generator,6.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"{4}, {T}: Create a 1/1 colorless Snake artifact creature token. It has ""Whenever this creature deals damage to a player, that player gets a poison counter."" (A player with ten or more poison counters loses the game.)"
Obelisk of Undoing,1.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"{6}, {T}: Return target permanent you both own and control to your hand."
Rod of Ruin,4.0,None,None,None,['Artifact'],None,Uncommon,5ED,None,None,None,"{3}, {T}: Rod of Ruin deals 1 damage to any target."
Millstone,2.0,None,None,None,['Artifact'],None,Rare,5ED,None,None,None,"{2}, {T}: Target player mills two cards."
