Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Goblin Glider,2.0,['R'],['R'],None,['Creature'],['Goblin'],Uncommon,8ED,1,1,None,Flying\nGoblin Glider can't block.
Goblin Raider,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,8ED,2,2,None,Goblin Raider can't block.
Goblin Chariot,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,8ED,2,2,None,Haste (This creature can attack and {T} as soon as it comes under your control.)
Furnace of Rath,4.0,['R'],['R'],None,['Enchantment'],None,Rare,8ED,None,None,None,"If a source would deal damage to a permanent or player, it deals double that damage to that permanent or player instead."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,8ED,None,None,None,({T}: Add {U}.)
Guerrilla Tactics,2.0,['R'],['R'],None,['Instant'],None,Uncommon,8ED,None,None,None,"Guerrilla Tactics deals 2 damage to any target.\nWhen a spell or ability an opponent controls causes you to discard Guerrilla Tactics, Guerrilla Tactics deals 4 damage to any target."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,8ED,None,None,None,({T}: Add {U}.)
Flashfires,4.0,['R'],['R'],None,['Sorcery'],None,Uncommon,8ED,None,None,None,Destroy all Plains.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Hammer of Bogardan,3.0,['R'],['R'],None,['Sorcery'],None,Rare,8ED,None,None,None,Hammer of Bogardan deals 3 damage to any target.\n{2}{R}{R}{R}: Return Hammer of Bogardan from your graveyard to your hand. Activate only during your upkeep.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Enrage,1.0,['R'],['R'],None,['Instant'],None,Uncommon,8ED,None,None,None,Target creature gets +X/+0 until end of turn.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Dwarven Demolition Team,3.0,['R'],['R'],None,['Creature'],['Dwarf'],Uncommon,8ED,1,1,None,{T}: Destroy target Wall.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Demolish,4.0,['R'],['R'],None,['Sorcery'],None,Uncommon,8ED,None,None,None,Destroy target artifact or land.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,8ED,None,None,None,({T}: Add {W}.)
Cinder Wall,1.0,['R'],['R'],None,['Creature'],['Wall'],Common,8ED,3,3,None,"Defender\nWhen Cinder Wall blocks, destroy it at end of combat."
Lure,3.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,8ED,None,None,None,Enchant creature\nAll creatures able to block enchanted creature do so.
Hill Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Common,8ED,3,3,None,None
Lone Wolf,3.0,['G'],['G'],None,['Creature'],['Wolf'],Common,8ED,2,2,None,You may have Lone Wolf assign its combat damage as though it weren't blocked.
Canyon Wildcat,2.0,['R'],['R'],None,['Creature'],['Cat'],Common,8ED,2,1,None,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Llanowar Behemoth,5.0,['G'],['G'],None,['Creature'],['Elemental'],Uncommon,8ED,4,4,None,Tap an untapped creature you control: Llanowar Behemoth gets +1/+1 until end of turn.
Living Terrain,4.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,8ED,None,None,None,Enchant land\nEnchanted land is a 5/6 green Treefolk creature that's still a land.
Hulking Cyclops,5.0,['R'],['R'],None,['Creature'],['Cyclops'],Uncommon,8ED,5,5,None,Hulking Cyclops can't block.
Boil,4.0,['R'],['R'],None,['Instant'],None,Uncommon,8ED,None,None,None,Destroy all Islands.
Lhurgoyf,4.0,['G'],['G'],None,['Creature'],['Lhurgoyf'],Rare,8ED,*,1+*,None,Lhurgoyf's power is equal to the number of creature cards in all graveyards and its toughness is equal to that number plus 1.
Hunted Wumpus,4.0,['G'],['G'],None,['Creature'],['Beast'],Uncommon,8ED,6,6,None,"When Hunted Wumpus enters the battlefield, each other player may put a creature card from their hand onto the battlefield."
Bloodshot Cyclops,6.0,['R'],['R'],None,['Creature'],"['Cyclops', 'Giant']",Rare,8ED,4,4,None,"{T}, Sacrifice a creature: Bloodshot Cyclops deals damage equal to the sacrificed creature's power to any target."
Horned Troll,3.0,['G'],['G'],None,['Creature'],['Troll'],Common,8ED,2,2,None,{G}: Regenerate Horned Troll.
Grizzly Bears,2.0,['G'],['G'],None,['Creature'],['Bear'],Common,8ED,2,2,None,None
Blood Moon,3.0,['R'],['R'],None,['Enchantment'],None,Rare,8ED,None,None,None,Nonbasic lands are Mountains.
Giant Spider,4.0,['G'],['G'],None,['Creature'],['Spider'],Common,8ED,2,4,None,Reach (This creature can block creatures with flying.)
Giant Growth,1.0,['G'],['G'],None,['Instant'],None,Common,8ED,None,None,None,Target creature gets +3/+3 until end of turn.
Blaze,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,8ED,None,None,None,Blaze deals X damage to any target.
