Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Fugitive Wizard,1.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,9ED,1,1,None,None
Fleeting Image,3.0,['U'],['U'],None,['Creature'],['Illusion'],Rare,9ED,2,1,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{U}: Return Fleeting Image to its owner's hand.
Serra's Blessing,2.0,['W'],['W'],None,['Enchantment'],None,Uncommon,9ED,None,None,None,Creatures you control have vigilance. (Attacking doesn't cause them to tap.)
Balduvian Barbarians,3.0,['R'],['R'],None,['Creature'],"['Human', 'Barbarian']",Common,9ED,3,2,None,None
Anarchist,5.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Uncommon,9ED,2,2,None,"When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand."
Fishliver Oil,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,9ED,None,None,None,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature has islandwalk. (It can't be blocked as long as defending player controls an Island.)
Anaba Shaman,4.0,['R'],['R'],None,['Creature'],"['Minotaur', 'Shaman']",Common,9ED,2,2,None,"{R}, {T}: Anaba Shaman deals 1 damage to any target."
Serra Angel,5.0,['W'],['W'],None,['Creature'],['Angel'],Rare,9ED,4,4,None,"Flying, vigilance"
Zombify,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,9ED,None,None,None,Return target creature card from your graveyard to the battlefield.
Seasoned Marshal,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,9ED,2,2,None,"Whenever Seasoned Marshal attacks, you may tap target creature."
Horned Turtle,3.0,['U'],['U'],None,['Creature'],['Turtle'],Common,9ED,1,4,None,None
Exhaustion,3.0,['U'],['U'],None,['Sorcery'],None,Uncommon,9ED,None,None,None,Creatures and lands target opponent controls don't untap during their next untap step.
Yawgmoth Demon,6.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Demon']",Rare,9ED,6,6,None,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nFirst strike (This creature deals combat damage before creatures without first strike.)\nAt the beginning of your upkeep, you may sacrifice an artifact. If you don't, tap Yawgmoth Demon and it deals 2 damage to you."
Shivan Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,9ED,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
Savannah Lions,1.0,['W'],['W'],None,['Creature'],['Cat'],Rare,9ED,2,1,None,None
Evacuation,5.0,['U'],['U'],None,['Instant'],None,Rare,9ED,None,None,None,Return all creatures to their owners' hands.
Flowstone Shambler,3.0,['R'],['R'],None,['Creature'],['Beast'],Common,9ED,2,2,None,{R}: Flowstone Shambler gets +1/-1 until end of turn.
Flowstone Crusher,5.0,['R'],['R'],None,['Creature'],['Beast'],Uncommon,9ED,4,4,None,{R}: Flowstone Crusher gets +1/-1 until end of turn.
Sanctum Guardian,3.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Uncommon,9ED,1,4,None,"Sacrifice Sanctum Guardian: The next time a source of your choice would deal damage to any target this turn, prevent that damage."
Dream Prowler,4.0,['U'],['U'],None,['Creature'],['Illusion'],Uncommon,9ED,1,5,None,Dream Prowler can't be blocked as long as it's attacking alone.
Flashfires,4.0,['R'],['R'],None,['Sorcery'],None,Uncommon,9ED,None,None,None,Destroy all Plains.
Flight,1.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,9ED,None,None,None,Enchant creature\nEnchanted creature has flying.
Flame Wave,7.0,['R'],['R'],None,['Sorcery'],None,Uncommon,9ED,None,None,None,Flame Wave deals 4 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Dehydration,4.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,9ED,None,None,None,Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)\nEnchanted creature doesn't untap during its controller's untap step.
Samite Healer,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Common,9ED,1,1,None,{T}: Prevent the next 1 damage that would be dealt to any target this turn.
Imaginary Pet,2.0,['U'],['U'],None,['Creature'],['Illusion'],Rare,9ED,4,4,None,"At the beginning of your upkeep, if you have a card in hand, return Imaginary Pet to its owner's hand."
Firebreathing,1.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,9ED,None,None,None,Enchant creature\n{R}: Enchanted creature gets +1/+0 until end of turn.
