Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Haystack,2.0,['W'],['W'],None,['Artifact'],None,Uncommon,ACR,None,None,None,"{2}, {T}: Target creature you control phases out."
"Ezio, Blade of Vengeance",5.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Assassin']",Mythic,ACR,5,5,None,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhenever an Assassin you control deals combat damage to a player, draw a card."
Ezio Auditore da Firenze,2.0,['B'],"['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Assassin']",Mythic,ACR,3,2,None,"Menace\nAssassin spells you cast have freerunning {B}{B}. (You may cast a spell for its freerunning cost if you dealt combat damage to a player this turn with an Assassin or commander.)\nWhenever Ezio deals combat damage to a player, you may pay {W}{U}{B}{R}{G} if that player has 10 or less life. When you do, that player loses the game."
Temporal Trespass,11.0,['U'],['U'],None,['Sorcery'],None,Mythic,ACR,None,None,None,Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)\nTake an extra turn after this one. Exile Temporal Trespass.
Leonardo da Vinci,3.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Artificer']",Mythic,ACR,3,3,None,"{3}{U}{U}: Until end of turn, Thopters you control have base power and toughness X/X, where X is the number of cards in your hand.\n{2}{U}, {T}: Draw a card, then discard a card. If the discarded card was an artifact card, exile it from your graveyard. If you do, create a token that's a copy of it, except it's a 0/2 Thopter artifact creature with flying in addition to its other types."
Cover of Darkness,2.0,['B'],['B'],None,['Enchantment'],None,Rare,ACR,None,None,None,"As Cover of Darkness enters the battlefield, choose a creature type.\nCreatures of the chosen type have fear. (They can't be blocked except by artifact creatures and/or black creatures.)"
"Eivor, Battle-Ready",5.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Assassin', 'Warrior']",Mythic,ACR,5,5,None,"Vigilance (Attacking doesn't cause this creature to tap.)\nHaste (This creature can attack as soon as it comes under your control.)\nWhenever Eivor, Battle-Ready attacks, it deals damage equal to the number of Equipment you control to each opponent."
Hidden Blade,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,ACR,None,None,None,"Flash\nWhen Hidden Blade enters the battlefield, attach it to target creature you control. If that creature is an Assassin, it gains deathtouch until end of turn.\nEquipped creature gets +1/+0 and has first strike.\nEquip {2}"
The Animus,2.0,None,None,['Legendary'],['Artifact'],None,Rare,ACR,None,None,None,"At the beginning of your end step, exile up to one target legendary creature card from a graveyard with a memory counter on it.\n{T}: Until your next turn, target legendary creature you control becomes a copy of target creature card in exile with a memory counter on it. Activate only as a sorcery."
Altaïr Ibn-La'Ahad,3.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Assassin']",Mythic,ACR,3,3,None,"First strike\nWhenever Altaïr Ibn-La'Ahad attacks, exile up to one target Assassin creature card from your graveyard with a memory counter on it. Then for each creature card you own in exile with a memory counter on it, create a tapped and attacking token that's a copy of it. Exile those tokens at end of combat."
Sword of Feast and Famine,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,ACR,None,None,None,"Equipped creature gets +2/+2 and has protection from black and from green.\nWhenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.\nEquip {2}"
"Cleopatra, Exiled Pharaoh",4.0,"['B', 'G']","['B', 'G']",['Legendary'],['Creature'],"['Human', 'Noble']",Mythic,ACR,2,4,None,"Allies — At the beginning of your end step, put a +1/+1 counter on each of up to two other target legendary creatures.\nBetrayal — Whenever a legendary creature with counters on it dies, draw a card for each counter on it. You lose 2 life."
