Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Submerged Boneyard,0.0,None,"['B', 'U']",None,['Land'],None,Common,AER,None,None,None,Submerged Boneyard enters the battlefield tapped.\n{T}: Add {U} or {B}.
Tezzeret's Simulacrum,3.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Uncommon,AER,2,3,None,"{T}: Target opponent loses 1 life. If you control a Tezzeret planeswalker, that player loses 3 life instead."
Pendulum of Patterns,2.0,None,None,None,['Artifact'],None,Common,AER,None,None,None,"When Pendulum of Patterns enters the battlefield, you gain 3 life.\n{5}, {T}, Sacrifice Pendulum of Patterns: Draw a card."
Tezzeret's Betrayal,5.0,"['B', 'U']","['B', 'U']",None,['Sorcery'],None,Rare,AER,None,None,None,"Destroy target creature. You may search your library and/or graveyard for a card named Tezzeret, Master of Metal, reveal it, and put it into your hand. If you search your library this way, shuffle."
"Tezzeret, Master of Metal",6.0,"['B', 'U']","['B', 'U']",['Legendary'],['Planeswalker'],['Tezzeret'],Mythic,AER,None,None,5,[+1]: Reveal cards from the top of your library until you reveal an artifact card. Put that card into your hand and the rest on the bottom of your library in a random order.\n[−3]: Target opponent loses life equal to the number of artifacts you control.\n[−8]: Gain control of all artifacts and creatures target opponent controls.
Tranquil Expanse,0.0,None,"['G', 'W']",None,['Land'],None,Common,AER,None,None,None,Tranquil Expanse enters the battlefield tapped.\n{T}: Add {G} or {W}.
Ajani's Aid,4.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,AER,None,None,None,"When Ajani's Aid enters the battlefield, you may search your library and/or graveyard for a card named Ajani, Valiant Protector, reveal it, and put it into your hand. If you search your library this way, shuffle.\nSacrifice Ajani's Aid: Prevent all combat damage a creature of your choice would deal this turn."
Ajani's Comrade,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Soldier']",Uncommon,AER,2,2,None,"Trample\nAt the beginning of combat on your turn, if you control an Ajani planeswalker, put a +1/+1 counter on Ajani's Comrade."
Inspiring Roar,4.0,['W'],['W'],None,['Sorcery'],None,Common,AER,None,None,None,Put a +1/+1 counter on each creature you control.
"Ajani, Valiant Protector",6.0,"['G', 'W']","['G', 'W']",['Legendary'],['Planeswalker'],['Ajani'],Mythic,AER,None,None,4,"[+2]: Put two +1/+1 counters on up to one target creature.\n[+1]: Reveal cards from the top of your library until you reveal a creature card. Put that card into your hand and the rest on the bottom of your library in a random order.\n[−11]: Put X +1/+1 counters on target creature, where X is your life total. That creature gains trample until end of turn."
Spire of Industry,0.0,None,None,None,['Land'],None,Rare,AER,None,None,None,"{T}: Add {C}.\n{T}, Pay 1 life: Add one mana of any color. Activate only if you control an artifact."
Welder Automaton,2.0,None,['R'],None,"['Artifact', 'Creature']",['Construct'],Common,AER,2,1,None,{3}{R}: Welder Automaton deals 1 damage to each opponent.
Watchful Automaton,3.0,None,['U'],None,"['Artifact', 'Creature']",['Construct'],Common,AER,2,2,None,{2}{U}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Walking Ballista,0.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,AER,0,0,None,Walking Ballista enters the battlefield with X +1/+1 counters on it.\n{4}: Put a +1/+1 counter on Walking Ballista.\nRemove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.
Verdant Automaton,2.0,None,['G'],None,"['Artifact', 'Creature']",['Construct'],Common,AER,1,2,None,{3}{G}: Put a +1/+1 counter on Verdant Automaton.
Untethered Express,4.0,None,None,None,['Artifact'],['Vehicle'],Uncommon,AER,4,4,None,"Trample\nWhenever Untethered Express attacks, put a +1/+1 counter on it.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
Universal Solvent,1.0,None,None,None,['Artifact'],None,Common,AER,None,None,None,"{7}, {T}, Sacrifice Universal Solvent: Destroy target permanent."
Treasure Keeper,4.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,AER,3,3,None,"When Treasure Keeper dies, reveal cards from the top of your library until you reveal a nonland card with mana value 3 or less. You may cast that card without paying its mana cost. Put all revealed cards not cast this way on the bottom of your library in a random order."
Servo Schematic,2.0,None,None,None,['Artifact'],None,Uncommon,AER,None,None,None,"When Servo Schematic enters the battlefield or is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token."
Scrap Trawler,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,AER,3,2,None,"Whenever Scrap Trawler or another artifact you control is put into a graveyard from the battlefield, return to your hand target artifact card in your graveyard with lesser mana value."
Reservoir Walker,5.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,AER,3,3,None,"When Reservoir Walker enters the battlefield, you gain 3 life and get {E}{E}{E} (three energy counters)."
Renegade Map,1.0,None,None,None,['Artifact'],None,Common,AER,None,None,None,"Renegade Map enters the battlefield tapped.\n{T}, Sacrifice Renegade Map: Search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Prizefighter Construct,5.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,AER,6,2,None,None
Planar Bridge,6.0,None,None,['Legendary'],['Artifact'],None,Mythic,AER,None,None,None,"{8}, {T}: Search your library for a permanent card, put it onto the battlefield, then shuffle."
Peacewalker Colossus,3.0,None,['W'],None,['Artifact'],['Vehicle'],Rare,AER,6,6,None,{1}{W}: Another target Vehicle you control becomes an artifact creature until end of turn.\nCrew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
Paradox Engine,5.0,None,None,['Legendary'],['Artifact'],None,Mythic,AER,None,None,None,"Whenever you cast a spell, untap all nonland permanents you control."
Pacification Array,1.0,None,None,None,['Artifact'],None,Uncommon,AER,None,None,None,"{2}, {T}: Tap target artifact or creature."
Ornithopter,0.0,None,None,None,"['Artifact', 'Creature']",['Thopter'],Uncommon,AER,0,2,None,Flying
Night Market Guard,3.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,AER,3,1,None,Night Market Guard can block an additional creature each combat.
Mobile Garrison,3.0,None,None,None,['Artifact'],['Vehicle'],Common,AER,3,4,None,"Whenever Mobile Garrison attacks, untap another target artifact or creature you control.\nCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
