Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Winged Boots,2.0,['U'],['U'],None,['Artifact'],['Equipment'],Rare,AFC,None,None,None,"Equipped creature has flying and ward {4}. (Whenever equipped creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {4}.)\nEquip {1}"
Phantom Steed,4.0,['U'],['U'],None,['Creature'],"['Horse', 'Illusion']",Rare,AFC,4,3,None,"Flash\nWhen Phantom Steed enters the battlefield, exile another target creature you control until Phantom Steed leaves the battlefield.\nWhenever Phantom Steed attacks, create a tapped and attacking token that's a copy of the exiled card, except it's an Illusion in addition to its other types. Sacrifice that token at end of combat."
"Prosper, Tome-Bound",4.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Tiefling', 'Warlock']",Mythic,AFC,1,4,None,"Deathtouch\nMystic Arcanum — At the beginning of your end step, exile the top card of your library. Until the end of your next turn, you may play that card.\nPact Boon — Whenever you play a card from exile, create a Treasure token."
Winds of Rath,5.0,['W'],['W'],None,['Sorcery'],None,Rare,AFC,None,None,None,Destroy all creatures that aren't enchanted. They can't be regenerated.
Zhalfirin Void,0.0,None,None,None,['Land'],None,Uncommon,AFC,None,None,None,"When Zhalfirin Void enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)\n{T}: Add {C}."
Valiant Endeavor,6.0,['W'],['W'],None,['Sorcery'],None,Rare,AFC,None,None,None,Roll two d6 and choose one result. Destroy each creature with power greater than or equal to that result. Then create a number of 2/2 white Knight creature tokens with vigilance equal to the other result.
Chaos Wand,3.0,None,None,None,['Artifact'],None,Rare,AFC,None,None,None,"{4}, {T}: Target opponent exiles cards from the top of their library until they exile an instant or sorcery card. You may cast that card without paying its mana cost. Then put the exiled cards that weren't cast this way on the bottom of that library in a random order."
Diviner's Portent,3.0,['U'],['U'],None,['Instant'],None,Rare,AFC,None,None,None,"Roll a d20 and add the number of cards in your hand.\n1—14 | Draw X cards.\n15+ | Scry X, then draw X cards."
Moonsilver Spear,4.0,None,None,None,['Artifact'],['Equipment'],Rare,AFC,None,None,None,"Equipped creature has first strike.\nWhenever equipped creature attacks, create a 4/4 white Angel creature token with flying.\nEquip {4}"
Wall of Omens,2.0,['W'],['W'],None,['Creature'],['Wall'],Uncommon,AFC,0,4,None,"Defender\nWhen Wall of Omens enters the battlefield, draw a card."
"Vitu-Ghazi, the City-Tree",0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,AFC,None,None,None,"{T}: Add {C}.\n{2}{G}{W}, {T}: Create a 1/1 green Saproling creature token."
Valorous Stance,2.0,['W'],['W'],None,['Instant'],None,Uncommon,AFC,None,None,None,"Choose one —\n• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)\n• Destroy target creature with toughness 4 or greater."
