Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Krydle of Baldur's Gate,2.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Elf', 'Rogue']",Uncommon,AFR,1,3,None,"Whenever Krydle of Baldur's Gate deals combat damage to a player, that player loses 1 life and mills a card, then you gain 1 life and scry 1.\nWhenever you attack, you may pay {2}. If you do, target creature can't be blocked this turn."
Elturgard Ranger,5.0,['G'],['G'],None,['Creature'],"['Human', 'Elf', 'Ranger']",Common,AFR,4,1,None,"Reach\nWhen Elturgard Ranger enters the battlefield, create a 2/2 green Wolf creature token."
"Kalain, Reclusive Painter",2.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Elf', 'Bard']",Uncommon,AFR,1,2,None,"When Kalain, Reclusive Painter enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")\nOther creatures you control enter the battlefield with an additional +1/+1 counter on them for each mana from a Treasure spent to cast them."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,AFR,None,None,None,({T}: Add {U}.)
"Hama Pashar, Ruin Seeker",3.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Wizard']",Uncommon,AFR,2,3,None,Room abilities of dungeons you own trigger an additional time.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,AFR,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,AFR,None,None,None,({T}: Add {W}.)
Gretchen Titchwillow,2.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Halfling', 'Druid']",Uncommon,AFR,0,4,None,{2}{G}{U}: Draw a card. You may put a land card from your hand onto the battlefield.
Fighter Class,2.0,"['R', 'W']","['R', 'W']",None,['Enchantment'],['Class'],Rare,AFR,None,None,None,"(Gain the next level as a sorcery to add its ability.)\nWhen Fighter Class enters the battlefield, search your library for an Equipment card, reveal it, put it into your hand, then shuffle.\n{1}{R}{W}: Level 2\nEquip abilities you activate cost {2} less to activate.\n{3}{R}{W}: Level 3\nWhenever a creature you control attacks, up to one target creature blocks it this combat if able."
A-Druid Class,2.0,['G'],['G'],None,['Enchantment'],['Class'],Uncommon,AFR,None,None,None,"(Gain the next level as a sorcery to add its ability.)\nLandfall — Whenever a land enters the battlefield under your control, you gain 1 life.\n{2}{G}: Level 2\nYou may play an additional land on each of your turns.\n{2}{G}: Level 3\nWhen this Class becomes level 3, target land you control becomes a creature with haste and ""This creature's power and toughness are each equal to the number of lands you control."" It's still a land."
Druid Class,2.0,['G'],['G'],None,['Enchantment'],['Class'],Uncommon,AFR,None,None,None,"(Gain the next level as a sorcery to add its ability.)\nLandfall — Whenever a land enters the battlefield under your control, you gain 1 life.\n{2}{G}: Level 2\nYou may play an additional land on each of your turns.\n{4}{G}: Level 3\nWhen this Class becomes level 3, target land you control becomes a creature with haste and ""This creature's power and toughness are each equal to the number of lands you control."" It's still a land."
Dire Wolf Prowler,3.0,['G'],['G'],None,['Creature'],['Wolf'],Common,AFR,2,2,None,{1}{G}: Dire Wolf Prowler gets +2/+2 and gains haste until end of turn. Activate only once each turn.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,AFR,None,None,None,({T}: Add {W}.)
Compelled Duel,2.0,['G'],['G'],None,['Sorcery'],None,Common,AFR,None,None,None,Target creature gets +3/+3 until end of turn and must be blocked this turn if able.
"Farideh, Devil's Chosen",4.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Tiefling', 'Warlock']",Uncommon,AFR,3,3,None,"Dark One's Own Luck — Whenever you roll one or more dice, Farideh, Devil's Chosen gains flying and menace until end of turn. If any of those results was 10 or higher, draw a card."
Circle of the Moon Druid,3.0,['G'],['G'],None,['Creature'],"['Human', 'Elf', 'Druid']",Common,AFR,2,4,None,"Bear Form — As long as it's your turn, Circle of the Moon Druid is a Bear with base power and toughness 4/2. (It loses all other creature types.)"
Circle of Dreams Druid,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,AFR,2,1,None,{T}: Add {G} for each creature you control.
The Tarrasque,9.0,['G'],['G'],['Legendary'],['Creature'],['Dinosaur'],Mythic,AFR,10,10,None,"The Tarrasque has haste and ward {10} as long as it was cast.\nWhenever The Tarrasque attacks, it fights target creature defending player controls."
Choose Your Weapon,3.0,['G'],['G'],None,['Instant'],None,Uncommon,AFR,None,None,None,Choose one —\n• Two-Weapon Fighting — Double target creature's power and toughness until end of turn.\n• Archery — This spell deals 5 damage to target creature with flying.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,AFR,None,None,None,({T}: Add {W}.)
Bull's Strength,2.0,['G'],['G'],None,['Instant'],None,Common,AFR,None,None,None,Target creature gets +2/+2 and gains trample until end of turn. Untap it.
Bulette,4.0,['G'],['G'],None,['Creature'],['Beast'],Common,AFR,3,3,None,"At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on Bulette."
Barrowin of Clan Undurr,4.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Dwarf', 'Cleric']",Uncommon,AFR,3,3,None,"When Barrowin of Clan Undurr enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)\nWhenever Barrowin of Clan Undurr attacks, return up to one creature card with mana value 3 or less from your graveyard to the battlefield if you've completed a dungeon."
"Zariel, Archduke of Avernus",4.0,['R'],['R'],['Legendary'],['Planeswalker'],['Zariel'],Mythic,AFR,None,None,4,"[+1]: Creatures you control get +1/+0 and gain haste until end of turn.\n[0]: Create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target.""\n[−6]: You get an emblem with ""At the end of the first combat phase on your turn, untap target creature you control. After this phase, there is an additional combat phase."""
"Zalto, Fire Giant Duke",5.0,['R'],['R'],['Legendary'],['Creature'],"['Giant', 'Barbarian']",Rare,AFR,7,3,None,"Trample\nWhenever Zalto, Fire Giant Duke is dealt damage, venture into the dungeon. (Enter the first room or advance to the next room.)"
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,AFR,None,None,None,({T}: Add {U}.)
You See a Pair of Goblins,3.0,['R'],['R'],None,['Instant'],None,Uncommon,AFR,None,None,None,Choose one —\n• Charge Them — Creatures you control get +2/+0 until end of turn.\n• Befriend Them — Create two 1/1 red Goblin creature tokens.
You Find Some Prisoners,2.0,['R'],['R'],None,['Instant'],None,Uncommon,AFR,None,None,None,"Choose one —\n• Break Their Chains — Destroy target artifact.\n• Interrogate Them — Exile the top three cards of target opponent's library. Choose one of them. Until the end of your next turn, you may play that card, and you may spend mana as though it were mana of any color to cast it."
A-Bruenor Battlehammer,4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Dwarf', 'Warrior']",Uncommon,AFR,5,4,None,Each creature you control gets +2/+0 for each Equipment attached to it.\n{0}: Attach target Equipment you control to target creature you control. Activate only as a sorcery and only once each turn.
You Come to the Gnoll Camp,2.0,['R'],['R'],None,['Instant'],None,Common,AFR,None,None,None,Choose one —\n• Intimidate Them — Up to two target creatures can't block this turn.\n• Fend Them Off — Target creature gets +3/+1 until end of turn.
Ellywick Tumblestrum,4.0,['G'],['G'],['Legendary'],['Planeswalker'],['Ellywick'],Mythic,AFR,None,None,4,"[+1]: Venture into the dungeon. (Enter the first room or advance to the next room.)\n[−2]: Look at the top six cards of your library. You may reveal a creature card from among them and put it into your hand. If it's legendary, you gain 3 life. Put the rest on the bottom of your library in a random order.\n[−7]: You get an emblem with ""Creatures you control have trample and haste and get +2/+2 for each differently named dungeon you've completed."""
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,AFR,None,None,None,({T}: Add {W}.)
Xorn,3.0,['R'],['R'],None,['Creature'],['Elemental'],Rare,AFR,3,2,None,"If you would create one or more Treasure tokens, instead create those tokens plus an additional Treasure token."
Wish,3.0,['R'],['R'],None,['Sorcery'],None,Rare,AFR,None,None,None,You may play a card you own from outside the game this turn.
Valor Singer,3.0,['R'],['R'],None,['Creature'],"['Tiefling', 'Bard']",Common,AFR,2,3,None,"Combat Inspiration — At the beginning of combat on your turn, target creature you control gets +1/+0 until end of turn."
