Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Woodland Stream,0.0,None,"['G', 'U']",None,['Land'],None,Common,AKH,None,None,None,Woodland Stream enters the battlefield tapped.\n{T}: Add {G} or {U}.
Tranquil Expanse,0.0,None,"['G', 'W']",None,['Land'],None,Common,AKH,None,None,None,Tranquil Expanse enters the battlefield tapped.\n{T}: Add {G} or {W}.
Timber Gorge,0.0,None,"['G', 'R']",None,['Land'],None,Common,AKH,None,None,None,Timber Gorge enters the battlefield tapped.\n{T}: Add {R} or {G}.
Submerged Boneyard,0.0,None,"['B', 'U']",None,['Land'],None,Common,AKH,None,None,None,Submerged Boneyard enters the battlefield tapped.\n{T}: Add {U} or {B}.
Meandering River,0.0,None,"['U', 'W']",None,['Land'],None,Common,AKH,None,None,None,Meandering River enters the battlefield tapped.\n{T}: Add {W} or {U}.
Highland Lake,0.0,None,"['R', 'U']",None,['Land'],None,Common,AKH,None,None,None,Highland Lake enters the battlefield tapped.\n{T}: Add {U} or {R}.
Forsaken Sanctuary,0.0,None,"['B', 'W']",None,['Land'],None,Common,AKH,None,None,None,Forsaken Sanctuary enters the battlefield tapped.\n{T}: Add {W} or {B}.
Cinder Barrens,0.0,None,"['B', 'R']",None,['Land'],None,Common,AKH,None,None,None,Cinder Barrens enters the battlefield tapped.\n{T}: Add {B} or {R}.
Foul Orchard,0.0,None,"['B', 'G']",None,['Land'],None,Common,AKH,None,None,None,Foul Orchard enters the battlefield tapped.\n{T}: Add {B} or {G}.
Tattered Mummy,2.0,['B'],['B'],None,['Creature'],"['Zombie', 'Jackal']",Common,AKH,1,2,None,"When Tattered Mummy dies, each opponent loses 2 life."
Liliana's Influence,6.0,['B'],['B'],None,['Sorcery'],None,Rare,AKH,None,None,None,"Put a -1/-1 counter on each creature you don't control. You may search your library and/or graveyard for a card named Liliana, Death Wielder, reveal it, and put it into your hand. If you search your library this way, shuffle."
Desiccated Naga,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Naga']",Uncommon,AKH,3,2,None,{3}{B}: Target opponent loses 2 life and you gain 2 life. Activate only if you control a Liliana planeswalker.
"Liliana, Death Wielder",7.0,['B'],['B'],['Legendary'],['Planeswalker'],['Liliana'],Mythic,AKH,None,None,5,[+2]: Put a -1/-1 counter on up to one target creature.\n[−3]: Destroy target creature with a -1/-1 counter on it.\n[−10]: Return all creature cards from your graveyard to the battlefield.
Stone Quarry,0.0,None,"['R', 'W']",None,['Land'],None,Common,AKH,None,None,None,Stone Quarry enters the battlefield tapped.\n{T}: Add {R} or {W}.
