Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Samut, Voice of Dissent",5.0,"['G', 'R']","['G', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Mythic,AKR,3,4,None,"Flash\nDouble strike, vigilance, haste\nOther creatures you control have haste.\n{W}, {T}: Untap another target creature."
River Hoopoe,2.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Bird'],Uncommon,AKR,1,3,None,Flying\n{3}{G}{U}: You gain 2 life and draw a card.
Refuse // Cooperate,7.0,['R'],"['R', 'U']",None,['Instant'],None,Rare,AKR,None,None,None,Refuse deals damage to target spell's controller equal to that spell's mana value.
Reduce // Rubble,6.0,['U'],"['R', 'U']",None,['Instant'],None,Uncommon,AKR,None,None,None,Counter target spell unless its controller pays {3}.
Reason // Believe,6.0,['U'],"['G', 'U']",None,['Sorcery'],None,Rare,AKR,None,None,None,Scry 3.
Rags // Riches,11.0,['B'],"['B', 'U']",None,['Sorcery'],None,Rare,AKR,None,None,None,All creatures get -2/-2 until end of turn.
Prepare // Fight,6.0,['W'],"['G', 'W']",None,['Instant'],None,Rare,AKR,None,None,None,Untap target creature. It gets +2/+2 and gains lifelink until end of turn.
Onward // Victory,6.0,['R'],"['R', 'W']",None,['Instant'],None,Uncommon,AKR,None,None,None,"Target creature gets +X/+0 until end of turn, where X is its power."
"Nissa, Steward of Elements",2.0,"['G', 'U']","['G', 'U']",['Legendary'],['Planeswalker'],['Nissa'],Mythic,AKR,None,None,X,"[+2]: Scry 2.\n[0]: Look at the top card of your library. If it's a land card or a creature card with mana value less than or equal to the number of loyalty counters on Nissa, Steward of Elements, you may put that card onto the battlefield.\n[−6]: Untap up to two target lands you control. They become 5/5 Elemental creatures with flying and haste until end of turn. They're still lands."
"Neheb, the Worthy",3.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Minotaur', 'Warrior']",Rare,AKR,2,2,None,"First strike\nOther Minotaurs you control have first strike.\nAs long as you have one or fewer cards in hand, Minotaurs you control get +2/+0.\nWhenever Neheb, the Worthy deals combat damage to a player, each player discards a card."
