Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Caldera Hellion,5.0,['R'],['R'],None,['Creature'],['Hellion'],Rare,ALA,3,3,None,"Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)\nWhen Caldera Hellion enters the battlefield, it deals 3 damage to each creature."
Bloodthorn Taunter,2.0,['R'],['R'],None,['Creature'],"['Human', 'Scout']",Common,ALA,1,1,None,Haste\n{T}: Target creature with power 5 or greater gains haste until end of turn.
Bloodpyre Elemental,5.0,['R'],['R'],None,['Creature'],['Elemental'],Common,ALA,4,1,None,Sacrifice Bloodpyre Elemental: It deals 4 damage to target creature. Activate only as a sorcery.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,ALA,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,ALA,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,ALA,None,None,None,({T}: Add {W}.)
Viscera Dragger,4.0,['B'],['B'],None,['Creature'],"['Zombie', 'Ogre', 'Warrior']",Common,ALA,3,3,None,"Cycling {2} ({2}, Discard this card: Draw a card.)\nUnearth {1}{B} ({1}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Vein Drinker,6.0,['B'],"['B', 'R']",None,['Creature'],['Vampire'],Rare,ALA,4,4,None,"Flying\n{R}, {T}: Vein Drinker deals damage equal to its power to target creature. That creature deals damage equal to its power to Vein Drinker.\nWhenever a creature dealt damage by Vein Drinker this turn dies, put a +1/+1 counter on Vein Drinker."
Seaside Citadel,0.0,None,"['G', 'U', 'W']",None,['Land'],None,Uncommon,ALA,None,None,None,"Seaside Citadel enters the battlefield tapped.\n{T}: Add {G}, {W}, or {U}."
Savage Lands,0.0,None,"['B', 'G', 'R']",None,['Land'],None,Uncommon,ALA,None,None,None,"Savage Lands enters the battlefield tapped.\n{T}: Add {B}, {R}, or {G}."
Metallurgeon,2.0,['W'],['W'],None,"['Artifact', 'Creature']","['Human', 'Artificer']",Uncommon,ALA,1,2,None,"{W}, {T}: Regenerate target artifact."
Undead Leotau,6.0,['B'],"['B', 'R']",None,['Creature'],"['Zombie', 'Cat']",Common,ALA,3,4,None,{R}: Undead Leotau gets +1/-1 until end of turn.\nUnearth {2}{B} ({2}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
Tar Fiend,6.0,['B'],['B'],None,['Creature'],['Elemental'],Rare,ALA,4,4,None,"Devour 2 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with twice that many +1/+1 counters on it.)\nWhen Tar Fiend enters the battlefield, target player discards a card for each creature it devoured."
Marble Chalice,3.0,['W'],['W'],None,['Artifact'],None,Common,ALA,None,None,None,{T}: You gain 1 life.
Skeletal Kathari,5.0,['B'],['B'],None,['Creature'],"['Bird', 'Skeleton']",Common,ALA,3,2,None,"Flying\n{B}, Sacrifice a creature: Regenerate Skeletal Kathari."
Naya Panorama,0.0,None,None,None,['Land'],None,Common,ALA,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Naya Panorama: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle."
Knight-Captain of Eos,5.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,ALA,2,2,None,"When Knight-Captain of Eos enters the battlefield, create two 1/1 white Soldier creature tokens.\n{W}, Sacrifice a Soldier: Prevent all combat damage that would be dealt this turn."
Jungle Shrine,0.0,None,"['G', 'R', 'W']",None,['Land'],None,Uncommon,ALA,None,None,None,"Jungle Shrine enters the battlefield tapped.\n{T}: Add {R}, {G}, or {W}."
Knight of the White Orchid,2.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Rare,ALA,2,2,None,"First strike\nWhen Knight of the White Orchid enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle."
Shore Snapper,3.0,['B'],"['B', 'U']",None,['Creature'],['Beast'],Common,ALA,2,2,None,{U}: Shore Snapper gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)
Akrasan Squire,1.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,ALA,1,1,None,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)"
Jund Panorama,0.0,None,None,None,['Land'],None,Common,ALA,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Jund Panorama: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle."
Shadowfeed,1.0,['B'],['B'],None,['Instant'],None,Common,ALA,None,None,None,Exile target card from a graveyard. You gain 3 life.
Guardians of Akrasa,3.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,ALA,0,4,None,"Defender (This creature can't attack.)\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)"
Grixis Panorama,0.0,None,None,None,['Land'],None,Common,ALA,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Grixis Panorama: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle."
Scavenger Drake,4.0,['B'],['B'],None,['Creature'],['Drake'],Uncommon,ALA,1,1,None,"Flying\nWhenever another creature dies, you may put a +1/+1 counter on Scavenger Drake."
Esper Panorama,0.0,None,None,None,['Land'],None,Common,ALA,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Esper Panorama: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle."
Salvage Titan,6.0,['B'],['B'],None,"['Artifact', 'Creature']",['Golem'],Rare,ALA,6,4,None,You may sacrifice three artifacts rather than pay this spell's mana cost.\nExile three artifact cards from your graveyard: Return Salvage Titan from your graveyard to your hand.
Resounding Scream,3.0,['B'],"['B', 'R', 'U']",None,['Sorcery'],None,Common,ALA,None,None,None,"Target player discards a card at random.\nCycling {5}{U}{B}{R} ({5}{U}{B}{R}, Discard this card: Draw a card.)\nWhen you cycle Resounding Scream, target player discards two cards at random."
Invincible Hymn,8.0,['W'],['W'],None,['Sorcery'],None,Rare,ALA,None,None,None,Count the number of cards in your library. Your life total becomes that number.
Bant Panorama,0.0,None,None,None,['Land'],None,Common,ALA,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice Bant Panorama: Search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle."
Crumbling Necropolis,0.0,None,"['B', 'R', 'U']",None,['Land'],None,Uncommon,ALA,None,None,None,"Crumbling Necropolis enters the battlefield tapped.\n{T}: Add {U}, {B}, or {R}."
Arcane Sanctum,0.0,None,"['B', 'U', 'W']",None,['Land'],None,Uncommon,ALA,None,None,None,"Arcane Sanctum enters the battlefield tapped.\n{T}: Add {W}, {U}, or {B}."
Puppet Conjurer,2.0,['B'],"['B', 'U']",None,"['Artifact', 'Creature']","['Human', 'Wizard']",Uncommon,ALA,1,2,None,"{U}, {T}: Create a 0/1 blue Homunculus artifact creature token.\nAt the beginning of your upkeep, sacrifice a Homunculus."
Knight of the Skyward Eye,2.0,['W'],"['G', 'W']",None,['Creature'],"['Human', 'Knight']",Common,ALA,2,2,None,{3}{G}: Knight of the Skyward Eye gets +3/+3 until end of turn. Activate only once each turn.
Onyx Goblet,3.0,['B'],['B'],None,['Artifact'],None,Common,ALA,None,None,None,{T}: Target player loses 1 life.
Immortal Coil,4.0,['B'],['B'],None,['Artifact'],None,Rare,ALA,None,None,None,"{T}, Exile two cards from your graveyard: Draw a card.\nIf damage would be dealt to you, prevent that damage. Exile a card from your graveyard for each 1 damage prevented this way.\nWhen there are no cards in your graveyard, you lose the game."
Gustrider Exuberant,3.0,['W'],['W'],None,['Creature'],"['Human', 'Wizard']",Common,ALA,1,2,None,Flying\nSacrifice Gustrider Exuberant: Creatures you control with power 5 or greater gain flying until end of turn.
Infest,3.0,['B'],['B'],None,['Sorcery'],None,Uncommon,ALA,None,None,None,All creatures get -2/-2 until end of turn.
Sigil of Distinction,0.0,None,None,None,['Artifact'],['Equipment'],Rare,ALA,None,None,None,Sigil of Distinction enters the battlefield with X charge counters on it.\nEquipped creature gets +1/+1 for each charge counter on Sigil of Distinction.\nEquip—Remove a charge counter from Sigil of Distinction.
Excommunicate,3.0,['W'],['W'],None,['Sorcery'],None,Common,ALA,None,None,None,Put target creature on top of its owner's library.
Relic of Progenitus,1.0,None,None,None,['Artifact'],None,Common,ALA,None,None,None,"{T}: Target player exiles a card from their graveyard.\n{1}, Exile Relic of Progenitus: Exile all graveyards. Draw a card."
Ethersworn Canonist,2.0,['W'],['W'],None,"['Artifact', 'Creature']","['Human', 'Cleric']",Rare,ALA,2,2,None,Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.
Sighted-Caste Sorcerer,2.0,['W'],"['U', 'W']",None,['Creature'],"['Human', 'Wizard']",Common,ALA,1,1,None,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{U}: Sighted-Caste Sorcerer gains shroud until end of turn. (It can't be the target of spells or abilities.)"
Grixis Battlemage,3.0,['B'],"['B', 'R', 'U']",None,['Creature'],"['Human', 'Wizard']",Uncommon,ALA,2,2,None,"{U}, {T}: Draw a card, then discard a card.\n{R}, {T}: Target creature can't block this turn."
