Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Phyrexian Portal,3.0,None,None,None,['Artifact'],None,Rare,ALL,None,None,None,"{3}: If your library has ten or more cards in it, target opponent looks at the top ten cards of your library and separates them into two face-down piles. Exile one of those piles. Search the other pile for a card, put it into your hand, then shuffle the rest of that pile into your library."
Phyrexian Devourer,6.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Construct']",Rare,ALL,1,1,None,"When Phyrexian Devourer's power is 7 or greater, sacrifice it.\nExile the top card of your library: Put X +1/+1 counters on Phyrexian Devourer, where X is the exiled card's mana value."
Mystic Compass,2.0,None,None,None,['Artifact'],None,Uncommon,ALL,None,None,None,"{1}, {T}: Target land becomes the basic land type of your choice until end of turn."
Mishra's Groundbreaker,4.0,None,None,None,['Artifact'],None,Uncommon,ALL,None,None,None,"{T}, Sacrifice Mishra's Groundbreaker: Target land becomes a 3/3 artifact creature that's still a land. (This effect lasts indefinitely.)"
Lodestone Bauble,0.0,None,None,None,['Artifact'],None,Rare,ALL,None,None,None,"{1}, {T}, Sacrifice Lodestone Bauble: Put up to four target basic land cards from a player's graveyard on top of their library in any order. That player draws a card at the beginning of the next turn's upkeep."
Helm of Obedience,4.0,None,None,None,['Artifact'],None,Rare,ALL,None,None,None,"{X}, {T}: Target opponent mills a card, then repeats this process until a creature card or X cards have been put into their graveyard this way, whichever comes first. If one or more creature cards were put into that graveyard this way, sacrifice Helm of Obedience and put one of them onto the battlefield under your control. X can't be 0."
Gustha's Scepter,0.0,None,None,None,['Artifact'],None,Rare,ALL,None,None,None,"{T}: Exile a card from your hand face down. You may look at it for as long as it remains exiled.\n{T}: Return a card you own exiled with Gustha's Scepter to your hand.\nWhen you lose control of Gustha's Scepter, put all cards exiled with Gustha's Scepter into their owner's graveyard."
Floodwater Dam,3.0,None,None,None,['Artifact'],None,Rare,ALL,None,None,None,"{X}{X}{1}, {T}: Tap X target lands."
Royal Decree,4.0,['W'],['W'],None,['Enchantment'],None,Rare,ALL,None,None,None,"Cumulative upkeep {W} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhenever a Swamp, Mountain, black permanent, or red permanent becomes tapped, Royal Decree deals 1 damage to that permanent's controller."
Reprisal,2.0,['W'],['W'],None,['Instant'],None,Common,ALL,None,None,None,Destroy target creature with power 4 or greater. It can't be regenerated.
Reinforcements,1.0,['W'],['W'],None,['Instant'],None,Common,ALL,None,None,None,Put up to three target creature cards from your graveyard on top of your library.
Astrolabe,3.0,None,None,None,['Artifact'],None,Common,ALL,None,None,None,"{1}, {T}, Sacrifice Astrolabe: Add two mana of any one color. Draw a card at the beginning of the next turn's upkeep."
