Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Rampaging Brontodon,7.0,['G'],['G'],None,['Creature'],['Dinosaur'],Rare,ANB,7,7,None,"Trample\nWhenever Rampaging Brontodon attacks, it gets +1/+1 until end of turn for each land you control."
Ilysian Caryatid,2.0,['G'],['G'],None,['Creature'],['Plant'],Common,ANB,1,1,None,"{T}: Add one mana of any color. If you control a creature with power 4 or greater, add two mana of any one color instead."
Greenwood Sentinel,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Scout']",Common,ANB,2,2,None,Vigilance (Attacking doesn't cause this creature to tap.)
Gigantosaurus,5.0,['G'],['G'],None,['Creature'],['Dinosaur'],Rare,ANB,10,10,None,None
Generous Stray,3.0,['G'],['G'],None,['Creature'],['Cat'],Common,ANB,1,2,None,"When Generous Stray enters the battlefield, draw a card."
Feral Roar,2.0,['G'],['G'],None,['Sorcery'],None,Common,ANB,None,None,None,Target creature gets +4/+4 until end of turn.
Epic Proportions,6.0,['G'],['G'],None,['Enchantment'],['Aura'],Rare,ANB,None,None,None,Flash\nEnchant creature\nEnchanted creature gets +5/+5 and has trample.
Colossal Majesty,3.0,['G'],['G'],None,['Enchantment'],None,Uncommon,ANB,None,None,None,"At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card."
Charging Badger,1.0,['G'],['G'],None,['Creature'],['Badger'],Common,ANB,1,1,None,Trample
World Shaper,4.0,['G'],['G'],None,['Creature'],"['Merfolk', 'Shaman']",Rare,ANB,3,3,None,"Whenever World Shaper attacks, you may mill three cards.\nWhen World Shaper dies, return all land cards from your graveyard to the battlefield tapped."
Baloth Packhunter,4.0,['G'],['G'],None,['Creature'],['Beast'],Common,ANB,3,3,None,"Trample\nWhen Baloth Packhunter enters the battlefield, put two +1/+1 counters on each other creature you control named Baloth Packhunter."
Rabid Bite,2.0,['G'],['G'],None,['Sorcery'],None,Common,ANB,None,None,None,Target creature you control deals damage equal to its power to target creature you don't control.
Affectionate Indrik,6.0,['G'],['G'],None,['Creature'],['Beast'],Uncommon,ANB,4,4,None,"When Affectionate Indrik enters the battlefield, you may have it fight target creature you don't control. (Each deals damage equal to its power to the other.)"
Woodland Mystic,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,ANB,1,1,None,{T}: Add {G}.
Volcanic Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,ANB,4,4,None,"Flying, haste"
Tin Street Cadet,1.0,['R'],['R'],None,['Creature'],['Goblin'],Common,ANB,1,1,None,"Whenever Tin Street Cadet becomes blocked, create a 1/1 red Goblin creature token."
Storm Strike,1.0,['R'],['R'],None,['Instant'],None,Common,ANB,None,None,None,Target creature gets +1/+0 and gains first strike until end of turn. Scry 1.
Jungle Delver,1.0,['G'],['G'],None,['Creature'],"['Merfolk', 'Warrior']",Common,ANB,1,1,None,{3}{G}: Put a +1/+1 counter on Jungle Delver.
Siege Dragon,7.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,ANB,5,5,None,"Flying\nWhen Siege Dragon enters the battlefield, destroy all Walls your opponents control.\nWhenever Siege Dragon attacks, if defending player controls no Walls, it deals 2 damage to each creature without flying that player controls."
Shock,1.0,['R'],['R'],None,['Instant'],None,Common,ANB,None,None,None,Shock deals 2 damage to any target.
Stony Strength,1.0,['G'],['G'],None,['Instant'],None,Common,ANB,None,None,None,Put a +1/+1 counter on target creature you control. Untap that creature.
Reduce to Ashes,5.0,['R'],['R'],None,['Sorcery'],None,Common,ANB,None,None,None,"Reduce to Ashes deals 5 damage to target creature. If that creature would die this turn, exile it instead."
Wildwood Patrol,3.0,['G'],['G'],None,['Creature'],"['Centaur', 'Scout']",Common,ANB,4,2,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Raid Bombardment,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,ANB,None,None,None,"Whenever a creature you control with power 2 or less attacks, Raid Bombardment deals 1 damage to the player or planeswalker that creature is attacking."
Raging Goblin,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Common,ANB,1,1,None,Haste (This creature can attack and {T} as soon as it comes under your control.)
Ogre Battledriver,4.0,['R'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Rare,ANB,3,3,None,"Whenever another creature enters the battlefield under your control, that creature gets +2/+0 and gains haste until end of turn. (It can attack and {T} this turn.)"
Nest Robber,2.0,['R'],['R'],None,['Creature'],['Dinosaur'],Common,ANB,2,1,None,Haste
Molten Ravager,3.0,['R'],['R'],None,['Creature'],['Elemental'],Common,ANB,0,4,None,{R}: Molten Ravager gets +1/+0 until end of turn.
Maniacal Rage,2.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,ANB,None,None,None,Enchant creature\nEnchanted creature gets +2/+2 and can't block.
