Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Gerrard's Verdict,2.0,"['B', 'W']","['B', 'W']",None,['Sorcery'],None,Uncommon,APC,None,None,None,Target player discards two cards. You gain 3 life for each land card discarded this way.
Overgrown Estate,3.0,"['B', 'G', 'W']","['B', 'G', 'W']",None,['Enchantment'],None,Rare,APC,None,None,None,Sacrifice a land: You gain 3 life.
Powerstone Minefield,4.0,"['R', 'W']","['R', 'W']",None,['Enchantment'],None,Rare,APC,None,None,None,"Whenever a creature attacks or blocks, Powerstone Minefield deals 2 damage to it."
Prophetic Bolt,5.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Rare,APC,None,None,None,Prophetic Bolt deals 4 damage to any target. Look at the top four cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order.
Pernicious Deed,3.0,"['B', 'G']","['B', 'G']",None,['Enchantment'],None,Rare,APC,None,None,None,"{X}, Sacrifice Pernicious Deed: Destroy each artifact, creature, and enchantment with mana value X or less."
Mystic Snake,4.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Snake'],Rare,APC,2,2,None,"Flash\nWhen Mystic Snake enters the battlefield, counter target spell."
Minotaur Illusionist,5.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Minotaur', 'Wizard']",Uncommon,APC,3,4,None,"{1}{U}: Minotaur Illusionist gains shroud until end of turn. (It can't be the target of spells or abilities.)\n{R}, Sacrifice Minotaur Illusionist: It deals damage equal to its power to target creature."
Martyrs' Tomb,4.0,"['B', 'W']","['B', 'W']",None,['Enchantment'],None,Uncommon,APC,None,None,None,Pay 2 life: Prevent the next 1 damage that would be dealt to target creature this turn.
Llanowar Dead,2.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Zombie', 'Elf']",Common,APC,2,2,None,{T}: Add {B}.
Lightning Angel,4.0,"['R', 'U', 'W']","['R', 'U', 'W']",None,['Creature'],['Angel'],Rare,APC,3,4,None,"Flying, vigilance, haste"
Goblin Legionnaire,2.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Goblin', 'Soldier']",Common,APC,2,2,None,"{R}, Sacrifice Goblin Legionnaire: It deals 2 damage to any target.\n{W}, Sacrifice Goblin Legionnaire: Prevent the next 2 damage that would be dealt to any target this turn."
Last Stand,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",None,['Sorcery'],None,Rare,APC,None,None,None,"Target opponent loses 2 life for each Swamp you control. Last Stand deals damage to target creature equal to the number of Mountains you control. Create a 1/1 green Saproling creature token for each Forest you control. You gain 2 life for each Plains you control. Draw a card for each Island you control, then discard that many cards."
Gaea's Skyfolk,2.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Elf', 'Merfolk']",Common,APC,2,2,None,Flying
Jungle Barrier,4.0,"['G', 'U']","['G', 'U']",None,['Creature'],"['Plant', 'Wall']",Uncommon,APC,2,6,None,"Defender (This creature can't attack.)\nWhen Jungle Barrier enters the battlefield, draw a card."
Guided Passage,3.0,"['G', 'R', 'U']","['G', 'R', 'U']",None,['Sorcery'],None,Rare,APC,None,None,None,"Reveal the cards in your library. An opponent chooses from among them a creature card, a land card, and a noncreature, nonland card. You put the chosen cards into your hand. Then shuffle."
Goblin Trenches,3.0,"['R', 'W']","['R', 'W']",None,['Enchantment'],None,Rare,APC,None,None,None,"{2}, Sacrifice a land: Create two 1/1 red and white Goblin Soldier creature tokens."
Fungal Shambler,7.0,"['B', 'G', 'U']","['B', 'G', 'U']",None,['Creature'],"['Fungus', 'Beast']",Rare,APC,6,4,None,"Trample\nWhenever Fungal Shambler deals damage to an opponent, you draw a card and that opponent discards a card."
Flowstone Charger,4.0,"['R', 'W']","['R', 'W']",None,['Creature'],['Beast'],Uncommon,APC,2,5,None,"Whenever Flowstone Charger attacks, it gets +3/-3 until end of turn."
Fervent Charge,4.0,"['B', 'R', 'W']","['B', 'R', 'W']",None,['Enchantment'],None,Rare,APC,None,None,None,"Whenever a creature you control attacks, it gets +2/+2 until end of turn."
Ebony Treefolk,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Treefolk'],Uncommon,APC,3,3,None,{B}{G}: Ebony Treefolk gets +1/+1 until end of turn.
Death Mutation,8.0,"['B', 'G']","['B', 'G']",None,['Sorcery'],None,Uncommon,APC,None,None,None,"Destroy target nonblack creature. It can't be regenerated. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value."
Death Grasp,2.0,"['B', 'W']","['B', 'W']",None,['Sorcery'],None,Rare,APC,None,None,None,Death Grasp deals X damage to any target. You gain X life.
Cromat,5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],['Illusion'],Rare,APC,5,5,None,{W}{B}: Destroy target creature blocking or blocked by Cromat.\n{U}{R}: Cromat gains flying until end of turn.\n{B}{G}: Regenerate Cromat.\n{R}{W}: Cromat gets +1/+1 until end of turn.\n{G}{U}: Put Cromat on top of its owner's library.
Consume Strength,3.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Common,APC,None,None,None,Target creature gets +2/+2 until end of turn. Another target creature gets -2/-2 until end of turn.
Captain's Maneuver,2.0,"['R', 'W']","['R', 'W']",None,['Instant'],None,Uncommon,APC,None,None,None,"The next X damage that would be dealt to target creature, planeswalker, or player this turn is dealt to another target creature, planeswalker, or player instead."
Aether Mutation,5.0,"['G', 'U']","['G', 'U']",None,['Sorcery'],None,Uncommon,APC,None,None,None,"Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value."
Urborg Elf,2.0,['G'],"['B', 'G', 'U']",None,['Creature'],"['Elf', 'Druid']",Common,APC,1,1,None,"{T}: Add {B}, {G}, or {U}."
Tranquil Path,5.0,['G'],['G'],None,['Sorcery'],None,Common,APC,None,None,None,Destroy all enchantments.\nDraw a card.
Symbiotic Deployment,3.0,['G'],['G'],None,['Enchantment'],None,Rare,APC,None,None,None,"Skip your draw step.\n{1}, Tap two untapped creatures you control: Draw a card."
Sylvan Messenger,4.0,['G'],['G'],None,['Creature'],['Elf'],Uncommon,APC,2,2,None,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)\nWhen Sylvan Messenger enters the battlefield, reveal the top four cards of your library. Put all Elf cards revealed this way into your hand and the rest on the bottom of your library in any order."
Quicksilver Dagger,3.0,"['R', 'U']","['R', 'U']",None,['Enchantment'],['Aura'],Common,APC,None,None,None,"Enchant creature\nEnchanted creature has ""{T}: This creature deals 1 damage to target player or planeswalker. You draw a card."""
Strength of Night,3.0,['G'],"['B', 'G']",None,['Instant'],None,Common,APC,None,None,None,"Kicker {B} (You may pay an additional {B} as you cast this spell.)\nCreatures you control get +1/+1 until end of turn. If this spell was kicked, Zombie creatures you control get an additional +2/+2 until end of turn."
Savage Gorilla,5.0,['G'],"['B', 'G', 'U']",None,['Creature'],['Ape'],Common,APC,3,3,None,"{U}{B}, {T}, Sacrifice Savage Gorilla: Target creature gets -3/-3 until end of turn. Draw a card."
Penumbra Wurm,7.0,['G'],['G'],None,['Creature'],['Wurm'],Rare,APC,6,6,None,"Trample\nWhen Penumbra Wurm dies, create a 6/6 black Wurm creature token with trample."
Penumbra Kavu,5.0,['G'],['G'],None,['Creature'],['Kavu'],Uncommon,APC,3,3,None,"When Penumbra Kavu dies, create a 3/3 black Kavu creature token."
Penumbra Bobcat,3.0,['G'],['G'],None,['Creature'],['Cat'],Common,APC,2,1,None,"When Penumbra Bobcat dies, create a 2/1 black Cat creature token."
Lay of the Land,1.0,['G'],['G'],None,['Sorcery'],None,Common,APC,None,None,None,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Kavu Mauler,6.0,['G'],['G'],None,['Creature'],['Kavu'],Rare,APC,4,4,None,"Trample\nWhenever Kavu Mauler attacks, it gets +1/+1 until end of turn for each other attacking Kavu."
Kavu Howler,6.0,['G'],['G'],None,['Creature'],['Kavu'],Uncommon,APC,4,5,None,"When Kavu Howler enters the battlefield, reveal the top four cards of your library. Put all Kavu cards revealed this way into your hand and the rest on the bottom of your library in any order."
Glade Gnarr,6.0,['G'],['G'],None,['Creature'],['Beast'],Common,APC,4,4,None,"Whenever a player casts a blue spell, Glade Gnarr gets +2/+2 until end of turn."
Gaea's Balance,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,APC,None,None,None,"As an additional cost to cast this spell, sacrifice five lands.\nSearch your library for a land card of each basic land type, put those cards onto the battlefield, then shuffle."
Bog Gnarr,5.0,['G'],['G'],None,['Creature'],['Beast'],Common,APC,2,2,None,"Whenever a player casts a black spell, Bog Gnarr gets +2/+2 until end of turn."
Anavolver,4.0,['G'],"['B', 'G', 'U']",None,['Creature'],['Volver'],Rare,APC,3,3,None,"Kicker {1}{U} and/or {B} (You may pay an additional {1}{U} and/or {B} as you cast this spell.)\nIf Anavolver was kicked with its {1}{U} kicker, it enters the battlefield with two +1/+1 counters on it and with flying.\nIf Anavolver was kicked with its {B} kicker, it enters the battlefield with a +1/+1 counter on it and with ""Pay 3 life: Regenerate Anavolver."""
Ana Sanctuary,3.0,['G'],['G'],None,['Enchantment'],None,Uncommon,APC,None,None,None,"At the beginning of your upkeep, if you control a blue or black permanent, target creature gets +1/+1 until end of turn. If you control a blue permanent and a black permanent, that creature gets +5/+5 until end of turn instead."
Ana Disciple,1.0,['G'],"['B', 'G', 'U']",None,['Creature'],"['Human', 'Wizard']",Common,APC,1,1,None,"{U}, {T}: Target creature gains flying until end of turn.\n{B}, {T}: Target creature gets -2/-0 until end of turn."
Wild Research,3.0,['R'],"['R', 'U', 'W']",None,['Enchantment'],None,Rare,APC,None,None,None,"{1}{W}: Search your library for an enchantment card and reveal that card. Put it into your hand, then discard a card at random. Then shuffle.\n{1}{U}: Search your library for an instant card and reveal that card. Put it into your hand, then discard a card at random. Then shuffle."
Tundra Kavu,3.0,['R'],['R'],None,['Creature'],['Kavu'],Common,APC,2,2,None,{T}: Target land becomes a Plains or an Island until end of turn.
Tahngarth's Glare,1.0,['R'],['R'],None,['Sorcery'],None,Common,APC,None,None,None,"Look at the top three cards of target opponent's library, then put them back in any order. That player looks at the top three cards of your library, then puts them back in any order."
Smash,3.0,['R'],['R'],None,['Instant'],None,Common,APC,None,None,None,Destroy target artifact.\nDraw a card.
Rakavolver,3.0,['R'],"['R', 'U', 'W']",None,['Creature'],['Volver'],Rare,APC,2,2,None,"Kicker {1}{W} and/or {U} (You may pay an additional {1}{W} and/or {U} as you cast this spell.)\nIf Rakavolver was kicked with its {1}{W} kicker, it enters the battlefield with two +1/+1 counters on it and with ""Whenever Rakavolver deals damage, you gain that much life.""\nIf Rakavolver was kicked with its {U} kicker, it enters the battlefield with a +1/+1 counter on it and with flying."
Raka Sanctuary,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,APC,None,None,None,"At the beginning of your upkeep, if you control a white or blue permanent, Raka Sanctuary deals 1 damage to target creature. If you control a white permanent and a blue permanent, Raka Sanctuary deals 3 damage instead."
Raka Disciple,1.0,['R'],"['R', 'U', 'W']",None,['Creature'],"['Minotaur', 'Wizard']",Common,APC,1,1,None,"{W}, {T}: Prevent the next 1 damage that would be dealt to any target this turn.\n{U}, {T}: Target creature gains flying until end of turn."
Minotaur Tactician,4.0,['R'],['R'],None,['Creature'],['Minotaur'],Common,APC,1,1,None,Haste\nMinotaur Tactician gets +1/+1 as long as you control a white creature.\nMinotaur Tactician gets +1/+1 as long as you control a blue creature.
Kavu Glider,3.0,['R'],"['R', 'U', 'W']",None,['Creature'],['Kavu'],Common,APC,2,1,None,{W}: Kavu Glider gets +0/+1 until end of turn.\n{U}: Kavu Glider gains flying until end of turn.
Illuminate,1.0,['R'],"['R', 'U']",None,['Sorcery'],None,Uncommon,APC,None,None,None,"Kicker {2}{R} and/or {3}{U} (You may pay an additional {2}{R} and/or {3}{U} as you cast this spell.)\nIlluminate deals X damage to target creature. If this spell was kicked with its {2}{R} kicker, it deals X damage to that creature's controller. If this spell was kicked with its {3}{U} kicker, you draw X cards."
Goblin Ringleader,4.0,['R'],['R'],None,['Creature'],['Goblin'],Uncommon,APC,2,2,None,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nWhen Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order."
Dwarven Patrol,3.0,['R'],['R'],None,['Creature'],['Dwarf'],Uncommon,APC,4,2,None,"Dwarven Patrol doesn't untap during your untap step.\nWhenever you cast a nonred spell, untap Dwarven Patrol."
Dwarven Landslide,4.0,['R'],['R'],None,['Sorcery'],None,Common,APC,None,None,None,"Kicker—{2}{R}, Sacrifice a land. (You may pay {2}{R} and sacrifice a land in addition to any other costs as you cast this spell.)\nDestroy target land. If this spell was kicked, destroy another target land."
