Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Bloodbraid Elf,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Elf', 'Berserker']",Uncommon,ARB,3,2,None,"Haste\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Blitz Hellion,5.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Hellion'],Rare,ARB,7,7,None,"Trample, haste\nAt the beginning of the end step, Blitz Hellion's owner shuffles it into their library."
Veinfire Borderpost,3.0,"['B', 'R']","['B', 'R']",None,['Artifact'],None,Common,ARB,None,None,None,You may pay {1} and return a basic land you control to its owner's hand rather than pay this spell's mana cost.\nVeinfire Borderpost enters the battlefield tapped.\n{T}: Add {B} or {R}.
Thought Hemorrhage,4.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Rare,ARB,None,None,None,"Choose a nonland card name. Target player reveals their hand. Thought Hemorrhage deals 3 damage to that player for each card with the chosen name revealed this way. Search that player's graveyard, hand, and library for all cards with that name and exile them. Then that player shuffles."
Terminate,2.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Common,ARB,None,None,None,Destroy target creature. It can't be regenerated.
Singe-Mind Ogre,4.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Ogre', 'Mutant']",Common,ARB,3,2,None,"When Singe-Mind Ogre enters the battlefield, target player reveals a card at random from their hand, then loses life equal to that card's mana value."
Messenger Falcons,4.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Creature'],['Bird'],Uncommon,ARB,2,2,None,"Flying\nWhen Messenger Falcons enters the battlefield, draw a card."
Sanity Gnawers,3.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Rat'],Uncommon,ARB,1,1,None,"When Sanity Gnawers enters the battlefield, target player discards a card at random."
Crystallization,2.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Enchantment'],['Aura'],Common,ARB,None,None,None,"Enchant creature\nEnchanted creature can't attack or block.\nWhen enchanted creature becomes the target of a spell or ability, exile that creature."
Bant Sureblade,2.0,"['G', 'U', 'W']","['G', 'U', 'W']",None,['Creature'],"['Human', 'Soldier']",Common,ARB,2,1,None,"As long as you control another multicolored permanent, Bant Sureblade gets +1/+1 and has first strike."
Monstrous Carabid,5.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Insect'],Common,ARB,4,4,None,"Monstrous Carabid attacks each combat if able.\nCycling {B/R} ({B/R}, Discard this card: Draw a card.)"
Trace of Abundance,2.0,"['G', 'R', 'W']","['G', 'R', 'W']",None,['Enchantment'],['Aura'],Common,ARB,None,None,None,"Enchant land\nEnchanted land has shroud. (It can't be the target of spells or abilities.)\nWhenever enchanted land is tapped for mana, its controller adds an additional one mana of any color."
Naya Hushblade,2.0,"['G', 'R', 'W']","['G', 'R', 'W']",None,['Creature'],"['Elf', 'Rogue']",Common,ARB,2,1,None,"As long as you control another multicolored permanent, Naya Hushblade gets +1/+1 and has shroud. (It can't be the target of spells or abilities.)"
Lightning Reaver,5.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Zombie', 'Beast']",Rare,ARB,3,3,None,"Haste; fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhenever Lightning Reaver deals combat damage to a player, put a charge counter on it.\nAt the beginning of your end step, Lightning Reaver deals damage equal to the number of charge counters on it to each opponent."
Marisi's Twinclaws,4.0,"['G', 'R', 'W']","['G', 'R', 'W']",None,['Creature'],"['Cat', 'Warrior']",Uncommon,ARB,2,4,None,Double strike
Sangrite Backlash,2.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Enchantment'],['Aura'],Common,ARB,None,None,None,Enchant creature\nEnchanted creature gets +3/-3.
Jund Hackblade,2.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Creature'],"['Goblin', 'Berserker']",Common,ARB,2,1,None,"As long as you control another multicolored permanent, Jund Hackblade gets +1/+1 and has haste."
