Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Oasis,0.0,None,None,None,['Land'],None,Uncommon,ARN,None,None,None,{T}: Prevent the next 1 damage that would be dealt to target creature this turn.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,ARN,None,None,None,({T}: Add {R}.)
Library of Alexandria,0.0,None,None,None,['Land'],None,Uncommon,ARN,None,None,None,{T}: Add {C}.\n{T}: Draw a card. Activate only if you have exactly seven cards in hand.
Island of Wak-Wak,0.0,None,None,None,['Land'],None,Rare,ARN,None,None,None,{T}: Target creature with flying has base power 0 until end of turn.
Elephant Graveyard,0.0,None,None,None,['Land'],None,Rare,ARN,None,None,None,{T}: Add {C}.\n{T}: Regenerate target Elephant.
Diamond Valley,0.0,None,None,None,['Land'],None,Rare,ARN,None,None,None,"{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness."
Desert,0.0,None,None,None,['Land'],['Desert'],Common,ARN,None,None,None,{T}: Add {C}.\n{T}: Desert deals 1 damage to target attacking creature. Activate only during the end of combat step.
City of Brass,0.0,None,None,None,['Land'],None,Uncommon,ARN,None,None,None,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color."
Bazaar of Baghdad,0.0,None,None,None,['Land'],None,Uncommon,ARN,None,None,None,"{T}: Draw two cards, then discard three cards."
Sandals of Abdallah,4.0,None,None,None,['Artifact'],None,Uncommon,ARN,None,None,None,"{2}, {T}: Target creature gains islandwalk until end of turn. When that creature dies this turn, destroy Sandals of Abdallah. (A creature with islandwalk can't be blocked as long as defending player controls an Island.)"
Ring of Ma'rûf,5.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{5}, {T}, Exile Ring of Ma'rûf: The next time you would draw a card this turn, instead put a card you own from outside the game into your hand."
Pyramids,6.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{2}: Choose one —\n• Destroy target Aura attached to a land.\n• The next time target land would be destroyed this turn, remove all damage marked on it instead."
Jeweled Bird,1.0,None,None,None,['Artifact'],None,Uncommon,ARN,None,None,None,"Remove Jeweled Bird from your deck before playing if you're not playing for ante.\n{T}: Ante Jeweled Bird. If you do, put all other cards you own from the ante into your graveyard, then draw a card."
Jandor's Saddlebags,2.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{3}, {T}: Untap target creature."
Jandor's Ring,6.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{2}, {T}, Discard the last card you drew this turn: Draw a card."
Flying Carpet,4.0,None,None,None,['Artifact'],None,Uncommon,ARN,None,None,None,"{2}, {T}: Target creature gains flying until end of turn."
Ebony Horse,3.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{2}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by that creature this turn."
Dancing Scimitar,4.0,None,None,None,"['Artifact', 'Creature']",['Spirit'],Rare,ARN,1,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)
City in a Bottle,2.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"Whenever one or more other nontoken permanents with a name originally printed in the Arabian Nights expansion are on the battlefield, their controllers sacrifice them.\nPlayers can't cast spells or play lands with a name originally printed in the Arabian Nights expansion."
Brass Man,1.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,ARN,1,3,None,"Brass Man doesn't untap during your untap step.\nAt the beginning of your upkeep, you may pay {1}. If you do, untap Brass Man."
Bottle of Suleiman,4.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{1}, Sacrifice Bottle of Suleiman: Flip a coin. If you win the flip, create a 5/5 colorless Djinn artifact creature token with flying. If you lose the flip, Bottle of Suleiman deals 5 damage to you."
Aladdin's Ring,8.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{8}, {T}: Aladdin's Ring deals 4 damage to any target."
Aladdin's Lamp,10.0,None,None,None,['Artifact'],None,Rare,ARN,None,None,None,"{X}, {T}: The next time you would draw a card this turn, instead look at the top X cards of your library, put all but one of them on the bottom of your library in a random order, then draw a card. X can't be 0."
Wyluli Wolf,2.0,['G'],['G'],None,['Creature'],['Wolf'],Common,ARN,1,1,None,{T}: Target creature gets +1/+1 until end of turn.
Singing Tree,4.0,['G'],['G'],None,['Creature'],['Plant'],Rare,ARN,0,3,None,{T}: Target attacking creature has base power 0 until end of turn.
Sandstorm,1.0,['G'],['G'],None,['Instant'],None,Common,ARN,None,None,None,Sandstorm deals 1 damage to each attacking creature.
Nafs Asp,1.0,['G'],['G'],None,['Creature'],['Snake'],Common,ARN,1,1,None,"Whenever Nafs Asp deals damage to a player, that player loses 1 life at the beginning of their next draw step unless they pay {1} before that draw step."
Metamorphosis,1.0,['G'],['G'],None,['Sorcery'],None,Common,ARN,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nAdd X mana of any one color, where X is 1 plus the sacrificed creature's mana value. Spend this mana only to cast creature spells."
Ifh-Bíff Efreet,4.0,['G'],['G'],None,['Creature'],['Efreet'],Rare,ARN,3,3,None,Flying\n{G}: Ifh-Bíff Efreet deals 1 damage to each creature with flying and each player. Any player may activate this ability.
Ghazbán Ogre,1.0,['G'],['G'],None,['Creature'],['Ogre'],Common,ARN,2,2,None,"At the beginning of your upkeep, if a player has more life than each other player, the player with the most life gains control of Ghazbán Ogre."
Erhnam Djinn,4.0,['G'],['G'],None,['Creature'],['Djinn'],Rare,ARN,4,5,None,"At the beginning of your upkeep, target non-Wall creature an opponent controls gains forestwalk until your next upkeep. (It can't be blocked as long as defending player controls a Forest.)"
Drop of Honey,1.0,['G'],['G'],None,['Enchantment'],None,Rare,ARN,None,None,None,"At the beginning of your upkeep, destroy the creature with the least power. It can't be regenerated. If two or more creatures are tied for least power, you choose one of them.\nWhen there are no creatures on the battlefield, sacrifice Drop of Honey."
Desert Twister,6.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ARN,None,None,None,Destroy target permanent.
Cyclone,4.0,['G'],['G'],None,['Enchantment'],None,Uncommon,ARN,None,None,None,"At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player."
