Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Urza's Tower,0.0,None,None,None,['Land'],"[""Urza's"", 'Tower']",Common,ATQ,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant, add {C}{C}{C} instead."
Urza's Power Plant,0.0,None,None,None,['Land'],"[""Urza's"", 'Power-Plant']",Common,ATQ,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Tower, add {C}{C} instead."
Urza's Mine,0.0,None,None,None,['Land'],"[""Urza's"", 'Mine']",Uncommon,ATQ,None,None,None,"{T}: Add {C}. If you control an Urza's Power-Plant and an Urza's Tower, add {C}{C} instead."
Strip Mine,0.0,None,None,None,['Land'],None,Uncommon,ATQ,None,None,None,"{T}: Add {C}.\n{T}, Sacrifice Strip Mine: Destroy target land."
Mishra's Workshop,0.0,None,None,None,['Land'],None,Rare,ATQ,None,None,None,{T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.
Mishra's Factory,0.0,None,None,None,['Land'],None,Uncommon,ATQ,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Yotian Soldier,3.0,None,None,None,"['Artifact', 'Creature']",['Soldier'],Common,ATQ,1,4,None,Vigilance
Weakstone,4.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,Attacking creatures get -1/-0.
Wall of Spears,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,ATQ,2,3,None,Defender (This creature can't attack.)\nFirst strike
Urza's Miter,3.0,None,None,None,['Artifact'],None,Rare,ATQ,None,None,None,"Whenever an artifact you control is put into a graveyard from the battlefield, if it wasn't sacrificed, you may pay {3}. If you do, draw a card."
Urza's Chalice,1.0,None,None,None,['Artifact'],None,Common,ATQ,None,None,None,"Whenever a player casts an artifact spell, you may pay {1}. If you do, you gain 1 life."
Urza's Avenger,6.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Rare,ATQ,4,4,None,"{0}: Urza's Avenger gets -1/-1 and gains your choice of banding, flying, first strike, or trample until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)"
Triskelion,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,ATQ,1,1,None,Triskelion enters the battlefield with three +1/+1 counters on it.\nRemove a +1/+1 counter from Triskelion: It deals 1 damage to any target.
The Rack,1.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,"As The Rack enters the battlefield, choose an opponent.\nAt the beginning of the chosen player's upkeep, The Rack deals X damage to that player, where X is 3 minus the number of cards in their hand."
Tetravus,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,ATQ,1,1,None,"Flying\nTetravus enters the battlefield with three +1/+1 counters on it.\nAt the beginning of your upkeep, you may remove any number of +1/+1 counters from Tetravus. If you do, create that many 1/1 colorless Tetravite artifact creature tokens. They each have flying and ""This creature can't be enchanted.""\nAt the beginning of your upkeep, you may exile any number of tokens created with Tetravus. If you do, put that many +1/+1 counters on Tetravus."
Tawnos's Weaponry,2.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,"You may choose not to untap Tawnos's Weaponry during your untap step.\n{2}, {T}: Target creature gets +1/+1 for as long as Tawnos's Weaponry remains tapped."
Tawnos's Wand,4.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,"{2}, {T}: Target creature with power 2 or less can't be blocked this turn."
Tawnos's Coffin,4.0,None,None,None,['Artifact'],None,Rare,ATQ,None,None,None,"You may choose not to untap Tawnos's Coffin during your untap step.\n{3}, {T}: Exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Tawnos's Coffin leaves the battlefield or becomes untapped, return that exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the other exiled cards to the battlefield under their owner's control attached to that permanent."
Tablet of Epityr,1.0,None,None,None,['Artifact'],None,Common,ATQ,None,None,None,"Whenever an artifact you control is put into a graveyard from the battlefield, you may pay {1}. If you do, you gain 1 life."
Su-Chi,4.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,ATQ,4,4,None,"When Su-Chi dies, add {C}{C}{C}{C}."
Staff of Zegon,4.0,None,None,None,['Artifact'],None,Common,ATQ,None,None,None,"{3}, {T}: Target creature gets -2/-0 until end of turn."
Shapeshifter,6.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Rare,ATQ,*,7-*,None,"As Shapeshifter enters the battlefield, choose a number between 0 and 7.\nAt the beginning of your upkeep, you may choose a number between 0 and 7.\nShapeshifter's power is equal to the last chosen number and its toughness is equal to 7 minus that number."
Rocket Launcher,4.0,None,None,None,['Artifact'],None,Uncommon,ATQ,None,None,None,{2}: Rocket Launcher deals 1 damage to any target. Destroy Rocket Launcher at the beginning of the next end step. Activate only if you've controlled Rocket Launcher continuously since the beginning of your most recent turn.
