Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Vessel of Endless Rest,3.0,None,None,None,['Artifact'],None,Uncommon,AVR,None,None,None,"When Vessel of Endless Rest enters the battlefield, put target card from a graveyard on the bottom of its owner's library.\n{T}: Add one mana of any color."
Vanguard's Shield,2.0,None,None,None,['Artifact'],['Equipment'],Common,AVR,None,None,None,Equipped creature gets +0/+3 and can block an additional creature each combat.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
Tormentor's Trident,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,AVR,None,None,None,Equipped creature gets +3/+0 and attacks each combat if able.\nEquip {3}
Scroll of Griselbrand,1.0,None,None,None,['Artifact'],None,Common,AVR,None,None,None,"{1}, Sacrifice Scroll of Griselbrand: Target opponent discards a card. If you control a Demon, that player loses 3 life."
Scroll of Avacyn,1.0,None,None,None,['Artifact'],None,Common,AVR,None,None,None,"{1}, Sacrifice Scroll of Avacyn: Draw a card. If you control an Angel, you gain 5 life."
Otherworld Atlas,4.0,None,None,None,['Artifact'],None,Rare,AVR,None,None,None,{T}: Put a charge counter on Otherworld Atlas.\n{T}: Each player draws a card for each charge counter on Otherworld Atlas.
Narstad Scrapper,5.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,AVR,3,3,None,{2}: Narstad Scrapper gets +1/+0 until end of turn.
Moonsilver Spear,4.0,None,None,None,['Artifact'],['Equipment'],Rare,AVR,None,None,None,"Equipped creature has first strike.\nWhenever equipped creature attacks, create a 4/4 white Angel creature token with flying.\nEquip {4}"
Wandering Wolf,2.0,['G'],['G'],None,['Creature'],['Wolf'],Common,AVR,2,1,None,Creatures with power less than Wandering Wolf's power can't block it.
Bladed Bracers,1.0,None,None,None,['Artifact'],['Equipment'],Common,AVR,None,None,None,"Equipped creature gets +1/+1.\nAs long as equipped creature is a Human or an Angel, it has vigilance.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Gallows at Willow Hill,3.0,None,None,None,['Artifact'],None,Rare,AVR,None,None,None,"{3}, {T}, Tap three untapped Humans you control: Destroy target creature. Its controller creates a 1/1 white Spirit creature token with flying."
Haunted Guardian,2.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,AVR,2,1,None,"Defender, first strike"
Conjurer's Closet,5.0,None,None,None,['Artifact'],None,Rare,AVR,None,None,None,"At the beginning of your end step, you may exile target creature you control, then return that card to the battlefield under your control."
Angelic Armaments,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,AVR,None,None,None,"Equipped creature gets +2/+2, has flying, and is a white Angel in addition to its other colors and types.\nEquip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)"
Angel's Tomb,3.0,None,None,None,['Artifact'],None,Uncommon,AVR,None,None,None,"Whenever a creature enters the battlefield under your control, you may have Angel's Tomb become a 3/3 white Angel artifact creature with flying until end of turn."
"Sigarda, Host of Herons",5.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,AVR,5,5,None,"Flying, hexproof\nSpells and abilities your opponents control can't cause you to sacrifice permanents."
"Gisela, Blade of Goldnight",7.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,AVR,5,5,None,"Flying, first strike\nIf a source would deal damage to an opponent or a permanent an opponent controls, that source deals double that damage to that player or permanent instead.\nIf a source would deal damage to you or a permanent you control, prevent half that damage, rounded up."
"Bruna, Light of Alabaster",6.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],['Angel'],Mythic,AVR,5,5,None,"Flying, vigilance\nWhenever Bruna, Light of Alabaster attacks or blocks, you may attach to it any number of Auras on the battlefield and you may put onto the battlefield attached to it any number of Aura cards that could enchant it from your graveyard and/or hand."
Wild Defiance,3.0,['G'],['G'],None,['Enchantment'],None,Rare,AVR,None,None,None,"Whenever a creature you control becomes the target of an instant or sorcery spell, that creature gets +3/+3 until end of turn."
Yew Spirit,5.0,['G'],['G'],None,['Creature'],"['Spirit', 'Treefolk']",Uncommon,AVR,3,3,None,"{2}{G}{G}: Yew Spirit gets +X/+X until end of turn, where X is its power."
Vorstclaw,6.0,['G'],['G'],None,['Creature'],"['Elemental', 'Horror']",Uncommon,AVR,7,7,None,None
Wolfir Silverheart,5.0,['G'],['G'],None,['Creature'],"['Wolf', 'Warrior']",Rare,AVR,4,4,None,"Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.)\nAs long as Wolfir Silverheart is paired with another creature, each of those creatures gets +4/+4."
Primal Surge,10.0,['G'],['G'],None,['Sorcery'],None,Mythic,AVR,None,None,None,"Exile the top card of your library. If it's a permanent card, you may put it onto the battlefield. If you do, repeat this process."
