Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Tarnation Vista,0.0,None,None,None,['Land'],None,Mythic,BIG,None,None,None,"Tarnation Vista enters the battlefield tapped. As it enters, choose a color.\n{T}: Add one mana of the chosen color.\n{1}, {T}: For each color among monocolored permanents you control, add one mana of that color."
Fomori Vault,0.0,None,None,None,['Land'],None,Mythic,BIG,None,None,None,"{T}: Add {C}.\n{3}, {T}, Discard a card: Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in a random order."
Transmutation Font,5.0,None,None,None,['Artifact'],None,Mythic,BIG,None,None,None,"{T}: Create your choice of a Blood token, a Clue token, or a Food token.\n{3}, {T}, Sacrifice three artifact tokens with different names: Search your library for an artifact card, put it onto the battlefield, then shuffle. Activate only as a sorcery."
Torpor Orb,2.0,None,None,None,['Artifact'],None,Mythic,BIG,None,None,None,Creatures entering the battlefield don't cause abilities to trigger.
Sword of Wealth and Power,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,BIG,None,None,None,"Equipped creature gets +2/+2 and has protection from instants and from sorceries.\nWhenever equipped creature deals combat damage to a player, create a Treasure token. When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.\nEquip {2}"
Nexus of Becoming,6.0,None,None,None,['Artifact'],None,Mythic,BIG,None,None,None,"At the beginning of combat on your turn, draw a card. Then you may exile an artifact or creature card from your hand. If you do, create a token that's a copy of the exiled card, except it's a 3/3 Golem artifact creature in addition to its other types."
Lotus Ring,3.0,None,None,None,['Artifact'],['Equipment'],Mythic,BIG,None,None,None,"Indestructible\nEquipped creature gets +3/+3 and has vigilance and ""{T}, Sacrifice this creature: Add three mana of any one color.""\nEquip {3}"
Lost Jitte,1.0,None,None,['Legendary'],['Artifact'],['Equipment'],Mythic,BIG,None,None,None,"Whenever equipped creature deals combat damage, put a charge counter on Lost Jitte.\nRemove a charge counter from Lost Jitte: Choose one —\n• Untap target land.\n• Target creature can't block this turn.\n• Put a +1/+1 counter on equipped creature.\nEquip {1}"
Pest Control,2.0,"['B', 'W']","['B', 'W']",None,['Sorcery'],None,Mythic,BIG,None,None,None,"Destroy all nonland permanents with mana value 1 or less.\nCycling {2} ({2}, Discard this card: Draw a card.)"
"Loot, the Key to Everything",3.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],"['Beast', 'Noble']",Mythic,BIG,1,2,None,"Ward {1}\nAt the beginning of your upkeep, exile the top X cards of your library, where X is the number of card types among other nonland permanents you control. You may play those cards this turn."
Vaultborn Tyrant,7.0,['G'],['G'],None,['Creature'],['Dinosaur'],Mythic,BIG,6,6,None,"Trample\nWhenever Vaultborn Tyrant or another creature with power 4 or greater enters the battlefield under your control, you gain 3 life and draw a card.\nWhen Vaultborn Tyrant dies, if it's not a token, create a token that's a copy of it, except it's an artifact in addition to its other types."
Sandstorm Salvager,3.0,['G'],['G'],None,['Creature'],"['Human', 'Artificer']",Mythic,BIG,1,1,None,"When Sandstorm Salvager enters the battlefield, create a 3/3 colorless Golem artifact creature token.\n{2}, {T}: Put a +1/+1 counter on each creature token you control. They gain trample until end of turn."
