Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Spirit of the Labyrinth,2.0,['W'],['W'],None,"['Enchantment', 'Creature']",['Spirit'],Rare,BNG,3,1,None,Each player can't draw more than one card each turn.
Silent Sentinel,7.0,['W'],['W'],None,['Creature'],['Archon'],Rare,BNG,4,6,None,"Flying\nWhenever Silent Sentinel attacks, you may return target enchantment card from your graveyard to the battlefield."
Revoke Existence,2.0,['W'],['W'],None,['Sorcery'],None,Common,BNG,None,None,None,Exile target artifact or enchantment.
Plea for Guidance,6.0,['W'],['W'],None,['Sorcery'],None,Rare,BNG,None,None,None,"Search your library for up to two enchantment cards, reveal them, put them into your hand, then shuffle."
Ornitharch,5.0,['W'],['W'],None,['Creature'],['Archon'],Uncommon,BNG,3,3,None,"Flying\nTribute 2 (As this creature enters the battlefield, an opponent of your choice may put two +1/+1 counters on it.)\nWhen Ornitharch enters the battlefield, if tribute wasn't paid, create two 1/1 white Bird creature tokens with flying."
Oreskos Sun Guide,2.0,['W'],['W'],None,['Creature'],"['Cat', 'Monk']",Common,BNG,2,2,None,"Inspired — Whenever Oreskos Sun Guide becomes untapped, you gain 2 life."
Nyxborn Shieldmate,1.0,['W'],['W'],None,"['Enchantment', 'Creature']","['Human', 'Soldier']",Common,BNG,1,2,None,"Bestow {2}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nEnchanted creature gets +1/+2."
Mortal's Ardor,1.0,['W'],['W'],None,['Instant'],None,Common,BNG,None,None,None,Target creature gets +1/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
Loyal Pegasus,1.0,['W'],['W'],None,['Creature'],['Pegasus'],Common,BNG,2,1,None,Flying\nLoyal Pegasus can't attack or block alone.
Hold at Bay,2.0,['W'],['W'],None,['Instant'],None,Common,BNG,None,None,None,Prevent the next 7 damage that would be dealt to any target this turn.
Hero of Iroas,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Rare,BNG,2,2,None,"Aura spells you cast cost {1} less to cast.\nHeroic — Whenever you cast a spell that targets Hero of Iroas, put a +1/+1 counter on Hero of Iroas."
Akroan Phalanx,4.0,['W'],"['R', 'W']",None,['Creature'],"['Human', 'Soldier']",Uncommon,BNG,3,3,None,Vigilance\n{2}{R}: Creatures you control get +1/+0 until end of turn.
Glimpse the Sun God,1.0,['W'],['W'],None,['Instant'],None,Uncommon,BNG,None,None,None,Tap X target creatures. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Great Hart,4.0,['W'],['W'],None,['Creature'],['Elk'],Common,BNG,2,4,None,None
Griffin Dreamfinder,5.0,['W'],['W'],None,['Creature'],['Griffin'],Common,BNG,1,4,None,"Flying\nWhen Griffin Dreamfinder enters the battlefield, return target enchantment card from your graveyard to your hand."
