Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Cunning Bandit // Azamuki, Treachery Incarnate",3.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Uncommon,BOK,2,2,None,"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Cunning Bandit.\nAt the beginning of the end step, if there are two or more ki counters on Cunning Bandit, you may flip it."
Ire of Kaminari,4.0,['R'],['R'],None,['Instant'],['Arcane'],Common,BOK,None,None,None,Ire of Kaminari deals damage to any target equal to the number of Arcane cards in your graveyard.
Kumano's Blessing,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,BOK,None,None,None,"Flash\nEnchant creature\nIf a creature dealt damage by enchanted creature this turn would die, exile it instead."
"Mannichi, the Fevered Dream",3.0,['R'],['R'],['Legendary'],['Creature'],['Spirit'],Rare,BOK,1,2,None,{1}{R}: Switch each creature's power and toughness until end of turn.
"Ishi-Ishi, Akki Crackshot",2.0,['R'],['R'],['Legendary'],['Creature'],"['Goblin', 'Warrior']",Rare,BOK,1,1,None,"Whenever an opponent casts a Spirit or Arcane spell, Ishi-Ishi, Akki Crackshot deals 2 damage to that player."
In the Web of War,5.0,['R'],['R'],None,['Enchantment'],None,Rare,BOK,None,None,None,"Whenever a creature enters the battlefield under your control, it gets +2/+0 and gains haste until end of turn."
Heartless Hidetsugu,5.0,['R'],['R'],['Legendary'],['Creature'],"['Ogre', 'Shaman']",Rare,BOK,4,3,None,"{T}: Heartless Hidetsugu deals damage to each player equal to half that player's life total, rounded down."
Goblin Cohort,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Common,BOK,2,2,None,Goblin Cohort can't attack unless you've cast a creature spell this turn.
Uproot,4.0,['G'],['G'],None,['Sorcery'],['Arcane'],Common,BOK,None,None,None,Put target land on top of its owner's library.
Unchecked Growth,3.0,['G'],['G'],None,['Instant'],['Arcane'],Uncommon,BOK,None,None,None,"Target creature gets +4/+4 until end of turn. If it's a Spirit, it gains trample until end of turn."
Traproot Kami,1.0,['G'],['G'],None,['Creature'],['Spirit'],Common,BOK,0,*,None,Defender; reach (This creature can block creatures with flying.)\nTraproot Kami's toughness is equal to the number of Forests on the battlefield.
Genju of the Spires,1.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,BOK,None,None,None,"Enchant Mountain\n{2}: Enchanted Mountain becomes a 6/1 red Spirit creature until end of turn. It's still a land.\nWhen enchanted Mountain is put into a graveyard, you may return Genju of the Spires from your graveyard to your hand."
Splinter,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,BOK,None,None,None,"Exile target artifact. Search its controller's graveyard, hand, and library for all cards with the same name as that artifact and exile them. Then that player shuffles."
Fumiko the Lowblood,4.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Samurai']",Rare,BOK,3,2,None,"Fumiko the Lowblood has bushido X, where X is the number of attacking creatures. (Whenever this creature blocks or becomes blocked, it gets +X/+X until end of turn.)\nCreatures your opponents control attack each combat if able."
Sosuke's Summons,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,BOK,None,None,None,"Create two 1/1 green Snake creature tokens.\nWhenever a nontoken Snake enters the battlefield under your control, you may return Sosuke's Summons from your graveyard to your hand."
"Shizuko, Caller of Autumn",3.0,['G'],['G'],['Legendary'],['Creature'],"['Snake', 'Shaman']",Rare,BOK,2,3,None,"At the beginning of each player's upkeep, that player adds {G}{G}{G}. Until end of turn, they don't lose this mana as steps and phases end."
Frostling,1.0,['R'],['R'],None,['Creature'],['Spirit'],Common,BOK,1,1,None,Sacrifice Frostling: It deals 1 damage to target creature.
Scaled Hulk,6.0,['G'],['G'],None,['Creature'],['Spirit'],Common,BOK,4,4,None,"Whenever you cast a Spirit or Arcane spell, Scaled Hulk gets +2/+2 until end of turn."
Crack the Earth,1.0,['R'],['R'],None,['Sorcery'],['Arcane'],Common,BOK,None,None,None,Each player sacrifices a permanent.
Sakura-Tribe Springcaller,4.0,['G'],['G'],None,['Creature'],"['Snake', 'Shaman']",Common,BOK,2,4,None,"At the beginning of your upkeep, add {G}. Until end of turn, you don't lose this mana as steps and phases end."
Frost Ogre,5.0,['R'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Common,BOK,5,3,None,None
"Sakiko, Mother of Summer",6.0,['G'],['G'],['Legendary'],['Creature'],"['Snake', 'Shaman']",Rare,BOK,3,3,None,"Whenever a creature you control deals combat damage to a player, add that much {G}. Until end of turn, you don't lose this mana as steps and phases end."
Flames of the Blood Hand,3.0,['R'],['R'],None,['Instant'],None,Uncommon,BOK,None,None,None,"Flames of the Blood Hand deals 4 damage to target player or planeswalker. The damage can't be prevented. If that player or that planeswalker's controller would gain life this turn, that player gains no life instead."
