Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Smelting Vat,4.0,None,None,None,['Artifact'],None,Rare,BRC,None,None,None,"{1}, {T}, Sacrifice another artifact: Reveal the top eight cards of your library. Put up to two noncreature artifact cards with total mana value less than or equal to the sacrificed artifact's mana value from among them onto the battlefield and the rest on the bottom of your library in a random order."
Urza's Workshop,0.0,None,None,None,['Land'],"[""Urza's""]",Rare,BRC,None,None,None,{T}: Add {C}.\nMetalcraft — {T}: Add {C} for each Urza's land you control. Activate only if you control three or more artifacts.
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRC,None,None,None,({T}: Add {W}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BRC,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,BRC,None,None,None,({T}: Add {W}.)
Staff of Titania,2.0,None,None,None,['Artifact'],['Equipment'],Rare,BRC,None,None,None,"Equipped creature gets +X/+X, where X is the number of Forests you control.\nWhenever equipped creature attacks, create a 1/1 green Forest Dryad land creature token. (It's affected by summoning sickness.)\nEquip {3}"
The Archimandrite,5.0,"['R', 'U', 'W']","['R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,BRC,0,5,None,"At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4.\nWhenever you gain life, each Advisor, Artificer, and Monk you control gains vigilance and gets +X/+0 until end of turn, where X is the amount of life you gained.\nTap three untapped Advisors, Artificers, and/or Monks you control: Draw a card."
"Titania, Nature's Force",6.0,['G'],['G'],['Legendary'],['Creature'],['Elemental'],Mythic,BRC,6,6,None,"You may play Forests from your graveyard.\nWhenever a Forest enters the battlefield under your control, create a 5/3 green Elemental creature token.\nWhenever an Elemental you control dies, you may mill three cards."
Rootpath Purifier,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Mythic,BRC,3,4,None,Lands you control and land cards in your library are basic.
Sardian Avenger,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Rare,BRC,1,1,None,"First strike, trample\nWhenever Sardian Avenger attacks, it gets +X/+0 until end of turn, where X is the number of artifacts your opponents control.\nWhenever an artifact an opponent controls is put into a graveyard from the battlefield, Sardian Avenger deals 1 damage to that player."
Thopter Shop,3.0,None,['W'],None,['Artifact'],None,Rare,BRC,None,None,None,"Whenever one or more artifact creatures you control die, draw a card. This ability triggers only once each turn.\n{2}{W}, {T}: Create a 1/1 colorless Thopter artifact creature token with flying."
The Brothers' War,4.0,['R'],['R'],None,['Enchantment'],['Saga'],Rare,BRC,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Create two tapped Powerstone tokens.\nII — Choose two target players. Until your next turn, each creature they control attacks the other chosen player each combat if able.\nIII — The Brothers' War deals X damage to any target and X damage to any other target, where X is the number of artifacts you control."
Scavenged Brawler,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,BRC,4,4,None,"Flying, vigilance, trample, lifelink\n{5}, Exile Scavenged Brawler from your graveyard: Choose target creature. Put four +1/+1 counters, a flying counter, a vigilance counter, a trample counter, and a lifelink counter on that creature. Activate only as a sorcery."
Disciple of Caelus Nin,5.0,['W'],['W'],None,['Creature'],"['Human', 'Wizard']",Rare,BRC,3,4,None,"When Disciple of Caelus Nin enters the battlefield, starting with you, each player chooses up to five permanents they control. All permanents other than Disciple of Caelus Nin that weren't chosen this way phase out.\nPermanents can't phase in."
Wondrous Crucible,7.0,None,None,None,['Artifact'],None,Rare,BRC,None,None,None,"Permanents you control have ward {2}.\nAt the beginning of your end step, mill two cards, then exile a nonland card at random from your graveyard. Copy it. You may cast the copy without paying its mana cost. (A copy of a permanent spell becomes a token.)"
Great Furnace,0.0,None,['R'],None,"['Artifact', 'Land']",None,Common,BRC,None,None,None,{T}: Add {R}.
"Urza, Chief Artificer",6.0,"['B', 'U', 'W']","['B', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Artificer']",Mythic,BRC,4,5,None,"Affinity for artifact creatures (This spell costs {1} less to cast for each artifact creature you control.)\nArtifact creatures you control have menace.\nAt the beginning of your end step, create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control."""
Temple of Enlightenment,0.0,None,"['U', 'W']",None,['Land'],None,Rare,BRC,None,None,None,"Temple of Enlightenment enters the battlefield tapped.\nWhen Temple of Enlightenment enters the battlefield, scry 1.\n{T}: Add {W} or {U}."
Izzet Boilerworks,0.0,None,"['R', 'U']",None,['Land'],None,Uncommon,BRC,None,None,None,"Izzet Boilerworks enters the battlefield tapped.\nWhen Izzet Boilerworks enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {U}{R}."
Goldmire Bridge,0.0,None,"['B', 'W']",None,"['Artifact', 'Land']",None,Common,BRC,None,None,None,Goldmire Bridge enters the battlefield tapped.\nIndestructible\n{T}: Add {W} or {B}.
Drossforge Bridge,0.0,None,"['B', 'R']",None,"['Artifact', 'Land']",None,Common,BRC,None,None,None,Drossforge Bridge enters the battlefield tapped.\nIndestructible\n{T}: Add {B} or {R}.
Dimir Aqueduct,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,BRC,None,None,None,"Dimir Aqueduct enters the battlefield tapped.\nWhen Dimir Aqueduct enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {U}{B}."
Darkwater Catacombs,0.0,None,"['B', 'U']",None,['Land'],None,Rare,BRC,None,None,None,"{1}, {T}: Add {U}{B}."
