Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Brotherhood's End,3.0,['R'],['R'],None,['Sorcery'],None,Rare,BRO,None,None,None,Choose one —\n• Brotherhood's End deals 3 damage to each creature and each planeswalker.\n• Destroy all artifacts with mana value 3 or less.
Arms Race,4.0,['R'],['R'],None,['Enchantment'],None,Uncommon,BRO,None,None,None,{3}{R}: You may put an artifact card from your hand onto the battlefield. That artifact gains haste. Sacrifice it at the beginning of the next end step.
Transmogrant Altar,3.0,None,['B'],None,['Artifact'],None,Uncommon,BRO,None,None,None,"{B}, {T}, Sacrifice a creature: Add {C}{C}{C}.\n{2}, {T}, Sacrifice a creature: Create a 3/3 colorless Zombie artifact creature token. Activate only as a sorcery."
Razorlash Transmogrant,2.0,None,['B'],None,"['Artifact', 'Creature']",['Zombie'],Rare,BRO,3,1,None,Razorlash Transmogrant can't block.\n{4}{B}{B}: Return Razorlash Transmogrant from your graveyard to the battlefield with a +1/+1 counter on it. This ability costs {4} less to activate if an opponent controls four or more nonbasic lands.
Goring Warplow,6.0,None,['B'],None,"['Artifact', 'Creature']",['Construct'],Common,BRO,5,4,None,"Prototype {1}{B} — 1/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nDeathtouch"
Clay Revenant,1.0,None,['B'],None,"['Artifact', 'Creature']",['Golem'],Common,BRO,1,2,None,Clay Revenant enters the battlefield tapped.\n{2}{B}: Return Clay Revenant from your graveyard to your hand.
Trench Stalker,5.0,['B'],['B'],None,['Creature'],"['Beast', 'Horror']",Common,BRO,4,5,None,"As long as you've drawn two or more cards this turn, Trench Stalker has deathtouch and lifelink."
Thran Vigil,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,BRO,None,None,None,"Whenever one or more artifact and/or creature cards leave your graveyard during your turn, put a +1/+1 counter on target creature you control."
Gixian Infiltrator,2.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Human']",Common,BRO,2,1,None,"Whenever you sacrifice another permanent, put a +1/+1 counter on Gixian Infiltrator."
Painful Quandary,5.0,['B'],['B'],None,['Enchantment'],None,Rare,BRO,None,None,None,"Whenever an opponent casts a spell, that player loses 5 life unless they discard a card."
Overwhelming Remorse,5.0,['B'],['B'],None,['Instant'],None,Common,BRO,None,None,None,This spell costs {1} less to cast for each creature card in your graveyard.\nExile target creature or planeswalker.
Misery's Shadow,2.0,['B'],['B'],None,['Creature'],['Shade'],Rare,BRO,2,2,None,"If a creature an opponent controls would die, exile it instead.\n{1}: Misery's Shadow gets +1/+1 until end of turn."
Hostile Negotiations,4.0,['B'],['B'],None,['Instant'],None,Rare,BRO,None,None,None,"Exile the top three cards of your library in a face-down pile, then exile the top three cards of your library in another face-down pile. Look at the cards in each pile, then turn a pile of your choice face up. An opponent chooses one of those piles. Put all cards in the chosen pile into your hand and the rest into your graveyard. You lose 3 life."
Gixian Puppeteer,4.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Warlock']",Rare,BRO,4,3,None,"Whenever you draw your second card each turn, each opponent loses 2 life and you gain 2 life.\nWhen Gixian Puppeteer dies, return another target creature card with mana value 3 or less from your graveyard to the battlefield."
