Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BTD,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,BTD,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BTD,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BTD,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,BTD,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,BTD,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,BTD,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,BTD,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BTD,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BTD,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,BTD,None,None,None,({T}: Add {U}.)
Svyelunite Temple,0.0,None,['U'],None,['Land'],None,Uncommon,BTD,None,None,None,"Svyelunite Temple enters the battlefield tapped.\n{T}: Add {U}.\n{T}, Sacrifice Svyelunite Temple: Add {U}{U}."
Smoldering Crater,0.0,None,['R'],None,['Land'],None,Common,BTD,None,None,None,"Smoldering Crater enters the battlefield tapped.\n{T}: Add {R}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Slippery Karst,0.0,None,['G'],None,['Land'],None,Common,BTD,None,None,None,"Slippery Karst enters the battlefield tapped.\n{T}: Add {G}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Remote Isle,0.0,None,['U'],None,['Land'],None,Common,BTD,None,None,None,"Remote Isle enters the battlefield tapped.\n{T}: Add {U}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Polluted Mire,0.0,None,['B'],None,['Land'],None,Common,BTD,None,None,None,"Polluted Mire enters the battlefield tapped.\n{T}: Add {B}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Havenwood Battleground,0.0,None,['G'],None,['Land'],None,Uncommon,BTD,None,None,None,"Havenwood Battleground enters the battlefield tapped.\n{T}: Add {G}.\n{T}, Sacrifice Havenwood Battleground: Add {G}{G}."
Ebon Stronghold,0.0,None,['B'],None,['Land'],None,Uncommon,BTD,None,None,None,"Ebon Stronghold enters the battlefield tapped.\n{T}: Add {B}.\n{T}, Sacrifice Ebon Stronghold: Add {B}{B}."
Dwarven Ruins,0.0,None,['R'],None,['Land'],None,Uncommon,BTD,None,None,None,"Dwarven Ruins enters the battlefield tapped.\n{T}: Add {R}.\n{T}, Sacrifice Dwarven Ruins: Add {R}{R}."
Clockwork Beast,6.0,None,None,None,"['Artifact', 'Creature']",['Beast'],Rare,BTD,0,4,None,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.\nAt end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.\n{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate only during your upkeep."
Clockwork Avian,5.0,None,None,None,"['Artifact', 'Creature']",['Bird'],Rare,BTD,0,4,None,"Flying\nClockwork Avian enters the battlefield with four +1/+0 counters on it.\nAt end of combat, if Clockwork Avian attacked or blocked this combat, remove a +1/+0 counter from it.\n{X}, {T}: Put up to X +1/+0 counters on Clockwork Avian. This ability can't cause the total number of +1/+0 counters on Clockwork Avian to be greater than four. Activate only during your upkeep."
Segmented Wurm,5.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Wurm'],Uncommon,BTD,5,5,None,"Whenever Segmented Wurm becomes the target of a spell or ability, put a -1/-1 counter on it."
Diabolic Vision,2.0,"['B', 'U']","['B', 'U']",None,['Sorcery'],None,Uncommon,BTD,None,None,None,Look at the top five cards of your library. Put one of them into your hand and the rest on top of your library in any order.
Yavimaya Wurm,6.0,['G'],['G'],None,['Creature'],['Wurm'],Common,BTD,6,4,None,Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
