Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,C17,None,None,None,({T}: Add {B}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,C17,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,C17,None,None,None,({T}: Add {G}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,C17,None,None,None,({T}: Add {B}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,C17,None,None,None,({T}: Add {G}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,C17,None,None,None,({T}: Add {B}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,C17,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,C17,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,C17,None,None,None,({T}: Add {R}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,C17,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,C17,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,C17,None,None,None,({T}: Add {U}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,C17,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,C17,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,C17,None,None,None,({T}: Add {W}.)
Wind-Scarred Crag,0.0,None,"['R', 'W']",None,['Land'],None,Common,C17,None,None,None,"Wind-Scarred Crag enters the battlefield tapped.\nWhen Wind-Scarred Crag enters the battlefield, you gain 1 life.\n{T}: Add {R} or {W}."
Vivid Meadow,0.0,None,['W'],None,['Land'],None,Uncommon,C17,None,None,None,"Vivid Meadow enters the battlefield tapped with two charge counters on it.\n{T}: Add {W}.\n{T}, Remove a charge counter from Vivid Meadow: Add one mana of any color."
Vivid Marsh,0.0,None,['B'],None,['Land'],None,Uncommon,C17,None,None,None,"Vivid Marsh enters the battlefield tapped with two charge counters on it.\n{T}: Add {B}.\n{T}, Remove a charge counter from Vivid Marsh: Add one mana of any color."
Vivid Grove,0.0,None,['G'],None,['Land'],None,Uncommon,C17,None,None,None,"Vivid Grove enters the battlefield tapped with two charge counters on it.\n{T}: Add {G}.\n{T}, Remove a charge counter from Vivid Grove: Add one mana of any color."
Vivid Creek,0.0,None,['U'],None,['Land'],None,Uncommon,C17,None,None,None,"Vivid Creek enters the battlefield tapped with two charge counters on it.\n{T}: Add {U}.\n{T}, Remove a charge counter from Vivid Creek: Add one mana of any color."
Vivid Crag,0.0,None,['R'],None,['Land'],None,Uncommon,C17,None,None,None,"Vivid Crag enters the battlefield tapped with two charge counters on it.\n{T}: Add {R}.\n{T}, Remove a charge counter from Vivid Crag: Add one mana of any color."
Urborg Volcano,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,C17,None,None,None,Urborg Volcano enters the battlefield tapped.\n{T}: Add {B} or {R}.
Tranquil Thicket,0.0,None,['G'],None,['Land'],None,Common,C17,None,None,None,"Tranquil Thicket enters the battlefield tapped.\n{T}: Add {G}.\nCycling {G} ({G}, Discard this card: Draw a card.)"
Tranquil Expanse,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,C17,None,None,None,Tranquil Expanse enters the battlefield tapped.\n{T}: Add {G} or {W}.
Terramorphic Expanse,0.0,None,None,None,['Land'],None,Common,C17,None,None,None,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Temple of the False God,0.0,None,None,None,['Land'],None,Uncommon,C17,None,None,None,{T}: Add {C}{C}. Activate only if you control five or more lands.
Swiftwater Cliffs,0.0,None,"['R', 'U']",None,['Land'],None,Common,C17,None,None,None,"Swiftwater Cliffs enters the battlefield tapped.\nWhen Swiftwater Cliffs enters the battlefield, you gain 1 life.\n{T}: Add {U} or {R}."
Stone Quarry,0.0,None,"['R', 'W']",None,['Land'],None,Uncommon,C17,None,None,None,Stone Quarry enters the battlefield tapped.\n{T}: Add {R} or {W}.
Stirring Wildwood,0.0,None,"['G', 'W']",None,['Land'],None,Rare,C17,None,None,None,"Stirring Wildwood enters the battlefield tapped.\n{T}: Add {G} or {W}.\n{1}{G}{W}: Until end of turn, Stirring Wildwood becomes a 3/4 green and white Elemental creature with reach. It's still a land."
Selesnya Sanctuary,0.0,None,"['G', 'W']",None,['Land'],None,Common,C17,None,None,None,"Selesnya Sanctuary enters the battlefield tapped.\nWhen Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {G}{W}."
Selesnya Guildgate,0.0,None,"['G', 'W']",None,['Land'],['Gate'],Common,C17,None,None,None,Selesnya Guildgate enters the battlefield tapped.\n{T}: Add {G} or {W}.
Secluded Steppe,0.0,None,['W'],None,['Land'],None,Common,C17,None,None,None,"Secluded Steppe enters the battlefield tapped.\n{T}: Add {W}.\nCycling {W} ({W}, Discard this card: Draw a card.)"
