Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,CHK,None,None,None,({T}: Add {W}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,CHK,None,None,None,({T}: Add {W}.)
Waterveil Cavern,0.0,None,"['B', 'U']",None,['Land'],None,Uncommon,CHK,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {B}. Waterveil Cavern doesn't untap during your next untap step.
"Untaidake, the Cloud Keeper",0.0,None,None,['Legendary'],['Land'],None,Rare,CHK,None,None,None,"Untaidake, the Cloud Keeper enters the battlefield tapped.\n{T}, Pay 2 life: Add {C}{C}. Spend this mana only to cast legendary spells."
Tranquil Garden,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,CHK,None,None,None,{T}: Add {C}.\n{T}: Add {G} or {W}. Tranquil Garden doesn't untap during your next untap step.
"Shizo, Death's Storehouse",0.0,None,['B'],['Legendary'],['Land'],None,Rare,CHK,None,None,None,"{T}: Add {B}.\n{B}, {T}: Target legendary creature gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)"
"Shinka, the Bloodsoaked Keep",0.0,None,['R'],['Legendary'],['Land'],None,Rare,CHK,None,None,None,"{T}: Add {R}.\n{R}, {T}: Target legendary creature gains first strike until end of turn."
Pinecrest Ridge,0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,CHK,None,None,None,{T}: Add {C}.\n{T}: Add {R} or {G}. Pinecrest Ridge doesn't untap during your next untap step.
"Okina, Temple to the Grandfathers",0.0,None,['G'],['Legendary'],['Land'],None,Rare,CHK,None,None,None,"{T}: Add {G}.\n{G}, {T}: Target legendary creature gets +1/+1 until end of turn."
"Minamo, School at Water's Edge",0.0,None,['U'],['Legendary'],['Land'],None,Rare,CHK,None,None,None,"{T}: Add {U}.\n{U}, {T}: Untap target legendary permanent."
Lantern-Lit Graveyard,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,CHK,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {R}. Lantern-Lit Graveyard doesn't untap during your next untap step.
