Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Basilica Screecher,2.0,['B'],['B'],None,['Creature'],['Bat'],Common,CLU,1,2,None,"Flying\nExtort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Living Lightning,4.0,['R'],['R'],None,['Creature'],"['Elemental', 'Shaman']",Uncommon,CLU,3,2,None,"When Living Lightning dies, return target instant or sorcery card from your graveyard to your hand."
Status // Statue,5.0,"['B', 'G']","['B', 'G']",None,['Instant'],None,Uncommon,CLU,None,None,None,Target creature gets +1/+1 and gains deathtouch until end of turn.
Lightning Bolt,1.0,['R'],['R'],None,['Instant'],None,Uncommon,CLU,None,None,None,Lightning Bolt deals 3 damage to any target.
Watcher in the Mist,5.0,['U'],['U'],None,['Creature'],['Spirit'],Common,CLU,3,4,None,"Flying\nWhen Watcher in the Mist enters the battlefield, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
Light Up the Stage,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,CLU,None,None,None,"Spectacle {R} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)\nExile the top two cards of your library. Until the end of your next turn, you may play those cards."
Snow Day,6.0,['U'],['U'],None,['Instant'],None,Uncommon,CLU,None,None,None,"Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.\nDraw two cards, then discard a card."
Selesnya Guildmage,2.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Elf', 'Wizard']",Uncommon,CLU,2,2,None,{3}{G}: Create a 1/1 green Saproling creature token.\n{3}{W}: Creatures you control get +1/+1 until end of turn.
Krenko's Command,2.0,['R'],['R'],None,['Sorcery'],None,Common,CLU,None,None,None,Create two 1/1 red Goblin creature tokens.
Roaming Ghostlight,5.0,['U'],['U'],None,['Creature'],['Spirit'],Common,CLU,3,2,None,"Flying\nWhen Roaming Ghostlight enters the battlefield, return up to one target non-Spirit creature to its owner's hand."
Pitiless Gorgon,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Gorgon'],Common,CLU,2,2,None,Deathtouch
Havoc Jester,5.0,['R'],['R'],None,['Creature'],['Devil'],Uncommon,CLU,5,5,None,"Whenever you sacrifice a permanent, Havoc Jester deals 1 damage to any target."
Rescuer Sphinx,4.0,['U'],['U'],None,['Creature'],['Sphinx'],Uncommon,CLU,3,2,None,"Flying\nAs Rescuer Sphinx enters the battlefield, you may return a nonland permanent you control to its owner's hand. If you do, Rescuer Sphinx enters the battlefield with a +1/+1 counter on it."
Gravel-Hide Goblin,2.0,['R'],"['G', 'R']",None,['Creature'],"['Goblin', 'Shaman']",Common,CLU,2,1,None,{3}{G}: Gravel-Hide Goblin gets +2/+2 until end of turn.
Repeal,1.0,['U'],['U'],None,['Instant'],None,Common,CLU,None,None,None,Return target nonland permanent with mana value X to its owner's hand.\nDraw a card.
Goblin Wizardry,4.0,['R'],['R'],None,['Instant'],None,Common,CLU,None,None,None,"Create two 1/1 red Goblin Wizard creature tokens with prowess. (Whenever you cast a noncreature spell, they get +1/+1 until end of turn.)"
Rapid Hybridization,1.0,['U'],['U'],None,['Instant'],None,Uncommon,CLU,None,None,None,Destroy target creature. It can't be regenerated. That creature's controller creates a 3/3 green Frog Lizard creature token.
Frenzied Goblin,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Uncommon,CLU,1,1,None,"Whenever Frenzied Goblin attacks, you may pay {R}. If you do, target creature can't block this turn."
Psychic Impetus,3.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,CLU,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2 and is goaded. (It attacks each combat if able and attacks a player other than you if able.)\nWhenever enchanted creature attacks, you scry 2."
Integrity // Intervention,5.0,"['W', 'R']","['R', 'W']",None,['Instant'],None,Uncommon,CLU,None,None,None,Target creature gets +2/+2 until end of turn.
Firefist Striker,2.0,['R'],['R'],None,['Creature'],"['Human', 'Soldier']",Uncommon,CLU,2,1,None,"Battalion — Whenever Firefist Striker and at least two other creatures attack, target creature can't block this turn."
Fire Urchin,2.0,['R'],['R'],None,['Creature'],['Elemental'],Common,CLU,1,3,None,"Trample\nWhenever you cast an instant or sorcery spell, Fire Urchin gets +1/+0 until end of turn."
Direct Current,3.0,['R'],['R'],None,['Sorcery'],None,Common,CLU,None,None,None,Direct Current deals 2 damage to any target.\nJump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Deputized Protester,3.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,CLU,2,1,None,"Menace (This creature can't be blocked except by two or more creatures.)\nMelee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)"
Dagger Caster,4.0,['R'],['R'],None,['Creature'],"['Viashino', 'Rogue']",Uncommon,CLU,2,3,None,"When Dagger Caster enters the battlefield, it deals 1 damage to each opponent and 1 damage to each creature your opponents control."
