Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
The Mimeoplasm,5.0,"['B', 'G', 'U']","['B', 'G', 'U']",['Legendary'],['Creature'],['Ooze'],Mythic,CM1,0,0,None,"As The Mimeoplasm enters the battlefield, you may exile two creature cards from graveyards. If you do, it enters the battlefield as a copy of one of those cards with a number of additional +1/+1 counters on it equal to the power of the other card."
"Edric, Spymaster of Trest",3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Rogue']",Rare,CM1,2,2,None,"Whenever a creature deals combat damage to one of your opponents, its controller may draw a card."
Command Tower,0.0,None,None,None,['Land'],None,Common,CM1,None,None,None,{T}: Add one mana of any color in your commander's color identity.
Mirari's Wake,5.0,"['G', 'W']","['G', 'W']",None,['Enchantment'],None,Rare,CM1,None,None,None,"Creatures you control get +1/+1.\nWhenever you tap a land for mana, add one mana of any type that land produced."
Decree of Pain,8.0,['B'],['B'],None,['Sorcery'],None,Rare,CM1,None,None,None,"Destroy all creatures. They can't be regenerated. Draw a card for each creature destroyed this way.\nCycling {3}{B}{B} ({3}{B}{B}, Discard this card: Draw a card.)\nWhen you cycle Decree of Pain, all creatures get -2/-2 until end of turn."
Vela the Night-Clad,6.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,CM1,4,4,None,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)\nOther creatures you control have intimidate.\nWhenever Vela the Night-Clad or another creature you control leaves the battlefield, each opponent loses 1 life."
Duplicant,6.0,None,None,None,"['Artifact', 'Creature']",['Shapeshifter'],Rare,CM1,2,4,None,"Imprint — When Duplicant enters the battlefield, you may exile target nontoken creature.\nAs long as a card exiled with Duplicant is a creature card, Duplicant has the power, toughness, and creature types of the last creature card exiled with Duplicant. It's still a Shapeshifter."
Scroll Rack,2.0,None,None,None,['Artifact'],None,Rare,CM1,None,None,None,"{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order."
Chaos Warp,3.0,['R'],['R'],None,['Instant'],None,Rare,CM1,None,None,None,"The owner of target permanent shuffles it into their library, then reveals the top card of their library. If it's a permanent card, they put it onto the battlefield."
Sylvan Library,2.0,['G'],['G'],None,['Enchantment'],None,Rare,CM1,None,None,None,"At the beginning of your draw step, you may draw two additional cards. If you do, choose two cards in your hand drawn this turn. For each of those cards, pay 4 life or put the card on top of your library."
Dragonlair Spider,6.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Spider'],Rare,CM1,5,6,None,"Reach\nWhenever an opponent casts a spell, create a 1/1 green Insect creature token."
Rhystic Study,3.0,['U'],['U'],None,['Enchantment'],None,Common,CM1,None,None,None,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}."
Maelstrom Wanderer,8.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],['Elemental'],Mythic,CM1,7,5,None,"Creatures you control have haste.\nCascade, cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order. Then do it again.)"
"Diaochan, Artful Beauty",4.0,['R'],['R'],['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,CM1,1,1,None,"{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate only during your turn, before attackers are declared."
Desertion,5.0,['U'],['U'],None,['Instant'],None,Rare,CM1,None,None,None,"Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard."
Loyal Retainers,3.0,['W'],['W'],None,['Creature'],"['Human', 'Advisor']",Uncommon,CM1,1,1,None,"Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate only during your turn, before attackers are declared."
Mind's Eye,5.0,None,None,None,['Artifact'],None,Rare,CM1,None,None,None,"Whenever an opponent draws a card, you may pay {1}. If you do, draw a card."
Kaalia of the Vast,4.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Mythic,CM1,2,2,None,"Flying\nWhenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent."
