Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Yawgmoth's Testament,3.0,['B'],['B'],None,['Sorcery'],None,Rare,CMB2,None,None,None,"Until end of turn, you may play face-up cards you own from exile.\nIf a card would be put into your graveyard or exile from anywhere this turn, put it on the bottom of your library instead."
Loopy Lobster,3.0,['U'],['U'],None,['Creature'],['Lobster'],Rare,CMB2,?,?,None,"Four-faced (Whenever this becomes tapped, move it to the next stage, or to stage 1 if it's at stage 4.)\nStage 1 — (1/4)\nStage 2 — (4/1) Evolve\nStage 3 — (2/4) {U}: Loopy Lobster gets +1/-1 until end of turn.\nStage 4 — (4/4) Vigilance. {T}: Draw 2 cards."
Xyru Specter,4.0,['B'],['B'],None,['Summon'],['Specter'],Rare,CMB2,2,2,None,"Flying\nWhenever Xyru Specter deals damage to an opponent, that player discards a card unless they challenge you. If challenged, and you show them two black cards in your hand, they must discard two cards."
Witty Demon,3.0,['B'],['B'],None,['Creature'],['Demon'],Rare,CMB2,4,3,None,"Flying\nWhen Witty Demon enters the battlefield, if your starting library had at least 13 cards over the minimum, search your library for a card and put that card into your hand, then shuffle your library. Otherwise, Witty Demon deals 4 damage to you."
Underdark Beholder,6.0,['B'],['B'],None,['Creature'],['Beholder'],Rare,CMB2,6,6,None,"Underdark Beholder enters the battlefield with ten eyestalk counters on it.\nIf Underdark Beholder would be dealt damage, remove that many eyestalk counters from it instead. If you can't, sacrifice it.\nWhenever Underdark Beholder attacks, reveal cards from the top of your library until you reveal an instant, sorcery, or enchantment card with converted mana cost less than the number of eyestalk counters on Underdark Beholder. You may cast it without paying its mana cost. Shuffle your library."
Swarm of Locus,2.0,['B'],['B'],None,['Creature'],"['Insect', 'Locus']",Rare,CMB2,1,1,None,"Flying\nWhenever Swarm of Locus attacks, it gets +1/+0 until end of turn for each Locus you control."
Blood Poet,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Cleric']",Rare,CMB2,3,2,None,"Spark (Activate spark abilities by spending or giving yourself spark counters. Activate only one spark ability per turn, and only as a sorcery.)\n+1: Blood Poet gains lifelink until end of turn.\n−3: Target opponent discards a card. You gain life equal to its converted mana cost."
Largepox,4.0,['B'],['B'],None,['Sorcery'],None,Rare,CMB2,None,None,None,"Each player discards a card, then loses 1 life, then sacrifices an artifact, a creature, an enchantment, a land, a planeswalker, and a tribal permanent, then exiles a card from their graveyard, then puts the top card of their library into their graveyard, then removes a counter from a permanent they control, then gets a poison counter."
Spellmorph Raise Dead,1.0,['B'],['B'],None,['Instant'],None,Rare,CMB2,None,None,None,Return target creature card from your graveyard to your hand.\nSpellmorph {B} (You may cast this card face down as a 2/2 creature for {3}. Cast it any time for its spellmorph cost.)
Sunimret,6.0,['B'],['B'],None,['Sorcery'],None,Rare,CMB2,None,None,None,"Reverse miracle {B} (If this card is on the bottom of your library as you begin searching it, you may cast it by paying its reverse miracle cost.)\nExile all creatures."
One with Death,1.0,['B'],['B'],None,['Instant'],None,Rare,CMB2,None,None,None,You lose the game.
