Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Malfegor,6.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Demon', 'Dragon']",Mythic,CMD,6,6,None,"Flying\nWhen Malfegor enters the battlefield, discard your hand. Each opponent sacrifices a creature for each card discarded this way."
"Karador, Ghost Chieftain",8.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Centaur', 'Spirit']",Mythic,CMD,3,4,None,"This spell costs {1} less to cast for each creature card in your graveyard.\nOnce during each of your turns, you may cast a creature spell from your graveyard."
Kaalia of the Vast,4.0,"['B', 'R', 'W']","['B', 'R', 'W']",['Legendary'],['Creature'],"['Human', 'Cleric']",Mythic,CMD,2,2,None,"Flying\nWhenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent."
Izzet Chronarch,5.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Human', 'Wizard']",Common,CMD,2,2,None,"When Izzet Chronarch enters the battlefield, return target instant or sorcery card from your graveyard to your hand."
"Ghave, Guru of Spores",5.0,"['B', 'G', 'W']","['B', 'G', 'W']",['Legendary'],['Creature'],"['Fungus', 'Shaman']",Mythic,CMD,0,0,None,"Ghave, Guru of Spores enters the battlefield with five +1/+1 counters on it.\n{1}, Remove a +1/+1 counter from a creature you control: Create a 1/1 green Saproling creature token.\n{1}, Sacrifice a creature: Put a +1/+1 counter on target creature."
"Intet, the Dreamer",6.0,"['G', 'R', 'U']","['G', 'R', 'U']",['Legendary'],['Creature'],['Dragon'],Rare,CMD,6,6,None,"Flying\nWhenever Intet, the Dreamer deals combat damage to a player, you may pay {2}{U}. If you do, exile the top card of your library face down. You may look at that card for as long as it remains exiled. You may play that card without paying its mana cost for as long as Intet remains on the battlefield."
Firespout,3.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Uncommon,CMD,None,None,None,Firespout deals 3 damage to each creature without flying if {R} was spent to cast this spell and 3 damage to each creature with flying if {G} was spent to cast this spell. (Do both if {R}{G} was spent.)
Hull Breach,2.0,"['G', 'R']","['G', 'R']",None,['Sorcery'],None,Common,CMD,None,None,None,Choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Destroy target artifact and target enchantment.
Gwyllion Hedge-Mage,3.0,"['B', 'W']","['B', 'W']",None,['Creature'],"['Hag', 'Wizard']",Uncommon,CMD,2,2,None,"When Gwyllion Hedge-Mage enters the battlefield, if you control two or more Plains, you may create a 1/1 white Kithkin Soldier creature token.\nWhen Gwyllion Hedge-Mage enters the battlefield, if you control two or more Swamps, you may put a -1/-1 counter on target creature."
Golgari Guildmage,2.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Elf', 'Shaman']",Uncommon,CMD,2,2,None,"{4}{B}, Sacrifice a creature: Return target creature card from your graveyard to your hand.\n{4}{G}: Put a +1/+1 counter on target creature."
Fire // Ice,4.0,['R'],"['R', 'U']",None,['Instant'],None,Uncommon,CMD,None,None,None,Fire deals 2 damage divided as you choose among one or two targets.
Electrolyze,3.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Uncommon,CMD,None,None,None,Electrolyze deals 2 damage divided as you choose among one or two targets.\nDraw a card.
"Edric, Spymaster of Trest",3.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Rogue']",Rare,CMD,2,2,None,"Whenever a creature deals combat damage to one of your opponents, its controller may draw a card."
Duergar Hedge-Mage,3.0,"['R', 'W']","['R', 'W']",None,['Creature'],"['Dwarf', 'Shaman']",Uncommon,CMD,2,2,None,"When Duergar Hedge-Mage enters the battlefield, if you control two or more Mountains, you may destroy target artifact.\nWhen Duergar Hedge-Mage enters the battlefield, if you control two or more Plains, you may destroy target enchantment."
Dominus of Fealty,5.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Spirit', 'Avatar']",Rare,CMD,4,4,None,"Flying\nAt the beginning of your upkeep, you may gain control of target permanent until end of turn. If you do, untap it and it gains haste until end of turn."
Desecrator Hag,4.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Hag'],Common,CMD,2,2,None,"When Desecrator Hag enters the battlefield, return to your hand the creature card in your graveyard with the greatest power. If two or more cards are tied for greatest power, you choose one of them."
Death Mutation,8.0,"['B', 'G']","['B', 'G']",None,['Sorcery'],None,Uncommon,CMD,None,None,None,"Destroy target nonblack creature. It can't be regenerated. Create X 1/1 green Saproling creature tokens, where X is that creature's mana value."
