Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Shipwreck Dowser,5.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Wizard']",Common,CMM,3,3,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen Shipwreck Dowser enters the battlefield, return target instant or sorcery card from your graveyard to your hand."
Ruins of Oran-Rief,0.0,None,None,None,['Land'],None,Rare,CMM,None,None,None,Ruins of Oran-Rief enters the battlefield tapped.\n{T}: Add {C}. ({C} represents colorless mana.)\n{T}: Put a +1/+1 counter on target colorless creature that entered the battlefield this turn.
Sandsteppe Citadel,0.0,None,"['B', 'G', 'W']",None,['Land'],None,Uncommon,CMM,None,None,None,"Sandsteppe Citadel enters the battlefield tapped.\n{T}: Add {W}, {B}, or {G}."
Savage Lands,0.0,None,"['B', 'G', 'R']",None,['Land'],None,Uncommon,CMM,None,None,None,"Savage Lands enters the battlefield tapped.\n{T}: Add {B}, {R}, or {G}."
Scattered Groves,0.0,None,"['G', 'W']",None,['Land'],"['Forest', 'Plains']",Rare,CMM,None,None,None,"({T}: Add {G} or {W}.)\nScattered Groves enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Scavenger Grounds,0.0,None,None,None,['Land'],['Desert'],Rare,CMM,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice a Desert: Exile all graveyards."
Sea Gate Wreckage,0.0,None,None,None,['Land'],None,Rare,CMM,None,None,None,"{T}: Add {C}. ({C} represents colorless mana.)\n{2}{C}, {T}: Draw a card. Activate only if you have no cards in hand."
Seaside Citadel,0.0,None,"['G', 'U', 'W']",None,['Land'],None,Uncommon,CMM,None,None,None,"Seaside Citadel enters the battlefield tapped.\n{T}: Add {G}, {W}, or {U}."
Secluded Courtyard,0.0,None,None,None,['Land'],None,Uncommon,CMM,None,None,None,"As Secluded Courtyard enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type."
Selesnya Sanctuary,0.0,None,"['G', 'W']",None,['Land'],None,Common,CMM,None,None,None,"Selesnya Sanctuary enters the battlefield tapped.\nWhen Selesnya Sanctuary enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {G}{W}."
Sheltered Thicket,0.0,None,"['G', 'R']",None,['Land'],"['Mountain', 'Forest']",Rare,CMM,None,None,None,"({T}: Add {R} or {G}.)\nSheltered Thicket enters the battlefield tapped.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Shineshadow Snarl,0.0,None,"['B', 'W']",None,['Land'],None,Rare,CMM,None,None,None,"As Shineshadow Snarl enters the battlefield, you may reveal a Plains or Swamp card from your hand. If you don't, Shineshadow Snarl enters the battlefield tapped.\n{T}: Add {W} or {B}."
Shrine of the Forsaken Gods,0.0,None,None,None,['Land'],None,Rare,CMM,None,None,None,{T}: Add {C}.\n{T}: Add {C}{C}. Spend this mana only to cast colorless spells. Activate only if you control seven or more lands.
Stormsurge Kraken,5.0,['U'],['U'],None,['Creature'],['Kraken'],Rare,CMM,5,5,None,"Hexproof\nLieutenant — As long as you control your commander, Stormsurge Kraken gets +2/+2 and has ""Whenever Stormsurge Kraken becomes blocked, you may draw two cards."""
Skycloud Expanse,0.0,None,"['U', 'W']",None,['Land'],None,Rare,CMM,None,None,None,"{1}, {T}: Add {W}{U}."
Smoldering Marsh,0.0,None,"['B', 'R']",None,['Land'],"['Swamp', 'Mountain']",Rare,CMM,None,None,None,({T}: Add {B} or {R}.)\nSmoldering Marsh enters the battlefield tapped unless you control two or more basic lands.
Sungrass Prairie,0.0,None,"['G', 'W']",None,['Land'],None,Rare,CMM,None,None,None,"{1}, {T}: Add {G}{W}."
Sunken Hollow,0.0,None,"['B', 'U']",None,['Land'],"['Island', 'Swamp']",Rare,CMM,None,None,None,({T}: Add {U} or {B}.)\nSunken Hollow enters the battlefield tapped unless you control two or more basic lands.
Tainted Field,0.0,None,"['B', 'W']",None,['Land'],None,Uncommon,CMM,None,None,None,{T}: Add {C}.\n{T}: Add {W} or {B}. Activate only if you control a Swamp.
Tainted Wood,0.0,None,"['B', 'G']",None,['Land'],None,Uncommon,CMM,None,None,None,{T}: Add {C}.\n{T}: Add {B} or {G}. Activate only if you control a Swamp.
Temple of Enlightenment,0.0,None,"['U', 'W']",None,['Land'],None,Rare,CMM,None,None,None,"Temple of Enlightenment enters the battlefield tapped.\nWhen Temple of Enlightenment enters the battlefield, scry 1.\n{T}: Add {W} or {U}."
Temple of Epiphany,0.0,None,"['R', 'U']",None,['Land'],None,Rare,CMM,None,None,None,"Temple of Epiphany enters the battlefield tapped.\nWhen Temple of Epiphany enters the battlefield, scry 1.\n{T}: Add {U} or {R}."
Temple of Malady,0.0,None,"['B', 'G']",None,['Land'],None,Rare,CMM,None,None,None,"Temple of Malady enters the battlefield tapped.\nWhen Temple of Malady enters the battlefield, scry 1.\n{T}: Add {B} or {G}."
Temple of Plenty,0.0,None,"['G', 'W']",None,['Land'],None,Rare,CMM,None,None,None,"Temple of Plenty enters the battlefield tapped.\nWhen Temple of Plenty enters the battlefield, scry 1.\n{T}: Add {G} or {W}."
Temple of Silence,0.0,None,"['B', 'W']",None,['Land'],None,Rare,CMM,None,None,None,"Temple of Silence enters the battlefield tapped.\nWhen Temple of Silence enters the battlefield, scry 1.\n{T}: Add {W} or {B}."
Temple of the False God,0.0,None,None,None,['Land'],None,Uncommon,CMM,None,None,None,{T}: Add {C}{C}. Activate only if you control five or more lands.
Temple of Triumph,0.0,None,"['R', 'W']",None,['Land'],None,Rare,CMM,None,None,None,"Temple of Triumph enters the battlefield tapped.\nWhen Temple of Triumph enters the battlefield, scry 1.\n{T}: Add {R} or {W}."
Tomb of the Spirit Dragon,0.0,None,None,None,['Land'],None,Uncommon,CMM,None,None,None,"{T}: Add {C}.\n{2}, {T}: You gain 1 life for each colorless creature you control."
Tyrite Sanctum,0.0,None,None,None,['Land'],None,Rare,CMM,None,None,None,"{T}: Add {C}.\n{2}, {T}: Target legendary creature becomes a God in addition to its other types. Put a +1/+1 counter on it.\n{4}, {T}, Sacrifice Tyrite Sanctum: Put an indestructible counter on target God."
Unclaimed Territory,0.0,None,None,None,['Land'],None,Uncommon,CMM,None,None,None,"As Unclaimed Territory enters the battlefield, choose a creature type.\n{T}: Add {C}.\n{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type."
Urza's Mine,0.0,None,None,None,['Land'],"[""Urza's"", 'Mine']",Common,CMM,None,None,None,"{T}: Add {C}. If you control an Urza's Power-Plant and an Urza's Tower, add {C}{C} instead."
Urza's Power Plant,0.0,None,None,None,['Land'],"[""Urza's"", 'Power-Plant']",Common,CMM,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Tower, add {C}{C} instead."
Urza's Tower,0.0,None,None,None,['Land'],"[""Urza's"", 'Tower']",Common,CMM,None,None,None,"{T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant, add {C}{C}{C} instead."
War Room,0.0,None,None,None,['Land'],None,Rare,CMM,None,None,None,"{T}: Add {C}.\n{3}, {T}, Pay life equal to the number of colors in your commanders' color identity: Draw a card."
Wastes,0.0,None,None,['Basic'],['Land'],None,Common,CMM,None,None,None,{T}: Add {C}.
Wastes,0.0,None,None,['Basic'],['Land'],None,Common,CMM,None,None,None,{T}: Add {C}.
Frantic Search,3.0,['U'],['U'],None,['Instant'],None,Common,CMM,None,None,None,"Draw two cards, then discard two cards. Untap up to three lands."
Fact or Fiction,4.0,['U'],['U'],None,['Instant'],None,Uncommon,CMM,None,None,None,Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.
Exclude,3.0,['U'],['U'],None,['Instant'],None,Common,CMM,None,None,None,Counter target creature spell.\nDraw a card.
Evacuation,5.0,['U'],['U'],None,['Instant'],None,Rare,CMM,None,None,None,Return all creatures to their owners' hands.
Efficient Construction,4.0,['U'],['U'],None,['Enchantment'],None,Uncommon,CMM,None,None,None,"Whenever you cast an artifact spell, create a 1/1 colorless Thopter artifact creature token with flying."
Deranged Assistant,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,CMM,1,1,None,"{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)"
Deep Analysis,4.0,['U'],['U'],None,['Sorcery'],None,Common,CMM,None,None,None,"Target player draws two cards.\nFlashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Day's Undoing,3.0,['U'],['U'],None,['Sorcery'],None,Rare,CMM,None,None,None,"Each player shuffles their hand and graveyard into their library, then draws seven cards. If it's your turn, end the turn. (Exile all spells and abilities from the stack, including this card. Discard down to your maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)"
Cyclonic Rift,2.0,['U'],['U'],None,['Instant'],None,Rare,CMM,None,None,None,"Return target nonland permanent you don't control to its owner's hand.\nOverload {6}{U} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")"
Cryptic Serpent,7.0,['U'],['U'],None,['Creature'],['Serpent'],Common,CMM,6,5,None,This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
Coveted Peacock,5.0,['U'],['U'],None,['Creature'],['Bird'],Uncommon,CMM,3,4,None,"Flying\nWhenever Coveted Peacock attacks, you may goad target creature defending player controls. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)"
Counterspell,2.0,['U'],['U'],None,['Instant'],None,Common,CMM,None,None,None,Counter target spell.
Commandeer,7.0,['U'],['U'],None,['Instant'],None,Rare,CMM,None,None,None,"You may exile two blue cards from your hand rather than pay this spell's mana cost.\nGain control of target noncreature spell. You may choose new targets for it. (If that spell is an artifact, enchantment, or planeswalker, the permanent enters the battlefield under your control.)"
Capture of Jingzhou,5.0,['U'],['U'],None,['Sorcery'],None,Mythic,CMM,None,None,None,Take an extra turn after this one.
"Brinelin, the Moon Kraken",8.0,['U'],['U'],['Legendary'],['Creature'],['Kraken'],Uncommon,CMM,6,8,None,"When Brinelin, the Moon Kraken enters the battlefield or whenever you cast a spell with mana value 6 or greater, you may return target nonland permanent to its owner's hand.\nPartner (You can have two commanders if both have partner.)"
Bribery,5.0,['U'],['U'],None,['Sorcery'],None,Mythic,CMM,None,None,None,Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles.
"Braids, Conjurer Adept",4.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,CMM,2,2,None,"At the beginning of each player's upkeep, that player may put an artifact, creature, or land card from their hand onto the battlefield."
Body Double,5.0,['U'],['U'],None,['Creature'],['Shapeshifter'],Uncommon,CMM,0,0,None,You may have Body Double enter the battlefield as a copy of any creature card in a graveyard.
"Azami, Lady of Scrolls",5.0,['U'],['U'],['Legendary'],['Creature'],"['Human', 'Wizard']",Rare,CMM,0,2,None,Tap an untapped Wizard you control: Draw a card.
Aminatou's Augury,8.0,['U'],['U'],None,['Sorcery'],None,Rare,CMM,None,None,None,"Exile the top eight cards of your library. You may put a land card from among them onto the battlefield. Until end of turn, for each nonland card type, you may cast a spell of that type from among the exiled cards without paying its mana cost."
Aether Gale,5.0,['U'],['U'],None,['Sorcery'],None,Uncommon,CMM,None,None,None,Return six target nonland permanents to their owners' hands.
"Zetalpa, Primal Dawn",8.0,['W'],['W'],['Legendary'],['Creature'],"['Elder', 'Dinosaur']",Rare,CMM,4,8,None,"Flying, double strike, vigilance, trample, indestructible"
Wrath of God,4.0,['W'],['W'],None,['Sorcery'],None,Rare,CMM,None,None,None,Destroy all creatures. They can't be regenerated.
Wanderer's Strike,5.0,['W'],['W'],None,['Sorcery'],None,Common,CMM,None,None,None,"Exile target creature, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Wakening Sun's Avatar,8.0,['W'],['W'],None,['Creature'],"['Dinosaur', 'Avatar']",Rare,CMM,7,7,None,"When Wakening Sun's Avatar enters the battlefield, if you cast it from your hand, destroy all non-Dinosaur creatures."
Unbounded Potential,2.0,['W'],['W'],None,['Instant'],None,Common,CMM,None,None,None,"Choose one —\n• Put a +1/+1 counter on each of up to two target creatures.\n• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)\nEntwine {3}{W} (Choose both if you pay the entwine cost.)"
Thraben Inspector,1.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,CMM,1,2,None,"When Thraben Inspector enters the battlefield, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this artifact: Draw a card."")"
"Teshar, Ancestor's Apostle",4.0,['W'],['W'],['Legendary'],['Creature'],"['Bird', 'Cleric']",Uncommon,CMM,2,2,None,"Flying\nWhenever you cast a historic spell, return target creature card with mana value 3 or less from your graveyard to the battlefield. (Artifacts, legendaries, and Sagas are historic.)"
Swift Response,2.0,['W'],['W'],None,['Instant'],None,Common,CMM,None,None,None,Destroy target tapped creature.
Supply Runners,5.0,['W'],['W'],None,['Creature'],['Dog'],Common,CMM,2,2,None,"When Supply Runners enters the battlefield, put a +1/+1 counter on each other creature you control."
Sunspear Shikari,2.0,['W'],['W'],None,['Creature'],"['Cat', 'Soldier']",Common,CMM,2,2,None,"As long as Sunspear Shikari is equipped, it has first strike and lifelink."
Sunblade Angel,6.0,['W'],['W'],None,['Creature'],['Angel'],Common,CMM,3,3,None,"Flying, first strike, vigilance, lifelink"
Sublime Exhalation,7.0,['W'],['W'],None,['Sorcery'],None,Rare,CMM,None,None,None,Undaunted (This spell costs {1} less to cast for each opponent.)\nDestroy all creatures.
Steelshaper's Gift,1.0,['W'],['W'],None,['Sorcery'],None,Rare,CMM,None,None,None,"Search your library for an Equipment card, reveal that card, put it into your hand, then shuffle."
Spectral Grasp,2.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,CMM,None,None,None,Enchant creature\nEnchanted creature can't attack you or planeswalkers you control.\nEnchanted creature can't block creatures you control.
Smothering Tithe,4.0,['W'],['W'],None,['Enchantment'],None,Mythic,CMM,None,None,None,"Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
Shelter,2.0,['W'],['W'],None,['Instant'],None,Common,CMM,None,None,None,Target creature you control gains protection from the color of your choice until end of turn.\nDraw a card.
Sevinne's Reclamation,3.0,['W'],['W'],None,['Sorcery'],None,Rare,CMM,None,None,None,"Return target permanent card with mana value 3 or less from your graveyard to the battlefield. If this spell was cast from a graveyard, you may copy this spell and may choose a new target for the copy.\nFlashback {4}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
"Sephara, Sky's Blade",7.0,['W'],['W'],['Legendary'],['Creature'],['Angel'],Rare,CMM,7,7,None,"You may pay {W} and tap four untapped creatures you control with flying rather than pay this spell's mana cost.\nFlying, lifelink\nOther creatures you control with flying have indestructible. (Damage and effects that say ""destroy"" don't destroy them.)"
Righteous Confluence,5.0,['W'],['W'],None,['Sorcery'],None,Rare,CMM,None,None,None,Choose three. You may choose the same mode more than once.\n• Create a 2/2 white Knight creature token with vigilance.\n• Exile target enchantment.\n• You gain 5 life.
Return to Dust,4.0,['W'],['W'],None,['Instant'],None,Uncommon,CMM,None,None,None,"Exile target artifact or enchantment. If you cast this spell during your main phase, you may exile up to one other target artifact or enchantment."
"Pianna, Nomad Captain",3.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Nomad']",Uncommon,CMM,2,2,None,"Whenever Pianna, Nomad Captain attacks, attacking creatures get +1/+1 until end of turn."
Path to Exile,1.0,['W'],['W'],None,['Instant'],None,Uncommon,CMM,None,None,None,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Palace Sentinels,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,CMM,2,4,None,"When Palace Sentinels enters the battlefield, you become the monarch."
"Odric, Master Tactician",4.0,['W'],['W'],['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,CMM,3,4,None,"First strike (This creature deals combat damage before creatures without first strike.)\nWhenever Odric, Master Tactician and at least three other creatures attack, you choose which creatures block this combat and how those creatures block."
Myrsmith,2.0,['W'],['W'],None,['Creature'],"['Human', 'Artificer']",Common,CMM,2,1,None,"Whenever you cast an artifact spell, you may pay {1}. If you do, create a 1/1 colorless Myr artifact creature token."
Ministrant of Obligation,3.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Common,CMM,2,1,None,"Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)"
Mace of the Valiant,3.0,['W'],['W'],None,['Artifact'],['Equipment'],Uncommon,CMM,None,None,None,"Equipped creature gets +1/+1 for each charge counter on Mace of the Valiant and has vigilance.\nWhenever a creature enters the battlefield under your control, put a charge counter on Mace of the Valiant.\nEquip {3}"
Loyal Retainers,3.0,['W'],['W'],None,['Creature'],"['Human', 'Advisor']",Mythic,CMM,1,1,None,"Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate only during your turn, before attackers are declared."
Land Tax,1.0,['W'],['W'],None,['Enchantment'],None,Mythic,CMM,None,None,None,"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle."
Knighted Myr,3.0,['W'],['W'],None,"['Artifact', 'Creature']","['Myr', 'Knight']",Common,CMM,2,2,None,"{2}{W}: Adapt 1. (If this creature has no +1/+1 counters on it, put a +1/+1 counter on it.)\nWhenever one or more +1/+1 counters are put on Knighted Myr, it gains double strike until end of turn."
Kirtar's Wrath,6.0,['W'],['W'],None,['Sorcery'],None,Uncommon,CMM,None,None,None,"Destroy all creatures. They can't be regenerated.\nThreshold — If seven or more cards are in your graveyard, instead destroy all creatures, then create two 1/1 white Spirit creature tokens with flying. Creatures destroyed this way can't be regenerated."
"Kemba, Kha Regent",3.0,['W'],['W'],['Legendary'],['Creature'],"['Cat', 'Cleric']",Uncommon,CMM,2,4,None,"At the beginning of your upkeep, create a 2/2 white Cat creature token for each Equipment attached to Kemba, Kha Regent."
Jazal Goldmane,4.0,['W'],['W'],['Legendary'],['Creature'],"['Cat', 'Warrior']",Rare,CMM,4,4,None,"First strike\n{3}{W}{W}: Attacking creatures you control get +X/+X until end of turn, where X is the number of attacking creatures."
Herald of the Host,5.0,['W'],['W'],None,['Creature'],['Angel'],Uncommon,CMM,4,4,None,"Flying, vigilance\nMyriad (Whenever this creature attacks, for each opponent other than defending player, you may create a token that's a copy of this creature that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)"
"Heliod, Sun-Crowned",3.0,['W'],['W'],['Legendary'],"['Enchantment', 'Creature']",['God'],Mythic,CMM,5,5,None,"Indestructible\nAs long as your devotion to white is less than five, Heliod isn't a creature.\nWhenever you gain life, put a +1/+1 counter on target creature or enchantment you control.\n{1}{W}: Another target creature gains lifelink until end of turn."
Heavenly Blademaster,6.0,['W'],['W'],None,['Creature'],['Angel'],Rare,CMM,3,6,None,"Flying, double strike\nWhen Heavenly Blademaster enters the battlefield, you may attach any number of Auras and Equipment you control to it.\nOther creatures you control get +1/+1 for each Aura and Equipment attached to Heavenly Blademaster."
Grand Abolisher,2.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric']",Rare,CMM,2,2,None,"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments."
Generous Gift,3.0,['W'],['W'],None,['Instant'],None,Common,CMM,None,None,None,Destroy target permanent. Its controller creates a 3/3 green Elephant creature token.
Gavony Silversmith,4.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,CMM,2,3,None,"When Gavony Silversmith enters the battlefield, put a +1/+1 counter on each of up to two target creatures."
Flawless Maneuver,3.0,['W'],['W'],None,['Instant'],None,Rare,CMM,None,None,None,"If you control a commander, you may cast this spell without paying its mana cost.\nCreatures you control gain indestructible until end of turn."
Elite Scaleguard,5.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,CMM,2,3,None,"When Elite Scaleguard enters the battlefield, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)\nWhenever a creature you control with a +1/+1 counter on it attacks, tap target creature defending player controls."
Darksteel Mutation,2.0,['W'],['W'],None,['Enchantment'],['Aura'],Uncommon,CMM,None,None,None,"Enchant creature\nEnchanted creature is an Insect artifact creature with base power and toughness 0/1 and has indestructible, and it loses all other abilities, card types, and creature types."
Custodi Squire,5.0,['W'],['W'],None,['Creature'],"['Spirit', 'Cleric']",Common,CMM,3,3,None,"Flying\nWill of the council — When Custodi Squire enters the battlefield, starting with you, each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand."
Battle Screech,4.0,['W'],['W'],None,['Sorcery'],None,Common,CMM,None,None,None,Create two 1/1 white Bird creature tokens with flying.\nFlashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
