Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Wheel of Misfortune,3.0,['R'],['R'],None,['Sorcery'],None,Rare,CMR,None,None,None,"Each player secretly chooses a number 0 or greater, then all players reveal those numbers simultaneously and determine the highest and lowest numbers revealed this way. Wheel of Misfortune deals damage equal to the highest number to each player who chose that number. Each player who didn't choose the lowest number discards their hand, then draws seven cards."
Welding Sparks,3.0,['R'],['R'],None,['Instant'],None,Common,CMR,None,None,None,"Welding Sparks deals X damage to target creature, where X is 3 plus the number of artifacts you control."
Vow of Lightning,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,CMR,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2, has first strike, and can't attack you or planeswalkers you control."
Volcanic Torrent,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,CMR,None,None,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)\nVolcanic Torrent deals X damage to each creature and planeswalker your opponents control, where X is the number of spells you've cast this turn."
Stonefury,5.0,['R'],['R'],None,['Instant'],None,Common,CMR,None,None,None,Stonefury deals damage to target creature equal to the number of lands you control.
Volcanic Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,CMR,4,4,None,"Flying, haste"
Soulfire Eruption,9.0,['R'],['R'],None,['Sorcery'],None,Mythic,CMR,None,None,None,"Choose any number of target creatures, planeswalkers, and/or players. For each of them, exile the top card of your library, then Soulfire Eruption deals damage equal to that card's mana value to that permanent or player. You may play the exiled cards until the end of your next turn."
Sandstone Oracle,7.0,None,None,None,"['Artifact', 'Creature']",['Sphinx'],Uncommon,CMR,4,4,None,"Flying\nWhen Sandstone Oracle enters the battlefield, choose an opponent. If that player has more cards in hand than you, draw cards equal to the difference."
Valakut Invoker,3.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,CMR,2,3,None,{8}: Valakut Invoker deals 3 damage to any target.
Undying Rage,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,CMR,None,None,None,"Enchant creature\nEnchanted creature gets +2/+2 and can't block.\nWhen Undying Rage is put into a graveyard from the battlefield, return Undying Rage to its owner's hand."
"Toggo, Goblin Weaponsmith",3.0,['R'],['R'],['Legendary'],['Creature'],"['Goblin', 'Artificer']",Uncommon,CMR,2,2,None,"Landfall — Whenever a land enters the battlefield under your control, create a colorless Equipment artifact token named Rock with ""Equipped creature has '{1}, {T}, Sacrifice Rock: This creature deals 2 damage to any target'"" and equip {1}.\nPartner (You can have two commanders if both have partner.)"
Soul's Fire,3.0,['R'],['R'],None,['Instant'],None,Common,CMR,None,None,None,Target creature you control deals damage equal to its power to any target.
Skyraker Giant,4.0,['R'],['R'],None,['Creature'],['Giant'],Common,CMR,4,3,None,Reach
Rummaging Goblin,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Rogue']",Common,CMR,1,1,None,"{T}, Discard a card: Draw a card."
"Rograkh, Son of Rohgahh",0.0,['R'],['R'],['Legendary'],['Creature'],"['Kobold', 'Warrior']",Uncommon,CMR,0,1,None,"First strike, menace, trample\nPartner (You can have two commanders if both have partner.)"
Maelstrom Colossus,8.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,CMR,7,7,None,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Ripscale Predator,6.0,['R'],['R'],None,['Creature'],['Dinosaur'],Common,CMR,6,5,None,Menace (This creature can't be blocked except by two or more creatures.)
Renegade Tactics,1.0,['R'],['R'],None,['Sorcery'],None,Common,CMR,None,None,None,Target creature can't block this turn.\nDraw a card.
Portent of Betrayal,4.0,['R'],['R'],None,['Sorcery'],None,Common,CMR,None,None,None,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Rings of Brighthearth,3.0,None,None,None,['Artifact'],None,Rare,CMR,None,None,None,"Whenever you activate an ability, if it isn't a mana ability, you may pay {2}. If you do, copy that ability. You may choose new targets for the copy."
Port Razer,5.0,['R'],['R'],None,['Creature'],"['Orc', 'Pirate']",Mythic,CMR,4,4,None,"Whenever Port Razer deals combat damage to a player, untap each creature you control. After this phase, there is an additional combat phase.\nPort Razer can't attack a player it has already attacked this turn."
Lumengrid Gargoyle,6.0,None,None,None,"['Artifact', 'Creature']",['Gargoyle'],Common,CMR,4,4,None,Flying
Meteoric Mace,6.0,['R'],['R'],None,['Artifact'],['Equipment'],Uncommon,CMR,None,None,None,"Equipped creature gets +4/+0 and has trample.\nEquip {4}\nCascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)"
Makeshift Munitions,2.0,['R'],['R'],None,['Enchantment'],None,Common,CMR,None,None,None,"{1}, Sacrifice an artifact or creature: Makeshift Munitions deals 1 damage to any target."
Lightning-Rig Crew,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Pirate']",Uncommon,CMR,0,5,None,"{T}: Lightning-Rig Crew deals 1 damage to each opponent.\nWhenever you cast a Pirate spell, untap Lightning-Rig Crew."
"Krark, the Thumbless",2.0,['R'],['R'],['Legendary'],['Creature'],"['Goblin', 'Wizard']",Rare,CMR,2,2,None,"Whenever you cast an instant or sorcery spell, flip a coin. If you lose the flip, return that spell to its owner's hand. If you win the flip, copy that spell, and you may choose new targets for the copy.\nPartner (You can have two commanders if both have partner.)"
"Kediss, Emberclaw Familiar",2.0,['R'],['R'],['Legendary'],['Creature'],"['Elemental', 'Lizard']",Uncommon,CMR,1,1,None,"Whenever a commander you control deals combat damage to an opponent, it deals that much damage to each other opponent.\nPartner (You can have two commanders if both have partner.)"
Jeska's Will,3.0,['R'],['R'],None,['Sorcery'],None,Rare,CMR,None,None,None,"Choose one. If you control a commander as you cast this spell, you may choose both instead.\n• Add {R} for each card in target opponent's hand.\n• Exile the top three cards of your library. You may play them this turn."
