Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Pride Guardian,1.0,['W'],['W'],None,['Creature'],"['Cat', 'Monk']",Common,CNS,0,3,None,"Defender\nWhenever Pride Guardian blocks, you gain 3 life."
Pillarfield Ox,4.0,['W'],['W'],None,['Creature'],['Ox'],Common,CNS,2,4,None,None
Noble Templar,6.0,['W'],['W'],None,['Creature'],"['Human', 'Cleric', 'Soldier']",Common,CNS,3,6,None,"Vigilance\nPlainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)"
Moment of Heroism,2.0,['W'],['W'],None,['Instant'],None,Common,CNS,None,None,None,Target creature gets +2/+2 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
Kor Chant,3.0,['W'],['W'],None,['Instant'],None,Common,CNS,None,None,None,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.
Intangible Virtue,2.0,['W'],['W'],None,['Enchantment'],None,Uncommon,CNS,None,None,None,Creature tokens you control get +1/+1 and have vigilance.
Guardian Zendikon,3.0,['W'],['W'],None,['Enchantment'],['Aura'],Common,CNS,None,None,None,"Enchant land\nEnchanted land is a 2/6 white Wall creature with defender. It's still a land.\nWhen enchanted land dies, return that card to its owner's hand."
Glimmerpoint Stag,4.0,['W'],['W'],None,['Creature'],['Elk'],Uncommon,CNS,3,3,None,"Vigilance\nWhen Glimmerpoint Stag enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step."
Doomed Traveler,1.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,CNS,1,1,None,"When Doomed Traveler dies, create a 1/1 white Spirit creature token with flying."
Courier Hawk,2.0,['W'],['W'],None,['Creature'],['Bird'],Common,CNS,1,2,None,"Flying, vigilance"
Apex Hawks,3.0,['W'],['W'],None,['Creature'],['Bird'],Common,CNS,2,2,None,Multikicker {1}{W} (You may pay an additional {1}{W} any number of times as you cast this spell.)\nFlying\nApex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.
Ajani's Sunstriker,2.0,['W'],['W'],None,['Creature'],"['Cat', 'Cleric']",Common,CNS,2,2,None,Lifelink (Damage dealt by this creature also causes you to gain that much life.)
