Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDC,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDC,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDC,None,None,None,({T}: Add {B}.)
Barren Moor,0.0,None,['B'],None,['Land'],None,Common,DDC,None,None,None,"Barren Moor enters the battlefield tapped.\n{T}: Add {B}.\nCycling {B} ({B}, Discard this card: Draw a card.)"
Demon's Horn,2.0,None,None,None,['Artifact'],None,Uncommon,DDC,None,None,None,"Whenever a player casts a black spell, you may gain 1 life."
Consume Spirit,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDC,None,None,None,Spend only black mana on X.\nConsume Spirit deals X damage to any target and you gain X life.
Corrupt,6.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDC,None,None,None,Corrupt deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.
Promise of Power,5.0,['B'],['B'],None,['Sorcery'],None,Rare,DDC,None,None,None,"Choose one —\n• You draw five cards and you lose 5 life.\n• Create an X/X black Demon creature token with flying, where X is the number of cards in your hand.\nEntwine {4} (Choose both if you pay the entwine cost.)"
Breeding Pit,4.0,['B'],['B'],None,['Enchantment'],None,Uncommon,DDC,None,None,None,"At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.\nAt the beginning of your end step, create a 0/1 black Thrull creature token."
Barter in Blood,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDC,None,None,None,Each player sacrifices two creatures.
Oni Possession,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Uncommon,DDC,None,None,None,"Enchant creature\nAt the beginning of your upkeep, sacrifice a creature.\nEnchanted creature gets +3/+3 and has trample.\nEnchanted creature is a Demon Spirit."
Dark Banishing,3.0,['B'],['B'],None,['Instant'],None,Common,DDC,None,None,None,Destroy target nonblack creature. It can't be regenerated.
Demonic Tutor,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDC,None,None,None,"Search your library for a card, put that card into your hand, then shuffle."
Cruel Edict,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDC,None,None,None,Target opponent sacrifices a creature.
Unholy Strength,1.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,DDC,None,None,None,Enchant creature\nEnchanted creature gets +2/+1.
Duress,1.0,['B'],['B'],None,['Sorcery'],None,Common,DDC,None,None,None,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
Dark Ritual,1.0,['B'],['B'],None,['Instant'],None,Common,DDC,None,None,None,Add {B}{B}{B}.
