Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Triskelion,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,DDF,1,1,None,Triskelion enters the battlefield with three +1/+1 counters on it.\nRemove a +1/+1 counter from Triskelion: It deals 1 damage to any target.
Trinket Mage,3.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,DDF,2,2,None,"When Trinket Mage enters the battlefield, you may search your library for an artifact card with mana value 1 or less, reveal that card, put it into your hand, then shuffle."
Runed Servitor,2.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,DDF,2,2,None,"When Runed Servitor dies, each player draws a card."
Arcbound Worker,1.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Common,DDF,0,0,None,"Modular 1 (This creature enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)"
Tezzeret the Seeker,5.0,['U'],['U'],['Legendary'],['Planeswalker'],['Tezzeret'],Mythic,DDF,None,None,4,"[+1]: Untap up to two target artifacts.\n[−X]: Search your library for an artifact card with mana value X or less, put it onto the battlefield, then shuffle.\n[−5]: Artifacts you control become artifact creatures with base power and toughness 5/5 until end of turn."
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,DDF,None,None,None,({T}: Add {W}.)
Kabira Crossroads,0.0,None,['W'],None,['Land'],None,Common,DDF,None,None,None,"Kabira Crossroads enters the battlefield tapped.\nWhen Kabira Crossroads enters the battlefield, you gain 2 life.\n{T}: Add {W}."
Daru Encampment,0.0,None,['W'],None,['Land'],None,Uncommon,DDF,None,None,None,"{T}: Add {C}.\n{W}, {T}: Target Soldier creature gets +1/+1 until end of turn."
Crusade,2.0,['W'],['W'],None,['Enchantment'],None,Rare,DDF,None,None,None,White creatures get +1/+1.
Stormfront Riders,5.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Uncommon,DDF,4,3,None,"Flying\nWhen Stormfront Riders enters the battlefield, return two creatures you control to their owner's hand.\nWhenever Stormfront Riders or another creature is returned to your hand from the battlefield, create a 1/1 white Soldier creature token."
Kor Skyfisher,2.0,['W'],['W'],None,['Creature'],"['Kor', 'Soldier']",Common,DDF,2,3,None,"Flying\nWhen Kor Skyfisher enters the battlefield, return a permanent you control to its owner's hand."
Qumulox,8.0,['U'],['U'],None,['Creature'],['Beast'],Uncommon,DDF,5,4,None,Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)\nFlying
Echoing Truth,2.0,['U'],['U'],None,['Instant'],None,Common,DDF,None,None,None,Return target nonland permanent and all other permanents with the same name as that permanent to their owners' hands.
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDF,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDF,None,None,None,({T}: Add {U}.)
Clockwork Hydra,5.0,None,None,None,"['Artifact', 'Creature']",['Hydra'],Uncommon,DDF,0,0,None,"Clockwork Hydra enters the battlefield with four +1/+1 counters on it.\nWhenever Clockwork Hydra attacks or blocks, remove a +1/+1 counter from it. If you do, Clockwork Hydra deals 1 damage to any target.\n{T}: Put a +1/+1 counter on Clockwork Hydra."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDF,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDF,None,None,None,({T}: Add {U}.)
Stalking Stones,0.0,None,None,None,['Land'],None,Uncommon,DDF,None,None,None,{T}: Add {C}.\n{6}: Stalking Stones becomes a 3/3 Elemental artifact creature that's still a land. (This effect lasts indefinitely.)
Juggernaut,4.0,None,None,None,"['Artifact', 'Creature']",['Juggernaut'],Uncommon,DDF,5,3,None,Juggernaut attacks each combat if able.\nJuggernaut can't be blocked by Walls.
Seat of the Synod,0.0,None,['U'],None,"['Artifact', 'Land']",None,Common,DDF,None,None,None,{T}: Add {U}.
Mishra's Factory,0.0,None,None,None,['Land'],None,Uncommon,DDF,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Darksteel Citadel,0.0,None,None,None,"['Artifact', 'Land']",None,Common,DDF,None,None,None,Indestructible\n{T}: Add {C}.
