Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Shiv's Embrace,4.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,DDG,None,None,None,Enchant creature\nEnchanted creature gets +2/+2 and has flying.\n{R}: Enchanted creature gets +1/+0 until end of turn.
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDG,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDG,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDG,None,None,None,({T}: Add {R}.)
Cone of Flame,5.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDG,None,None,None,"Cone of Flame deals 1 damage to any target, 2 damage to another target, and 3 damage to a third target."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDG,None,None,None,({T}: Add {R}.)
Temporary Insanity,4.0,['R'],['R'],None,['Instant'],None,Uncommon,DDG,None,None,None,Untap target creature with power less than the number of cards in your graveyard and gain control of it until end of turn. That creature gains haste until end of turn.
Jaws of Stone,6.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDG,None,None,None,"Jaws of Stone deals X damage divided as you choose among any number of targets, where X is the number of Mountains you control as you cast this spell."
Fiery Fall,6.0,['R'],['R'],None,['Instant'],None,Common,DDG,None,None,None,"Fiery Fall deals 5 damage to target creature.\nBasic landcycling {1}{R} ({1}{R}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Claws of Valakut,3.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,DDG,None,None,None,Enchant creature\nEnchanted creature gets +1/+0 for each Mountain you control and has first strike.
Dragon Whelp,4.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,DDG,2,3,None,"Flying\n{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step."
Treetop Village,0.0,None,['G'],None,['Land'],None,Uncommon,DDG,None,None,None,Treetop Village enters the battlefield tapped.\n{T}: Add {G}.\n{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)
Grasslands,0.0,None,None,None,['Land'],None,Uncommon,DDG,None,None,None,"Grasslands enters the battlefield tapped.\n{T}, Sacrifice Grasslands: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle."
Spidersilk Armor,3.0,['G'],['G'],None,['Enchantment'],None,Common,DDG,None,None,None,Creatures you control get +0/+1 and have reach. (They can block creatures with flying.)
Reprisal,2.0,['W'],['W'],None,['Instant'],None,Uncommon,DDG,None,None,None,Destroy target creature with power 4 or greater. It can't be regenerated.
Paladin of Prahv,6.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Uncommon,DDG,3,4,None,"Whenever Paladin of Prahv deals damage, you gain that much life.\nForecast — {1}{W}, Reveal Paladin of Prahv from your hand: Whenever target creature deals damage this turn, you gain that much life. (Activate only during your upkeep and only once each turn.)"
Plover Knights,5.0,['W'],['W'],None,['Creature'],"['Kithkin', 'Knight']",Common,DDG,3,3,None,"Flying, first strike"
Caravan Escort,1.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Common,DDG,1,1,None,Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-4\n2/2\nLEVEL 5+\n5/5\nFirst strike
