Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Crumbling Necropolis,0.0,None,"['B', 'R', 'U']",None,['Land'],None,Uncommon,DDH,None,None,None,"Crumbling Necropolis enters the battlefield tapped.\n{T}: Add {U}, {B}, or {R}."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDH,None,None,None,({T}: Add {U}.)
Rise // Fall,4.0,"['U', 'B']","['B', 'R', 'U']",None,['Sorcery'],None,Uncommon,DDH,None,None,None,Return target creature card from a graveyard and target creature on the battlefield to their owners' hands.
Pain // Suffering,5.0,['B'],"['B', 'R']",None,['Sorcery'],None,Uncommon,DDH,None,None,None,Target player discards a card.
Spite // Malice,8.0,['U'],"['B', 'U']",None,['Instant'],None,Uncommon,DDH,None,None,None,Counter target noncreature spell.
Profane Command,2.0,['B'],['B'],None,['Sorcery'],None,Rare,DDH,None,None,None,Choose two —\n• Target player loses X life.\n• Return target creature card with mana value X or less from your graveyard to the battlefield.\n• Target creature gets -X/-X until end of turn.\n• Up to X target creatures gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)
Cruel Ultimatum,7.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Sorcery'],None,Rare,DDH,None,None,None,"Target opponent sacrifices a creature, discards three cards, then loses 5 life. You return a creature card from your graveyard to your hand, draw three cards, then gain 5 life."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDH,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDH,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDH,None,None,None,({T}: Add {B}.)
Elder Mastery,6.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Enchantment'],['Aura'],Uncommon,DDH,None,None,None,"Enchant creature\nEnchanted creature gets +3/+3 and has flying.\nWhenever enchanted creature deals damage to a player, that player discards two cards."
Slave of Bolas,5.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Sorcery'],None,Uncommon,DDH,None,None,None,Gain control of target creature. Untap that creature. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.
Rupture Spire,0.0,None,None,None,['Land'],None,Common,DDH,None,None,None,"Rupture Spire enters the battlefield tapped.\nWhen Rupture Spire enters the battlefield, sacrifice it unless you pay {1}.\n{T}: Add one mana of any color."
Agonizing Demise,4.0,['B'],"['B', 'R']",None,['Instant'],None,Common,DDH,None,None,None,"Kicker {1}{R} (You may pay an additional {1}{R} as you cast this spell.)\nDestroy target nonblack creature. It can't be regenerated. If this spell was kicked, Agonizing Demise deals damage equal to that creature's power to the creature's controller."
Deep Analysis,4.0,['U'],['U'],None,['Sorcery'],None,Uncommon,DDH,None,None,None,"Target player draws two cards.\nFlashback—{1}{U}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Icy Manipulator,4.0,None,None,None,['Artifact'],None,Uncommon,DDH,None,None,None,"{1}, {T}: Tap target artifact, creature, or land."
Grixis Charm,3.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Instant'],None,Uncommon,DDH,None,None,None,Choose one —\n• Return target permanent to its owner's hand.\n• Target creature gets -4/-4 until end of turn.\n• Creatures you control get +2/+0 until end of turn.
Undermine,3.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Rare,DDH,None,None,None,Counter target spell. Its controller loses 3 life.
Recoil,3.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Common,DDH,None,None,None,Return target permanent to its owner's hand. Then that player discards a card.
Obelisk of Grixis,3.0,None,"['B', 'R', 'U']",None,['Artifact'],None,Common,DDH,None,None,None,"{T}: Add {U}, {B}, or {R}."
Countersquall,2.0,"['B', 'U']","['B', 'U']",None,['Instant'],None,Uncommon,DDH,None,None,None,Counter target noncreature spell. Its controller loses 2 life.
Vapor Snag,1.0,['U'],['U'],None,['Instant'],None,Common,DDH,None,None,None,Return target creature to its owner's hand. Its controller loses 1 life.
Igneous Pouncer,6.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Elemental'],Common,DDH,5,1,None,"Haste\nSwampcycling {2}, mountaincycling {2} ({2}, Discard this card: Search your library for a Swamp or Mountain card, reveal it, put it into your hand, then shuffle.)"
Jhessian Zombies,6.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Zombie'],Common,DDH,2,4,None,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nIslandcycling {2}, swampcycling {2} ({2}, Discard this card: Search your library for an Island or Swamp card, reveal it, put it into your hand, then shuffle.)"
Ogre Savant,5.0,['R'],"['R', 'U']",None,['Creature'],"['Ogre', 'Wizard']",Common,DDH,3,2,None,"When Ogre Savant enters the battlefield, if {U} was spent to cast it, return target creature to its owner's hand."
Shriekmaw,5.0,['B'],['B'],None,['Creature'],['Elemental'],Uncommon,DDH,3,2,None,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhen Shriekmaw enters the battlefield, destroy target nonartifact, nonblack creature.\nEvoke {1}{B} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Fire-Field Ogre,4.0,"['B', 'R', 'U']","['B', 'R', 'U']",None,['Creature'],"['Ogre', 'Mutant']",Uncommon,DDH,4,2,None,First strike\nUnearth {U}{B}{R} ({U}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
Blazing Specter,4.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Specter'],Rare,DDH,2,2,None,"Flying, haste\nWhenever Blazing Specter deals combat damage to a player, that player discards a card."
Moroii,4.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Vampire'],Uncommon,DDH,4,4,None,"Flying\nAt the beginning of your upkeep, you lose 1 life."
Steamcore Weird,4.0,['U'],"['R', 'U']",None,['Creature'],['Weird'],Common,DDH,1,3,None,"When Steamcore Weird enters the battlefield, if {R} was spent to cast it, it deals 2 damage to any target."
Dimir Cutpurse,3.0,"['B', 'U']","['B', 'U']",None,['Creature'],['Spirit'],Rare,DDH,2,2,None,"Whenever Dimir Cutpurse deals combat damage to a player, that player discards a card and you draw a card."
Hellfire Mongrel,3.0,['R'],['R'],None,['Creature'],"['Elemental', 'Dog']",Uncommon,DDH,2,2,None,"At the beginning of each opponent's upkeep, if that player has two or fewer cards in hand, Hellfire Mongrel deals 2 damage to that player."
Morgue Toad,3.0,['B'],"['B', 'R', 'U']",None,['Creature'],['Frog'],Common,DDH,2,2,None,Sacrifice Morgue Toad: Add {U}{R}.
Brackwater Elemental,3.0,['U'],['U'],None,['Creature'],['Elemental'],Common,DDH,4,4,None,"When Brackwater Elemental attacks or blocks, sacrifice it at the beginning of the next end step.\nUnearth {2}{U} ({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
