Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDI,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDI,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDI,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDI,None,None,None,({T}: Add {R}.)
Volley of Boulders,9.0,['R'],['R'],None,['Sorcery'],None,Rare,DDI,None,None,None,Volley of Boulders deals 6 damage divided as you choose among any number of targets.\nFlashback {R}{R}{R}{R}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Jaws of Stone,6.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDI,None,None,None,"Jaws of Stone deals X damage divided as you choose among any number of targets, where X is the number of Mountains you control as you cast this spell."
Spire Barrage,5.0,['R'],['R'],None,['Sorcery'],None,Common,DDI,None,None,None,Spire Barrage deals damage to any target equal to the number of Mountains you control.
Seismic Strike,3.0,['R'],['R'],None,['Instant'],None,Common,DDI,None,None,None,Seismic Strike deals damage to target creature equal to the number of Mountains you control.
Downhill Charge,3.0,['R'],['R'],None,['Instant'],None,Common,DDI,None,None,None,"You may sacrifice a Mountain rather than pay this spell's mana cost.\nTarget creature gets +X/+0 until end of turn, where X is the number of Mountains you control."
Vulshok Battlegear,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,DDI,None,None,None,Equipped creature gets +3/+3.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)
Searing Blaze,2.0,['R'],['R'],None,['Instant'],None,Common,DDI,None,None,None,"Searing Blaze deals 1 damage to target player or planeswalker and 1 damage to target creature that player or that planeswalker's controller controls.\nLandfall — If you had a land enter the battlefield under your control this turn, Searing Blaze deals 3 damage to that player or planeswalker and 3 damage to that creature instead."
Vulshok Morningstar,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,DDI,None,None,None,Equipped creature gets +2/+2.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Journeyer's Kite,2.0,None,None,None,['Artifact'],None,Rare,DDI,None,None,None,"{3}, {T}: Search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Armillary Sphere,2.0,None,None,None,['Artifact'],None,Common,DDI,None,None,None,"{2}, {T}, Sacrifice Armillary Sphere: Search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle."
Wayfarer's Bauble,1.0,None,None,None,['Artifact'],None,Common,DDI,None,None,None,"{2}, {T}, Sacrifice Wayfarer's Bauble: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Bloodfire Colossus,8.0,['R'],['R'],None,['Creature'],['Giant'],Rare,DDI,6,6,None,"{R}, Sacrifice Bloodfire Colossus: It deals 6 damage to each creature and each player."
Greater Stone Spirit,6.0,['R'],['R'],None,['Creature'],"['Elemental', 'Spirit']",Uncommon,DDI,4,4,None,"Greater Stone Spirit can't be blocked by creatures with flying.\n{2}{R}: Until end of turn, target creature gets +0/+2 and gains ""{R}: This creature gets +1/+0 until end of turn."""
Earth Servant,6.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,DDI,4,4,None,Earth Servant gets +0/+1 for each Mountain you control.
Chartooth Cougar,6.0,['R'],['R'],None,['Creature'],"['Cat', 'Beast']",Common,DDI,4,4,None,"{R}: Chartooth Cougar gets +1/+0 until end of turn.\nMountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)"
Torchling,5.0,['R'],['R'],None,['Creature'],['Shapeshifter'],Rare,DDI,3,3,None,{R}: Untap Torchling.\n{R}: Target creature blocks Torchling this turn if able.\n{R}: Change the target of target spell that targets only Torchling.\n{1}: Torchling gets +1/-1 until end of turn.\n{1}: Torchling gets -1/+1 until end of turn.
Lithophage,5.0,['R'],['R'],None,['Creature'],['Insect'],Rare,DDI,7,7,None,"At the beginning of your upkeep, sacrifice Lithophage unless you sacrifice a Mountain."
Geyser Glider,5.0,['R'],['R'],None,['Creature'],"['Elemental', 'Beast']",Uncommon,DDI,4,4,None,"Landfall — Whenever a land enters the battlefield under your control, Geyser Glider gains flying until end of turn."
