Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDK,None,None,None,({T}: Add {B}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDK,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDK,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDK,None,None,None,({T}: Add {R}.)
Rakdos Carnarium,0.0,None,"['B', 'R']",None,['Land'],None,Common,DDK,None,None,None,"Rakdos Carnarium enters the battlefield tapped.\nWhen Rakdos Carnarium enters the battlefield, return a land you control to its owner's hand.\n{T}: Add {B}{R}."
Akoum Refuge,0.0,None,"['B', 'R']",None,['Land'],None,Uncommon,DDK,None,None,None,"Akoum Refuge enters the battlefield tapped.\nWhen Akoum Refuge enters the battlefield, you gain 1 life.\n{T}: Add {B} or {R}."
Devil's Play,1.0,['R'],['R'],None,['Sorcery'],None,Rare,DDK,None,None,None,Devil's Play deals X damage to any target.\nFlashback {X}{R}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Torrent of Souls,5.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Uncommon,DDK,None,None,None,Return up to one target creature card from your graveyard to the battlefield if {B} was spent to cast this spell. Creatures target player controls get +2/+0 and gain haste until end of turn if {R} was spent to cast this spell. (Do both if {B}{R} was spent.)
Flame Javelin,6.0,['R'],['R'],None,['Instant'],None,Uncommon,DDK,None,None,None,({2/R} can be paid with any two mana or with {R}. This card's mana value is 6.)\nFlame Javelin deals 4 damage to any target.
Blightning,3.0,"['B', 'R']","['B', 'R']",None,['Sorcery'],None,Common,DDK,None,None,None,Blightning deals 3 damage to target player or planeswalker. That player or that planeswalker's controller discards two cards.
Sulfuric Vortex,3.0,['R'],['R'],None,['Enchantment'],None,Rare,DDK,None,None,None,"At the beginning of each player's upkeep, Sulfuric Vortex deals 2 damage to that player.\nIf a player would gain life, that player gains no life instead."
Breaking Point,3.0,['R'],['R'],None,['Sorcery'],None,Rare,DDK,None,None,None,"Any player may have Breaking Point deal 6 damage to them. If no one does, destroy all creatures. Creatures destroyed this way can't be regenerated."
Browbeat,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDK,None,None,None,"Any player may have Browbeat deal 5 damage to them. If no one does, target player draws three cards."
Strangling Soot,3.0,['B'],"['B', 'R']",None,['Instant'],None,Common,DDK,None,None,None,Destroy target creature with toughness 3 or less.\nFlashback {5}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Terminate,2.0,"['B', 'R']","['B', 'R']",None,['Instant'],None,Common,DDK,None,None,None,Destroy target creature. It can't be regenerated.
Recoup,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDK,None,None,None,Target sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (Mana cost includes color.)\nFlashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDK,None,None,None,({T}: Add {B}.)
Pyroclasm,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDK,None,None,None,Pyroclasm deals 2 damage to each creature.
Geistflame,1.0,['R'],['R'],None,['Instant'],None,Common,DDK,None,None,None,Geistflame deals 1 damage to any target.\nFlashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Flame Slash,1.0,['R'],['R'],None,['Sorcery'],None,Common,DDK,None,None,None,Flame Slash deals 4 damage to target creature.
Faithless Looting,1.0,['R'],['R'],None,['Sorcery'],None,Common,DDK,None,None,None,"Draw two cards, then discard two cards.\nFlashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Blazing Salvo,1.0,['R'],['R'],None,['Instant'],None,Common,DDK,None,None,None,Blazing Salvo deals 3 damage to target creature unless that creature's controller has Blazing Salvo deal 5 damage to them.
Bump in the Night,1.0,['B'],"['B', 'R']",None,['Sorcery'],None,Common,DDK,None,None,None,Target opponent loses 3 life.\nFlashback {5}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Gang of Devils,6.0,['R'],['R'],None,['Creature'],['Devil'],Uncommon,DDK,3,3,None,"When Gang of Devils dies, it deals 3 damage divided as you choose among one, two, or three targets."
Scourge Devil,5.0,['R'],['R'],None,['Creature'],['Devil'],Uncommon,DDK,3,3,None,"When Scourge Devil enters the battlefield, creatures you control get +1/+0 until end of turn.\nUnearth {2}{R} ({2}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Corpse Connoisseur,5.0,['B'],['B'],None,['Creature'],"['Zombie', 'Wizard']",Uncommon,DDK,3,3,None,"When Corpse Connoisseur enters the battlefield, you may search your library for a creature card, put that card into your graveyard, then shuffle.\nUnearth {3}{B} ({3}{B}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
Skirsdag Cultist,4.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Uncommon,DDK,2,2,None,"{R}, {T}, Sacrifice a creature: Skirsdag Cultist deals 2 damage to any target."
