Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDL,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDL,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDL,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDL,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDL,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDL,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDL,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDL,None,None,None,({T}: Add {R}.)
"Skarrg, the Rage Pits",0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,DDL,None,None,None,"{T}: Add {C}.\n{R}{G}, {T}: Target creature gets +1/+1 and gains trample until end of turn."
Llanowar Reborn,0.0,None,['G'],None,['Land'],None,Uncommon,DDL,None,None,None,"Llanowar Reborn enters the battlefield tapped.\n{T}: Add {G}.\nGraft 1 (This land enters the battlefield with a +1/+1 counter on it. Whenever a creature enters the battlefield, you may move a +1/+1 counter from this land onto it.)"
Kazandu Refuge,0.0,None,"['G', 'R']",None,['Land'],None,Uncommon,DDL,None,None,None,"Kazandu Refuge enters the battlefield tapped.\nWhen Kazandu Refuge enters the battlefield, you gain 1 life.\n{T}: Add {R} or {G}."
Fires of Yavimaya,3.0,"['G', 'R']","['G', 'R']",None,['Enchantment'],None,Uncommon,DDL,None,None,None,Creatures you control have haste.\nSacrifice Fires of Yavimaya: Target creature gets +2/+2 until end of turn.
Beast Within,3.0,['G'],['G'],None,['Instant'],None,Uncommon,DDL,None,None,None,Destroy target permanent. Its controller creates a 3/3 green Beast creature token.
Volt Charge,3.0,['R'],['R'],None,['Instant'],None,Common,DDL,None,None,None,"Volt Charge deals 3 damage to any target. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Dragon Blood,3.0,None,None,None,['Artifact'],None,Uncommon,DDL,None,None,None,"{3}, {T}: Put a +1/+1 counter on target creature."
Destructive Revelry,2.0,"['G', 'R']","['G', 'R']",None,['Instant'],None,Uncommon,DDL,None,None,None,Destroy target artifact or enchantment. Destructive Revelry deals 2 damage to that permanent's controller.
Terrifying Presence,2.0,['G'],['G'],None,['Instant'],None,Common,DDL,None,None,None,Prevent all combat damage that would be dealt by creatures other than target creature this turn.
Regrowth,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DDL,None,None,None,Return target card from your graveyard to your hand.
Pyroclasm,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDL,None,None,None,Pyroclasm deals 2 damage to each creature.
