Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,DDN,None,None,None,({T}: Add {W}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDN,None,None,None,({T}: Add {R}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDN,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDN,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDN,None,None,None,({T}: Add {U}.)
Terramorphic Expanse,0.0,None,None,None,['Land'],None,Common,DDN,None,None,None,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Mystic Monastery,0.0,None,"['R', 'U', 'W']",None,['Land'],None,Uncommon,DDN,None,None,None,"Mystic Monastery enters the battlefield tapped.\n{T}: Add {U}, {R}, or {W}."
Repeal,1.0,['U'],['U'],None,['Instant'],None,Common,DDN,None,None,None,Return target nonland permanent with mana value X to its owner's hand.\nDraw a card.
Arrow Volley Trap,5.0,['W'],['W'],None,['Instant'],['Trap'],Uncommon,DDN,None,None,None,"If four or more creatures are attacking, you may pay {1}{W} rather than pay this spell's mana cost.\nArrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures."
Whiplash Trap,5.0,['U'],['U'],None,['Instant'],['Trap'],Common,DDN,None,None,None,"If an opponent had two or more creatures enter the battlefield under their control this turn, you may pay {U} rather than pay this spell's mana cost.\nReturn two target creatures to their owners' hands."
Traumatic Visions,5.0,['U'],['U'],None,['Instant'],None,Common,DDN,None,None,None,"Counter target spell.\nBasic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Steam Augury,4.0,"['R', 'U']","['R', 'U']",None,['Instant'],None,Rare,DDN,None,None,None,Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.
Inferno Trap,4.0,['R'],['R'],None,['Instant'],['Trap'],Uncommon,DDN,None,None,None,"If you've been dealt damage by two or more creatures this turn, you may pay {R} rather than pay this spell's mana cost.\nInferno Trap deals 4 damage to target creature."
Hold the Line,3.0,['W'],['W'],None,['Instant'],None,Rare,DDN,None,None,None,Blocking creatures get +7/+7 until end of turn.
Lightning Helix,2.0,"['R', 'W']","['R', 'W']",None,['Instant'],None,Uncommon,DDN,None,None,None,Lightning Helix deals 3 damage to any target and you gain 3 life.
Mana Leak,2.0,['U'],['U'],None,['Instant'],None,Common,DDN,None,None,None,Counter target spell unless its controller pays {3}.
Impulse,2.0,['U'],['U'],None,['Instant'],None,Common,DDN,None,None,None,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
Swift Justice,1.0,['W'],['W'],None,['Instant'],None,Common,DDN,None,None,None,"Until end of turn, target creature gets +1/+0 and gains first strike and lifelink."
Stave Off,1.0,['W'],['W'],None,['Instant'],None,Common,DDN,None,None,None,Target creature gains protection from the color of your choice until end of turn.
Fleeting Distraction,1.0,['U'],['U'],None,['Instant'],None,Common,DDN,None,None,None,Target creature gets -1/-0 until end of turn.\nDraw a card.
Sphinx of Uthuun,7.0,['U'],['U'],None,['Creature'],['Sphinx'],Rare,DDN,5,6,None,"Flying\nWhen Sphinx of Uthuun enters the battlefield, reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard."
Thousand Winds,6.0,['U'],['U'],None,['Creature'],['Elemental'],Rare,DDN,5,6,None,"Flying\nMorph {5}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Thousand Winds is turned face up, return all other tapped creatures to their owners' hands."
Faerie Invaders,5.0,['U'],['U'],None,['Creature'],"['Faerie', 'Rogue']",Common,DDN,3,3,None,Flash (You may cast this spell any time you could cast an instant.)\nFlying
Lightning Angel,4.0,"['R', 'U', 'W']","['R', 'U', 'W']",None,['Creature'],['Angel'],Rare,DDN,3,4,None,"Flying, vigilance, haste"
Hussar Patrol,4.0,"['U', 'W']","['U', 'W']",None,['Creature'],"['Human', 'Knight']",Common,DDN,2,4,None,Flash (You may cast this spell any time you could cast an instant.)\nVigilance
Aquamorph Entity,4.0,['U'],['U'],None,['Creature'],['Shapeshifter'],Common,DDN,*,*,None,"As Aquamorph Entity enters the battlefield or is turned face up, it becomes your choice of 5/1 or 1/5.\nMorph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"
Stonecloaker,3.0,['W'],['W'],None,['Creature'],['Gargoyle'],Uncommon,DDN,3,2,None,"Flash\nFlying\nWhen Stonecloaker enters the battlefield, return a creature you control to its owner's hand.\nWhen Stonecloaker enters the battlefield, exile target card from a graveyard."
Kor Hookmaster,3.0,['W'],['W'],None,['Creature'],"['Kor', 'Soldier']",Common,DDN,2,2,None,"When Kor Hookmaster enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step."
Echo Tracer,3.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Common,DDN,2,2,None,"Morph {2}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Echo Tracer is turned face up, return target creature to its owner's hand."
Master Decoy,2.0,['W'],['W'],None,['Creature'],"['Human', 'Soldier']",Common,DDN,1,2,None,"{W}, {T}: Tap target creature."
Lone Missionary,2.0,['W'],['W'],None,['Creature'],"['Kor', 'Monk']",Common,DDN,2,1,None,"When Lone Missionary enters the battlefield, you gain 4 life."
Sparkmage Apprentice,2.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Common,DDN,1,1,None,"When Sparkmage Apprentice enters the battlefield, it deals 1 damage to any target."
Willbender,2.0,['U'],['U'],None,['Creature'],"['Human', 'Wizard']",Uncommon,DDN,1,2,None,"Morph {1}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Willbender is turned face up, change the target of target spell or ability with a single target."
Jeskai Elder,2.0,['U'],['U'],None,['Creature'],"['Human', 'Monk']",Uncommon,DDN,1,2,None,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever Jeskai Elder deals combat damage to a player, you may draw a card. If you do, discard a card."
Fathom Seer,2.0,['U'],['U'],None,['Creature'],['Illusion'],Common,DDN,1,3,None,"Morph—Return two Islands you control to their owner's hand. (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Fathom Seer is turned face up, draw two cards."
Coral Trickster,2.0,['U'],['U'],None,['Creature'],"['Merfolk', 'Rogue']",Common,DDN,2,1,None,"Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Coral Trickster is turned face up, you may tap or untap target permanent."
Faerie Impostor,1.0,['U'],['U'],None,['Creature'],"['Faerie', 'Rogue']",Uncommon,DDN,2,1,None,"Flying\nWhen Faerie Impostor enters the battlefield, sacrifice it unless you return another creature you control to its owner's hand."
Arcanis the Omnipotent,6.0,['U'],['U'],['Legendary'],['Creature'],['Wizard'],Mythic,DDN,3,4,None,{T}: Draw three cards.\n{2}{U}{U}: Return Arcanis the Omnipotent to its owner's hand.
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDN,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDN,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDN,None,None,None,({T}: Add {B}.)
Plains,0.0,None,['W'],['Basic'],['Land'],['Plains'],Common,DDN,None,None,None,({T}: Add {W}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDN,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDN,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDN,None,None,None,({T}: Add {R}.)
Nomad Outpost,0.0,None,"['B', 'R', 'W']",None,['Land'],None,Uncommon,DDN,None,None,None,"Nomad Outpost enters the battlefield tapped.\n{T}: Add {R}, {W}, or {B}."
Ghitu Encampment,0.0,None,['R'],None,['Land'],None,Uncommon,DDN,None,None,None,Ghitu Encampment enters the battlefield tapped.\n{T}: Add {R}.\n{1}{R}: Ghitu Encampment becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)
Evolving Wilds,0.0,None,None,None,['Land'],None,Common,DDN,None,None,None,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Banefire,1.0,['R'],['R'],None,['Sorcery'],None,Rare,DDN,None,None,None,"Banefire deals X damage to any target.\nIf X is 5 or more, this spell can't be countered and the damage can't be prevented."
Fury of the Horde,7.0,['R'],['R'],None,['Sorcery'],None,Rare,DDN,None,None,None,"You may exile two red cards from your hand rather than pay this spell's mana cost.\nUntap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
Fiery Fall,6.0,['R'],['R'],None,['Instant'],None,Common,DDN,None,None,None,"Fiery Fall deals 5 damage to target creature.\nBasic landcycling {1}{R} ({1}{R}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
Orcish Cannonade,3.0,['R'],['R'],None,['Instant'],None,Common,DDN,None,None,None,Orcish Cannonade deals 2 damage to any target and 3 damage to you.\nDraw a card.
Dauntless Onslaught,3.0,['W'],['W'],None,['Instant'],None,Uncommon,DDN,None,None,None,Up to two target creatures each get +2/+2 until end of turn.
Act of Treason,3.0,['R'],['R'],None,['Sorcery'],None,Common,DDN,None,None,None,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)
