Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Beastbreaker of Bala Ged,2.0,['G'],['G'],None,['Creature'],"['Human', 'Warrior']",Uncommon,DDP,2,2,None,Level up {2}{G} ({2}{G}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-3\n4/4\nLEVEL 4+\n6/6\nTrample
Territorial Baloth,5.0,['G'],['G'],None,['Creature'],['Beast'],Common,DDP,4,4,None,"Landfall — Whenever a land enters the battlefield under your control, Territorial Baloth gets +2/+2 until end of turn."
Hellion Eruption,6.0,['R'],['R'],None,['Sorcery'],None,Rare,DDP,None,None,None,"Sacrifice all creatures you control, then create that many 4/4 red Hellion creature tokens."
Tajuru Archer,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Archer', 'Ally']",Uncommon,DDP,1,2,None,"Whenever Tajuru Archer or another Ally enters the battlefield under your control, you may have Tajuru Archer deal damage to target creature with flying equal to the number of Allies you control."
Sheer Drop,3.0,['W'],['W'],None,['Sorcery'],None,Common,DDP,None,None,None,"Destroy target tapped creature.\nAwaken 3—{5}{W} (If you cast this spell for {5}{W}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"
Forked Bolt,1.0,['R'],['R'],None,['Sorcery'],None,Common,DDP,None,None,None,Forked Bolt deals 2 damage divided as you choose among one or two targets.
Emrakul's Hatcher,5.0,['R'],['R'],None,['Creature'],"['Eldrazi', 'Drone']",Common,DDP,3,3,None,"When Emrakul's Hatcher enters the battlefield, create three 0/1 colorless Eldrazi Spawn creature tokens. They have ""Sacrifice this creature: Add {C}."""
Vampire Nighthawk,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Uncommon,DDP,2,3,None,"Flying, deathtouch, lifelink"
Smother,2.0,['B'],['B'],None,['Instant'],None,Uncommon,DDP,None,None,None,Destroy target creature with mana value 3 or less. It can't be regenerated.
Read the Bones,3.0,['B'],['B'],None,['Sorcery'],None,Common,DDP,None,None,None,"Scry 2, then draw two cards. You lose 2 life."
Pawn of Ulamog,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Uncommon,DDP,2,2,None,"Whenever Pawn of Ulamog or another nontoken creature you control dies, you may create a 0/1 colorless Eldrazi Spawn creature token. It has ""Sacrifice this creature: Add {C}."""
Scute Mob,1.0,['G'],['G'],None,['Creature'],['Insect'],Rare,DDP,1,1,None,"At the beginning of your upkeep, if you control five or more lands, put four +1/+1 counters on Scute Mob."
Marsh Casualties,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDP,None,None,None,"Kicker {3} (You may pay an additional {3} as you cast this spell.)\nCreatures target player controls get -1/-1 until end of turn. If this spell was kicked, those creatures get -2/-2 until end of turn instead."
Repel the Darkness,3.0,['W'],['W'],None,['Instant'],None,Common,DDP,None,None,None,Tap up to two target creatures.\nDraw a card.
Retreat to Kazandu,3.0,['G'],['G'],None,['Enchantment'],None,Uncommon,DDP,None,None,None,"Landfall — Whenever a land enters the battlefield under your control, choose one —\n• Put a +1/+1 counter on target creature.\n• You gain 2 life."
Heartstabber Mosquito,4.0,['B'],['B'],None,['Creature'],['Insect'],Common,DDP,2,2,None,"Kicker {2}{B} (You may pay an additional {2}{B} as you cast this spell.)\nFlying\nWhen Heartstabber Mosquito enters the battlefield, if it was kicked, destroy target creature."
Caravan Escort,1.0,['W'],['W'],None,['Creature'],"['Human', 'Knight']",Common,DDP,1,1,None,Level up {2} ({2}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-4\n2/2\nLEVEL 5+\n5/5\nFirst strike
Induce Despair,3.0,['B'],['B'],None,['Instant'],None,Common,DDP,None,None,None,"As an additional cost to cast this spell, reveal a creature card from your hand.\nTarget creature gets -X/-X until end of turn, where X is the revealed card's mana value."
Dominator Drone,3.0,None,['B'],None,['Creature'],"['Eldrazi', 'Drone']",Common,DDP,3,2,None,"Devoid (This card has no color.)\nIngest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)\nWhen Dominator Drone enters the battlefield, if you control another colorless creature, each opponent loses 2 life."
Corpsehatch,5.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDP,None,None,None,"Destroy target nonblack creature. Create two 0/1 colorless Eldrazi Spawn creature tokens. They have ""Sacrifice this creature: Add {C}."""
Oust,1.0,['W'],['W'],None,['Sorcery'],None,Uncommon,DDP,None,None,None,Put target creature into its owner's library second from the top. Its controller gains 3 life.
Consume the Meek,5.0,['B'],['B'],None,['Instant'],None,Rare,DDP,None,None,None,Destroy each creature with mana value 3 or less. They can't be regenerated.
Primal Command,5.0,['G'],['G'],None,['Sorcery'],None,Rare,DDP,None,None,None,"Choose two —\n• Target player gains 7 life.\n• Put target noncreature permanent on top of its owner's library.\n• Target player shuffles their graveyard into their library.\n• Search your library for a creature card, reveal it, put it into your hand, then shuffle."
Cadaver Imp,3.0,['B'],['B'],None,['Creature'],['Imp'],Common,DDP,1,1,None,"Flying\nWhen Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand."
Butcher of Malakir,7.0,['B'],['B'],None,['Creature'],"['Vampire', 'Warrior']",Rare,DDP,5,4,None,"Flying\nWhenever Butcher of Malakir or another creature you control dies, each opponent sacrifices a creature."
Bloodthrone Vampire,2.0,['B'],['B'],None,['Creature'],['Vampire'],Common,DDP,1,1,None,Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.
Ondu Giant,4.0,['G'],['G'],None,['Creature'],"['Giant', 'Druid']",Common,DDP,2,4,None,"When Ondu Giant enters the battlefield, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
Avenger of Zendikar,7.0,['G'],['G'],None,['Creature'],['Elemental'],Mythic,DDP,5,5,None,"When Avenger of Zendikar enters the battlefield, create a 0/1 green Plant creature token for each land you control.\nLandfall — Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control."
Bloodrite Invoker,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Shaman']",Common,DDP,3,1,None,{8}: Target player loses 3 life and you gain 3 life.
Ulamog's Crusher,8.0,None,None,None,['Creature'],['Eldrazi'],Common,DDP,8,8,None,"Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)\nUlamog's Crusher attacks each combat if able."
It That Betrays,12.0,None,None,None,['Creature'],['Eldrazi'],Rare,DDP,11,11,None,"Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)\nWhenever an opponent sacrifices a nontoken permanent, put that card onto the battlefield under your control."
Artisan of Kozilek,9.0,None,None,None,['Creature'],['Eldrazi'],Uncommon,DDP,10,9,None,"When you cast this spell, you may return target creature card from your graveyard to the battlefield.\nAnnihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)"
Makindi Griffin,4.0,['W'],['W'],None,['Creature'],['Griffin'],Common,DDP,2,4,None,Flying
Oblivion Sower,6.0,None,None,None,['Creature'],['Eldrazi'],Mythic,DDP,5,8,None,"When you cast this spell, target opponent exiles the top four cards of their library, then you may put any number of land cards that player owns from exile onto the battlefield under your control."
Knight of Cliffhaven,2.0,['W'],['W'],None,['Creature'],"['Kor', 'Knight']",Common,DDP,2,2,None,"Level up {3} ({3}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-3\n2/3\nFlying\nLEVEL 4+\n4/4\nFlying, vigilance"
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDP,None,None,None,({T}: Add {G}.)
