Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDR,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDR,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDR,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDR,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DDR,None,None,None,({T}: Add {B}.)
Leechridden Swamp,0.0,None,['B'],None,['Land'],['Swamp'],Uncommon,DDR,None,None,None,"({T}: Add {B}.)\nLeechridden Swamp enters the battlefield tapped.\n{B}, {T}: Each opponent loses 1 life. Activate only if you control two or more black permanents."
Unhallowed Pact,3.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,DDR,None,None,None,"Enchant creature\nWhen enchanted creature dies, return that card to the battlefield under your control."
Tendrils of Corruption,4.0,['B'],['B'],None,['Instant'],None,Common,DDR,None,None,None,"Tendrils of Corruption deals X damage to target creature and you gain X life, where X is the number of Swamps you control."
Squelching Leeches,4.0,['B'],['B'],None,['Creature'],['Leech'],Uncommon,DDR,*,*,None,Squelching Leeches's power and toughness are each equal to the number of Swamps you control.
Smallpox,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDR,None,None,None,"Each player loses 1 life, discards a card, sacrifices a creature, then sacrifices a land."
Renegade Demon,5.0,['B'],['B'],None,['Creature'],['Demon'],Common,DDR,5,3,None,None
Pestilence Demon,8.0,['B'],['B'],None,['Creature'],['Demon'],Rare,DDR,7,6,None,Flying\n{B}: Pestilence Demon deals 1 damage to each creature and each player.
Quest for the Gravelord,1.0,['B'],['B'],None,['Enchantment'],None,Uncommon,DDR,None,None,None,"Whenever a creature dies, you may put a quest counter on Quest for the Gravelord.\nRemove three quest counters from Quest for the Gravelord and sacrifice it: Create a 5/5 black Zombie Giant creature token."
Priest of the Blood Rite,5.0,['B'],['B'],None,['Creature'],"['Human', 'Cleric']",Rare,DDR,2,2,None,"When Priest of the Blood Rite enters the battlefield, create a 5/5 black Demon creature token with flying.\nAt the beginning of your upkeep, you lose 2 life."
Shadows of the Past,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,DDR,None,None,None,"Whenever a creature dies, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)\n{4}{B}: Each opponent loses 2 life and you gain 2 life. Activate only if there are four or more creature cards in your graveyard."
Mire's Toll,1.0,['B'],['B'],None,['Sorcery'],None,Common,DDR,None,None,None,Target player reveals a number of cards from their hand equal to the number of Swamps you control. You choose one of them. That player discards that card.
Innocent Blood,1.0,['B'],['B'],None,['Sorcery'],None,Common,DDR,None,None,None,Each player sacrifices a creature.
Indulgent Tormentor,5.0,['B'],['B'],None,['Creature'],['Demon'],Rare,DDR,5,3,None,"Flying\nAt the beginning of your upkeep, draw a card unless target opponent sacrifices a creature or pays 3 life."
Hideous End,3.0,['B'],['B'],None,['Instant'],None,Common,DDR,None,None,None,Destroy target nonblack creature. Its controller loses 2 life.
Giant Scorpion,3.0,['B'],['B'],None,['Creature'],['Scorpion'],Common,DDR,1,3,None,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Grim Discovery,2.0,['B'],['B'],None,['Sorcery'],None,Common,DDR,None,None,None,Choose one or both —\n• Return target creature card from your graveyard to your hand.\n• Return target land card from your graveyard to your hand.
Foul Imp,2.0,['B'],['B'],None,['Creature'],['Imp'],Common,DDR,2,2,None,"Flying\nWhen Foul Imp enters the battlefield, you lose 2 life."
Fetid Imp,2.0,['B'],['B'],None,['Creature'],['Imp'],Common,DDR,1,2,None,Flying\n{B}: Fetid Imp gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)
Doom Blade,2.0,['B'],['B'],None,['Instant'],None,Uncommon,DDR,None,None,None,Destroy target nonblack creature.
Disfigure,1.0,['B'],['B'],None,['Instant'],None,Common,DDR,None,None,None,Target creature gets -2/-2 until end of turn.
Despoiler of Souls,2.0,['B'],['B'],None,['Creature'],['Horror'],Rare,DDR,3,1,None,"Despoiler of Souls can't block.\n{B}{B}, Exile two other creature cards from your graveyard: Return Despoiler of Souls from your graveyard to the battlefield."
Desecration Demon,4.0,['B'],['B'],None,['Creature'],['Demon'],Rare,DDR,6,6,None,"Flying\nAt the beginning of each combat, any opponent may sacrifice a creature. If a player does, tap Desecration Demon and put a +1/+1 counter on it."
Demon's Grasp,5.0,['B'],['B'],None,['Sorcery'],None,Common,DDR,None,None,None,Target creature gets -5/-5 until end of turn.
Carrier Thrall,2.0,['B'],['B'],None,['Creature'],['Vampire'],Uncommon,DDR,2,1,None,"When Carrier Thrall dies, create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."""
Blistergrub,3.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Horror']",Common,DDR,2,2,None,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)\nWhen Blistergrub dies, each opponent loses 2 life."
Cadaver Imp,3.0,['B'],['B'],None,['Creature'],['Imp'],Common,DDR,1,1,None,"Flying\nWhen Cadaver Imp enters the battlefield, you may return target creature card from your graveyard to your hand."
Bala Ged Scorpion,4.0,['B'],['B'],None,['Creature'],['Scorpion'],Common,DDR,2,3,None,"When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less."
Ambition's Cost,4.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DDR,None,None,None,You draw three cards and you lose 3 life.
Altar's Reap,2.0,['B'],['B'],None,['Instant'],None,Common,DDR,None,None,None,"As an additional cost to cast this spell, sacrifice a creature.\nDraw two cards."
Ob Nixilis Reignited,5.0,['B'],['B'],['Legendary'],['Planeswalker'],['Nixilis'],Mythic,DDR,None,None,5,"[+1]: You draw a card and you lose 1 life.\n[−3]: Destroy target creature.\n[−8]: Target opponent gets an emblem with ""Whenever a player draws a card, you lose 2 life."""
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDR,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDR,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDR,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDR,None,None,None,({T}: Add {G}.)
Treetop Village,0.0,None,['G'],None,['Land'],None,Uncommon,DDR,None,None,None,Treetop Village enters the battlefield tapped.\n{T}: Add {G}.\n{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)
Mosswort Bridge,0.0,None,['G'],None,['Land'],None,Rare,DDR,None,None,None,"Hideaway 4 (When this land enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)\nMosswort Bridge enters the battlefield tapped.\n{T}: Add {G}.\n{G}, {T}: You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater."
Khalni Garden,0.0,None,['G'],None,['Land'],None,Common,DDR,None,None,None,"Khalni Garden enters the battlefield tapped.\nWhen Khalni Garden enters the battlefield, create a 0/1 green Plant creature token.\n{T}: Add {G}."
Fertile Thicket,0.0,None,['G'],None,['Land'],None,Common,DDR,None,None,None,"Fertile Thicket enters the battlefield tapped.\nWhen Fertile Thicket enters the battlefield, you may look at the top five cards of your library. If you do, reveal up to one basic land card from among them, then put that card on top of your library and the rest on the bottom in any order.\n{T}: Add {G}."
Woodborn Behemoth,5.0,['G'],['G'],None,['Creature'],['Elemental'],Uncommon,DDR,4,4,None,"As long as you control eight or more lands, Woodborn Behemoth gets +4/+4 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)"
Wood Elves,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Scout']",Common,DDR,1,1,None,"When Wood Elves enters the battlefield, search your library for a Forest card, put that card onto the battlefield, then shuffle."
Walker of the Grove,8.0,['G'],['G'],None,['Creature'],['Elemental'],Uncommon,DDR,7,7,None,"When Walker of the Grove leaves the battlefield, create a 4/4 green Elemental creature token.\nEvoke {4}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
Vines of the Recluse,1.0,['G'],['G'],None,['Instant'],None,Common,DDR,None,None,None,Target creature gets +1/+2 and gains reach until end of turn. Untap it. (A creature with reach can block creatures with flying.)
