Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDS,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDS,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DDS,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDS,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDS,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDS,None,None,None,({T}: Add {R}.)
Rugged Highlands,0.0,None,"['G', 'R']",None,['Land'],None,Common,DDS,None,None,None,"Rugged Highlands enters the battlefield tapped.\nWhen Rugged Highlands enters the battlefield, you gain 1 life.\n{T}: Add {R} or {G}."
Coat of Arms,5.0,None,None,None,['Artifact'],None,Rare,DDS,None,None,None,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)"
Rubblebelt Raiders,4.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Human', 'Warrior']",Rare,DDS,3,3,None,"Whenever Rubblebelt Raiders attacks, put a +1/+1 counter on it for each attacking creature you control."
Guttural Response,1.0,"['G', 'R']","['G', 'R']",None,['Instant'],None,Uncommon,DDS,None,None,None,Counter target blue instant spell.
Burning-Tree Emissary,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Human', 'Shaman']",Uncommon,DDS,2,2,None,"When Burning-Tree Emissary enters the battlefield, add {R}{G}."
Relentless Hunter,3.0,"['G', 'R']","['G', 'R']",None,['Creature'],"['Human', 'Warrior']",Uncommon,DDS,3,3,None,{1}{R}{G}: Relentless Hunter gets +1/+1 and gains trample until end of turn.
"Radha, Heir to Keld",2.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Elf', 'Warrior']",Rare,DDS,2,2,None,"Whenever Radha, Heir to Keld attacks, you may add {R}{R}.\n{T}: Add {G}."
Talara's Battalion,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Rare,DDS,4,3,None,Cast this spell only if you've cast another green spell this turn.\nTrample
Sylvan Might,2.0,['G'],['G'],None,['Instant'],None,Common,DDS,None,None,None,Target creature gets +2/+2 and gains trample until end of turn.\nFlashback {2}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Skarrgan Pit-Skulk,1.0,['G'],['G'],None,['Creature'],"['Human', 'Warrior']",Common,DDS,1,1,None,"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)\nCreatures with power less than Skarrgan Pit-Skulk's power can't block it."
Roar of the Wurm,7.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DDS,None,None,None,Create a 6/6 green Wurm creature token.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Rampant Growth,2.0,['G'],['G'],None,['Sorcery'],None,Common,DDS,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Increasing Savagery,4.0,['G'],['G'],None,['Sorcery'],None,Rare,DDS,None,None,None,"Put five +1/+1 counters on target creature. If this spell was cast from a graveyard, put ten +1/+1 counters on that creature instead.\nFlashback {5}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
Harmonize,4.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DDS,None,None,None,Draw three cards.
Cloudcrown Oak,4.0,['G'],['G'],None,['Creature'],"['Treefolk', 'Warrior']",Common,DDS,3,4,None,Reach (This creature can block creatures with flying.)
Call of the Herd,3.0,['G'],['G'],None,['Sorcery'],None,Rare,DDS,None,None,None,Create a 3/3 green Elephant creature token.\nFlashback {3}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Ambassador Oak,4.0,['G'],['G'],None,['Creature'],"['Treefolk', 'Warrior']",Common,DDS,3,3,None,"When Ambassador Oak enters the battlefield, create a 1/1 green Elf Warrior creature token."
