Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDT,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDT,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDT,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDT,None,None,None,({T}: Add {R}.)
Forgotten Cave,0.0,None,['R'],None,['Land'],None,Common,DDT,None,None,None,"Forgotten Cave enters the battlefield tapped.\n{T}: Add {R}.\nCycling {R} ({R}, Discard this card: Draw a card.)"
Relentless Assault,4.0,['R'],['R'],None,['Sorcery'],None,Rare,DDT,None,None,None,"Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase."
Goblin Charbelcher,4.0,None,None,None,['Artifact'],None,Rare,DDT,None,None,None,"{3}, {T}: Reveal cards from the top of your library until you reveal a land card. Goblin Charbelcher deals damage equal to the number of nonland cards revealed this way to any target. If the revealed land card was a Mountain, Goblin Charbelcher deals double that damage instead. Put the revealed cards on the bottom of your library in any order."
Brittle Effigy,1.0,None,None,None,['Artifact'],None,Rare,DDT,None,None,None,"{4}, {T}, Exile Brittle Effigy: Exile target creature."
Tarfire,1.0,['R'],['R'],None,"['Tribal', 'Instant']",['Goblin'],Common,DDT,None,None,None,Tarfire deals 2 damage to any target.
Blighted Gorge,0.0,None,['R'],None,['Land'],None,Uncommon,DDT,None,None,None,"{T}: Add {C}.\n{4}{R}, {T}, Sacrifice Blighted Gorge: It deals 2 damage to any target."
Krenko's Command,2.0,['R'],['R'],None,['Sorcery'],None,Common,DDT,None,None,None,Create two 1/1 red Goblin creature tokens.
"Krenko, Mob Boss",4.0,['R'],['R'],['Legendary'],['Creature'],"['Goblin', 'Warrior']",Rare,DDT,3,3,None,"{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control."
Hordeling Outburst,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDT,None,None,None,Create three 1/1 red Goblin creature tokens.
Goblin Wardriver,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Uncommon,DDT,2,2,None,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)"
Goblin Ringleader,4.0,['R'],['R'],None,['Creature'],['Goblin'],Uncommon,DDT,2,2,None,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nWhen Goblin Ringleader enters the battlefield, reveal the top four cards of your library. Put all Goblin cards revealed this way into your hand and the rest on the bottom of your library in any order."
Goblin Tunneler,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Rogue']",Common,DDT,1,1,None,{T}: Target creature with power 2 or less can't be blocked this turn.
Goblin Razerunners,4.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Rare,DDT,3,4,None,"{1}{R}, Sacrifice a land: Put a +1/+1 counter on Goblin Razerunners.\nAt the beginning of your end step, you may have Goblin Razerunners deal damage equal to the number of +1/+1 counters on it to target player or planeswalker."
Goblin Rabblemaster,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Warrior']",Rare,DDT,2,2,None,"Other Goblin creatures you control attack each combat if able.\nAt the beginning of combat on your turn, create a 1/1 red Goblin creature token with haste.\nWhenever Goblin Rabblemaster attacks, it gets +1/+0 until end of turn for each other attacking Goblin."
Goblin Grenade,1.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DDT,None,None,None,"As an additional cost to cast this spell, sacrifice a Goblin.\nGoblin Grenade deals 5 damage to any target."
