Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDU,None,None,None,({T}: Add {R}.)
Phyrexia's Core,0.0,None,None,None,['Land'],None,Uncommon,DDU,None,None,None,"{T}: Add {C}.\n{1}, {T}, Sacrifice an artifact: You gain 1 life."
Temple of Epiphany,0.0,None,"['R', 'U']",None,['Land'],None,Rare,DDU,None,None,None,"Temple of Epiphany enters the battlefield tapped.\nWhen Temple of Epiphany enters the battlefield, scry 1.\n{T}: Add {U} or {R}."
Great Furnace,0.0,None,['R'],None,"['Artifact', 'Land']",None,Common,DDU,None,None,None,{T}: Add {R}.
Swiftwater Cliffs,0.0,None,"['R', 'U']",None,['Land'],None,Common,DDU,None,None,None,"Swiftwater Cliffs enters the battlefield tapped.\nWhen Swiftwater Cliffs enters the battlefield, you gain 1 life.\n{T}: Add {U} or {R}."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DDU,None,None,None,({T}: Add {R}.)
Shivan Reef,0.0,None,"['R', 'U']",None,['Land'],None,Rare,DDU,None,None,None,{T}: Add {C}.\n{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.
Foundry of the Consuls,0.0,None,None,None,['Land'],None,Uncommon,DDU,None,None,None,"{T}: Add {C}.\n{5}, {T}, Sacrifice Foundry of the Consuls: Create two 1/1 colorless Thopter artifact creature tokens with flying."
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DDU,None,None,None,({T}: Add {U}.)
Darksteel Citadel,0.0,None,None,None,"['Artifact', 'Land']",None,Uncommon,DDU,None,None,None,Indestructible\n{T}: Add {C}.
Voyager Staff,1.0,None,None,None,['Artifact'],None,Uncommon,DDU,None,None,None,"{2}, Sacrifice Voyager Staff: Exile target creature. Return the exiled card to the battlefield under its owner's control at the beginning of the next end step."
Thopter Assembly,6.0,None,None,None,"['Artifact', 'Creature']",['Thopter'],Rare,DDU,5,5,None,"Flying\nAt the beginning of your upkeep, if you control no Thopters other than Thopter Assembly, return Thopter Assembly to its owner's hand and create five 1/1 colorless Thopter artifact creature tokens with flying."
Solemn Simulacrum,4.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,DDU,2,2,None,"When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.\nWhen Solemn Simulacrum dies, you may draw a card."
Scuttling Doom Engine,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,DDU,6,6,None,"Scuttling Doom Engine can't be blocked by creatures with power 2 or less.\nWhen Scuttling Doom Engine dies, it deals 6 damage to target opponent or planeswalker."
Pyrite Spellbomb,1.0,None,['R'],None,['Artifact'],None,Common,DDU,None,None,None,"{R}, Sacrifice Pyrite Spellbomb: It deals 2 damage to any target.\n{1}, Sacrifice Pyrite Spellbomb: Draw a card."
Neurok Replica,3.0,None,['U'],None,"['Artifact', 'Creature']",['Wizard'],Common,DDU,1,4,None,"{1}{U}, Sacrifice Neurok Replica: Return target creature to its owner's hand."
Myr Sire,2.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Myr']",Common,DDU,1,1,None,"When Myr Sire dies, create a 1/1 colorless Phyrexian Myr artifact creature token."
Myr Battlesphere,7.0,None,None,None,"['Artifact', 'Creature']","['Myr', 'Construct']",Rare,DDU,4,7,None,"When Myr Battlesphere enters the battlefield, create four 1/1 colorless Myr artifact creature tokens.\nWhenever Myr Battlesphere attacks, you may tap X untapped Myr you control. If you do, Myr Battlesphere gets +X/+0 until end of turn and deals X damage to the player or planeswalker it's attacking."
Mycosynth Wellspring,2.0,None,None,None,['Artifact'],None,Common,DDU,None,None,None,"When Mycosynth Wellspring enters the battlefield or is put into a graveyard from the battlefield, you may search your library for a basic land card, reveal it, put it into your hand, then shuffle."
Inventor's Goggles,1.0,None,None,None,['Artifact'],['Equipment'],Common,DDU,None,None,None,"Equipped creature gets +1/+2.\nWhenever an Artificer enters the battlefield under your control, you may attach Inventor's Goggles to it.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Ichor Wellspring,2.0,None,None,None,['Artifact'],None,Common,DDU,None,None,None,"When Ichor Wellspring enters the battlefield or is put into a graveyard from the battlefield, draw a card."
Filigree Familiar,3.0,None,None,None,"['Artifact', 'Creature']",['Fox'],Uncommon,DDU,2,2,None,"When Filigree Familiar enters the battlefield, you gain 2 life.\nWhen Filigree Familiar dies, draw a card."
Darksteel Plate,3.0,None,None,None,['Artifact'],['Equipment'],Rare,DDU,None,None,None,Indestructible\nEquipped creature has indestructible.\nEquip {2}
Reclusive Artificer,4.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Human', 'Artificer']",Uncommon,DDU,2,3,None,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nWhen Reclusive Artificer enters the battlefield, you may have it deal damage to target creature equal to the number of artifacts you control."
Maverick Thopterist,5.0,"['R', 'U']","['R', 'U']",None,['Creature'],"['Human', 'Artificer']",Uncommon,DDU,2,2,None,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)\nWhen Maverick Thopterist enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying."
Welding Sparks,3.0,['R'],['R'],None,['Instant'],None,Common,DDU,None,None,None,"Welding Sparks deals X damage to target creature, where X is 3 plus the number of artifacts you control."
Shrapnel Blast,2.0,['R'],['R'],None,['Instant'],None,Uncommon,DDU,None,None,None,"As an additional cost to cast this spell, sacrifice an artifact.\nShrapnel Blast deals 5 damage to any target."
