Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Maze Abomination,6.0,['B'],['B'],None,['Creature'],['Elemental'],Common,DGM,4,5,None,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nMulticolored creatures you control have deathtouch.
Hired Torturer,3.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Common,DGM,2,3,None,"Defender\n{3}{B}, {T}: Target opponent loses 2 life, then reveals a card at random from their hand."
Fatal Fumes,4.0,['B'],['B'],None,['Instant'],None,Common,DGM,None,None,None,Target creature gets -4/-2 until end of turn.
Crypt Incursion,3.0,['B'],['B'],None,['Instant'],None,Common,DGM,None,None,None,Exile all creature cards from target player's graveyard. You gain 3 life for each card exiled this way.
Blood Scrivener,2.0,['B'],['B'],None,['Creature'],"['Zombie', 'Wizard']",Rare,DGM,2,1,None,"If you would draw a card while you have no cards in hand, instead you draw two cards and you lose 1 life."
Bane Alley Blackguard,2.0,['B'],['B'],None,['Creature'],"['Human', 'Rogue']",Common,DGM,1,3,None,None
Wind Drake,3.0,['U'],['U'],None,['Creature'],['Drake'],Common,DGM,2,2,None,Flying
Uncovered Clues,3.0,['U'],['U'],None,['Sorcery'],None,Common,DGM,None,None,None,Look at the top four cards of your library. You may reveal up to two instant and/or sorcery cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.
Trait Doctoring,1.0,['U'],['U'],None,['Sorcery'],None,Rare,DGM,None,None,None,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.\nCipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Runner's Bane,2.0,['U'],['U'],None,['Enchantment'],['Aura'],Common,DGM,None,None,None,"Enchant creature with power 3 or less\nWhen Runner's Bane enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step."
Lyev Decree,2.0,['W'],['W'],None,['Sorcery'],None,Common,DGM,None,None,None,"Detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)"
Maze Glider,6.0,['U'],['U'],None,['Creature'],['Elemental'],Common,DGM,3,5,None,Flying\nMulticolored creatures you control have flying.
Murmuring Phantasm,2.0,['U'],['U'],None,['Creature'],['Spirit'],Common,DGM,0,5,None,Defender
Riot Piker,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Common,DGM,2,1,None,First strike\nRiot Piker attacks each combat if able.
Pyrewild Shaman,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Shaman']",Rare,DGM,3,1,None,"Bloodrush — {1}{R}, Discard Pyrewild Shaman: Target attacking creature gets +3/+1 until end of turn.\nWhenever one or more creatures you control deal combat damage to a player, if Pyrewild Shaman is in your graveyard, you may pay {3}. If you do, return Pyrewild Shaman to your hand."
Opal Lake Gatekeepers,4.0,['U'],['U'],None,['Creature'],"['Vedalken', 'Soldier']",Common,DGM,2,4,None,"When Opal Lake Gatekeepers enters the battlefield, if you control two or more Gates, you may draw a card."
Renounce the Guilds,2.0,['W'],['W'],None,['Instant'],None,Rare,DGM,None,None,None,Each player sacrifices a multicolored permanent.
Riot Control,3.0,['W'],['W'],None,['Instant'],None,Common,DGM,None,None,None,You gain 1 life for each creature your opponents control. Prevent all damage that would be dealt to you this turn.
Rubblebelt Maaka,4.0,['R'],['R'],None,['Creature'],['Cat'],Common,DGM,3,3,None,"Bloodrush — {R}, Discard Rubblebelt Maaka: Target attacking creature gets +3/+3 until end of turn."
Punish the Enemy,5.0,['R'],['R'],None,['Instant'],None,Common,DGM,None,None,None,Punish the Enemy deals 3 damage to target player or planeswalker and 3 damage to target creature.
Possibility Storm,5.0,['R'],['R'],None,['Enchantment'],None,Rare,DGM,None,None,None,"Whenever a player casts a spell from their hand, that player exiles it, then exiles cards from the top of their library until they exile a card that shares a card type with it. That player may cast that card without paying its mana cost. Then they put all cards exiled with Possibility Storm on the bottom of their library in a random order."
Maze Rusher,6.0,['R'],['R'],None,['Creature'],['Elemental'],Common,DGM,6,3,None,Haste\nMulticolored creatures you control have haste.
Mindstatic,4.0,['U'],['U'],None,['Instant'],None,Common,DGM,None,None,None,Counter target spell unless its controller pays {6}.
Boros Mastiff,2.0,['W'],['W'],None,['Creature'],['Dog'],Common,DGM,2,2,None,"Battalion — Whenever Boros Mastiff and at least two other creatures attack, Boros Mastiff gains lifelink until end of turn. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)"
Clear a Path,1.0,['R'],['R'],None,['Sorcery'],None,Common,DGM,None,None,None,Destroy target creature with defender.
Awe for the Guilds,3.0,['R'],['R'],None,['Sorcery'],None,Common,DGM,None,None,None,Monocolored creatures can't block this turn.
Hidden Strings,2.0,['U'],['U'],None,['Sorcery'],None,Common,DGM,None,None,None,"You may tap or untap target permanent, then you may tap or untap another target permanent.\nCipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Simic Guildgate,0.0,None,"['G', 'U']",None,['Land'],['Gate'],Common,DGM,None,None,None,Simic Guildgate enters the battlefield tapped.\n{T}: Add {G} or {U}.
Selesnya Guildgate,0.0,None,"['G', 'W']",None,['Land'],['Gate'],Common,DGM,None,None,None,Selesnya Guildgate enters the battlefield tapped.\n{T}: Add {G} or {W}.
Rakdos Guildgate,0.0,None,"['B', 'R']",None,['Land'],['Gate'],Common,DGM,None,None,None,Rakdos Guildgate enters the battlefield tapped.\n{T}: Add {B} or {R}.
Orzhov Guildgate,0.0,None,"['B', 'W']",None,['Land'],['Gate'],Common,DGM,None,None,None,Orzhov Guildgate enters the battlefield tapped.\n{T}: Add {W} or {B}.
Maze's End,0.0,None,None,None,['Land'],None,Mythic,DGM,None,None,None,"Maze's End enters the battlefield tapped.\n{T}: Add {C}.\n{3}, {T}, Return Maze's End to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten or more Gates with different names, you win the game."
Izzet Guildgate,0.0,None,"['R', 'U']",None,['Land'],['Gate'],Common,DGM,None,None,None,Izzet Guildgate enters the battlefield tapped.\n{T}: Add {U} or {R}.
