Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Isperia the Inscrutable,5.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],['Sphinx'],Rare,DIS,3,6,None,"Flying\nWhenever Isperia the Inscrutable deals combat damage to a player, choose a card name. That player reveals their hand. If a card with the chosen name is revealed this way, search your library for a creature card with flying, reveal it, put it into your hand, then shuffle."
Grand Arbiter Augustin IV,4.0,"['U', 'W']","['U', 'W']",['Legendary'],['Creature'],"['Human', 'Advisor']",Rare,DIS,2,3,None,White spells you cast cost {1} less to cast.\nBlue spells you cast cost {1} less to cast.\nSpells your opponents cast cost {1} more to cast.
Sprouting Phytohydra,5.0,['G'],['G'],None,['Creature'],"['Plant', 'Hydra']",Rare,DIS,0,2,None,"Defender (This creature can't attack.)\nWhenever Sprouting Phytohydra is dealt damage, you may create a token that's a copy of Sprouting Phytohydra."
Simic Ragworm,4.0,['G'],"['G', 'U']",None,['Creature'],['Worm'],Common,DIS,3,3,None,{U}: Untap Simic Ragworm.
Azorius First-Wing,2.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Griffin'],Common,DIS,2,2,None,"Flying, protection from enchantments"
Experiment Kraj,6.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Ooze', 'Mutant']",Rare,DIS,4,6,None,Experiment Kraj has all activated abilities of each other creature with a +1/+1 counter on it.\n{T}: Put a +1/+1 counter on target creature.
Utopia Sprawl,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,DIS,None,None,None,"Enchant Forest\nAs Utopia Sprawl enters the battlefield, choose a color.\nWhenever enchanted Forest is tapped for mana, its controller adds an additional one mana of the chosen color."
Assault Zeppelid,4.0,"['G', 'U']","['G', 'U']",None,['Creature'],['Beast'],Common,DIS,3,3,None,"Flying, trample"
Gobhobbler Rats,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Rat'],Common,DIS,2,2,None,"Hellbent — As long as you have no cards in hand, Gobhobbler Rats gets +1/+0 and has ""{B}: Regenerate Gobhobbler Rats."" (The next time it would be destroyed, instead tap it, remove it from combat, and heal all damage on it.)"
Simic Initiate,1.0,['G'],['G'],None,['Creature'],"['Human', 'Mutant']",Common,DIS,0,0,None,"Graft 1 (This creature enters the battlefield with a +1/+1 counter on it. Whenever another creature enters the battlefield, you may move a +1/+1 counter from this creature onto it.)"
