Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Phyrexian War Beast,3.0,None,None,None,"['Artifact', 'Creature']","['Phyrexian', 'Beast']",Common,DKM,3,4,None,"When Phyrexian War Beast leaves the battlefield, sacrifice a land and Phyrexian War Beast deals 1 damage to you."
Icy Manipulator,4.0,None,None,None,['Artifact'],None,Uncommon,DKM,None,None,None,"{1}, {T}: Tap target artifact, creature, or land."
Elkin Bottle,3.0,None,None,None,['Artifact'],None,Rare,DKM,None,None,None,"{3}, {T}: Exile the top card of your library. Until the beginning of your next upkeep, you may play that card."
Barbed Sextant,1.0,None,None,None,['Artifact'],None,Common,DKM,None,None,None,"{1}, {T}, Sacrifice Barbed Sextant: Add one mana of any color. Draw a card at the beginning of the next turn's upkeep."
Giant Trap Door Spider,3.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Spider'],Uncommon,DKM,2,3,None,"{1}{R}{G}, {T}: Exile Giant Trap Door Spider and target creature without flying that's attacking you."
Yavimaya Ants,4.0,['G'],['G'],None,['Creature'],['Insect'],Uncommon,DKM,5,1,None,"Trample, haste\nCumulative upkeep {G}{G} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)"
Yavimaya Ancients,5.0,['G'],['G'],None,['Creature'],['Treefolk'],Common,DKM,2,7,None,{G}: Yavimaya Ancients gets +1/-2 until end of turn.
Woolly Spider,3.0,['G'],['G'],None,['Creature'],['Spider'],Common,DKM,2,3,None,"Reach (This creature can block creatures with flying.)\nWhenever Woolly Spider blocks a creature with flying, Woolly Spider gets +0/+2 until end of turn."
Lhurgoyf,4.0,['G'],['G'],None,['Creature'],['Lhurgoyf'],Rare,DKM,*,1+*,None,Lhurgoyf's power is equal to the number of creature cards in all graveyards and its toughness is equal to that number plus 1.
Hurricane,1.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DKM,None,None,None,Hurricane deals X damage to each creature with flying and each player.
Giant Growth,1.0,['G'],['G'],None,['Instant'],None,Common,DKM,None,None,None,Target creature gets +3/+3 until end of turn.
Fyndhorn Elves,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,DKM,1,1,None,{T}: Add {G}.
Folk of the Pines,5.0,['G'],['G'],None,['Creature'],['Dryad'],Common,DKM,2,5,None,{1}{G}: Folk of the Pines gets +1/+0 until end of turn.
Elvish Bard,5.0,['G'],['G'],None,['Creature'],"['Elf', 'Shaman', 'Bard']",Uncommon,DKM,2,4,None,All creatures able to block Elvish Bard do so.
Bounty of the Hunt,5.0,['G'],['G'],None,['Instant'],None,Uncommon,DKM,None,None,None,"You may exile a green card from your hand rather than pay this spell's mana cost.\nDistribute three +1/+1 counters among one, two, or three target creatures. For each +1/+1 counter you put on a creature this way, remove a +1/+1 counter from that creature at the beginning of the next cleanup step."
Balduvian Bears,2.0,['G'],['G'],None,['Creature'],['Bear'],Common,DKM,2,2,None,None
Storm Shaman,3.0,['R'],['R'],None,['Creature'],"['Human', 'Cleric', 'Shaman']",Common,DKM,0,4,None,{R}: Storm Shaman gets +1/+0 until end of turn.
Shatter,2.0,['R'],['R'],None,['Instant'],None,Common,DKM,None,None,None,Destroy target artifact.
Pyroclasm,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DKM,None,None,None,Pyroclasm deals 2 damage to each creature.
Pillage,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DKM,None,None,None,Destroy target artifact or land. It can't be regenerated.
Orcish Cannoneers,3.0,['R'],['R'],None,['Creature'],"['Orc', 'Warrior']",Uncommon,DKM,1,3,None,{T}: Orcish Cannoneers deals 2 damage to any target and 3 damage to you.
