Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Fireblast,6.0,['R'],['R'],None,['Instant'],None,Uncommon,DMR,None,None,None,You may sacrifice two Mountains rather than pay this spell's mana cost.\nFireblast deals 4 damage to any target.
Empty the Warrens,4.0,['R'],['R'],None,['Sorcery'],None,Common,DMR,None,None,None,"Create two 1/1 red Goblin creature tokens.\nStorm (When you cast this spell, copy it for each spell cast before it this turn.)"
Ember Beast,3.0,['R'],['R'],None,['Creature'],['Beast'],Common,DMR,3,4,None,Ember Beast can't attack or block alone.
Street Wraith,5.0,['B'],['B'],None,['Creature'],['Wraith'],Common,DMR,3,4,None,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)\nCycling—Pay 2 life. (Pay 2 life, Discard this card: Draw a card.)"
Undead Gladiator,3.0,['B'],['B'],None,['Creature'],"['Zombie', 'Barbarian']",Uncommon,DMR,3,1,None,"{1}{B}, Discard a card: Return Undead Gladiator from your graveyard to your hand. Activate only during your upkeep.\nCycling {1}{B} ({1}{B}, Discard this card: Draw a card.)"
Coal Stoker,4.0,['R'],['R'],None,['Creature'],['Elemental'],Common,DMR,3,3,None,"When Coal Stoker enters the battlefield, if you cast it from your hand, add {R}{R}{R}."
Deadapult,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,DMR,None,None,None,"{R}, Sacrifice a Zombie: Deadapult deals 2 damage to any target."
Chain Lightning,1.0,['R'],['R'],None,['Sorcery'],None,Common,DMR,None,None,None,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy."
Dragon Whelp,4.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,DMR,2,3,None,"Flying\n{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step."
Avarax,5.0,['R'],['R'],None,['Creature'],['Beast'],Common,DMR,3,3,None,"Haste\nWhen Avarax enters the battlefield, you may search your library for a card named Avarax, reveal it, put it into your hand, then shuffle.\n{1}{R}: Avarax gets +1/+0 until end of turn."
Zombie Infestation,2.0,['B'],['B'],None,['Enchantment'],None,Uncommon,DMR,None,None,None,Discard two cards: Create a 2/2 black Zombie creature token.
"Yawgmoth, Thran Physician",4.0,['B'],['B'],['Legendary'],['Creature'],"['Human', 'Cleric']",Mythic,DMR,2,4,None,"Protection from Humans\nPay 1 life, Sacrifice another creature: Put a -1/-1 counter on up to one target creature and draw a card.\n{B}{B}, Discard a card: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Wretched Anurid,2.0,['B'],['B'],None,['Creature'],"['Zombie', 'Frog', 'Beast']",Common,DMR,3,3,None,"Whenever another creature enters the battlefield, you lose 1 life."
Vampiric Tutor,1.0,['B'],['B'],None,['Instant'],None,Mythic,DMR,None,None,None,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
Urborg Syphon-Mage,3.0,['B'],['B'],None,['Creature'],"['Human', 'Spellshaper']",Common,DMR,2,2,None,"{2}{B}, {T}, Discard a card: Each other player loses 2 life. You gain life equal to the life lost this way."
Lightning Reflexes,2.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,DMR,None,None,None,"You may cast Lightning Reflexes as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.\nEnchant creature\nEnchanted creature gets +1/+0 and has first strike."
Terror,2.0,['B'],['B'],None,['Instant'],None,Common,DMR,None,None,None,"Destroy target nonartifact, nonblack creature. It can't be regenerated."
Twisted Experiment,2.0,['B'],['B'],None,['Enchantment'],['Aura'],Common,DMR,None,None,None,Enchant creature\nEnchanted creature gets +3/-1.
Urborg Uprising,5.0,['B'],['B'],None,['Sorcery'],None,Common,DMR,None,None,None,Return up to two target creature cards from your graveyard to your hand.\nDraw a card.
Woodland Cemetery,0.0,None,"['B', 'G']",None,['Land'],None,Rare,DMR,None,None,None,Woodland Cemetery enters the battlefield tapped unless you control a Swamp or a Forest.\n{T}: Add {B} or {G}.
Royal Assassin,3.0,['B'],['B'],None,['Creature'],"['Human', 'Assassin']",Rare,DMR,1,1,None,{T}: Destroy target tapped creature.
Phyrexian Scuta,4.0,['B'],['B'],None,['Creature'],"['Phyrexian', 'Zombie']",Uncommon,DMR,3,3,None,"Kicker—Pay 3 life. (You may pay 3 life in addition to any other costs as you cast this spell.)\nIf Phyrexian Scuta was kicked, it enters the battlefield with two +1/+1 counters on it."
Treva's Ruins,0.0,None,"['G', 'U', 'W']",None,['Land'],['Lair'],Uncommon,DMR,None,None,None,"When Treva's Ruins enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {G}, {W}, or {U}."
Last Chance,2.0,['R'],['R'],None,['Sorcery'],None,Mythic,DMR,None,None,None,"Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
Terminal Moraine,0.0,None,None,None,['Land'],None,Common,DMR,None,None,None,"{T}: Add {C}.\n{2}, {T}, Sacrifice Terminal Moraine: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
Sulfur Falls,0.0,None,"['R', 'U']",None,['Land'],None,Rare,DMR,None,None,None,Sulfur Falls enters the battlefield tapped unless you control an Island or a Mountain.\n{T}: Add {U} or {R}.
Smoldering Crater,0.0,None,['R'],None,['Land'],None,Common,DMR,None,None,None,"Smoldering Crater enters the battlefield tapped.\n{T}: Add {R}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Slippery Karst,0.0,None,['G'],None,['Land'],None,Common,DMR,None,None,None,"Slippery Karst enters the battlefield tapped.\n{T}: Add {G}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Rith's Grove,0.0,None,"['G', 'R', 'W']",None,['Land'],['Lair'],Uncommon,DMR,None,None,None,"When Rith's Grove enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {R}, {G}, or {W}."
Remote Isle,0.0,None,['U'],None,['Land'],None,Common,DMR,None,None,None,"Remote Isle enters the battlefield tapped.\n{T}: Add {U}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Polluted Mire,0.0,None,['B'],None,['Land'],None,Common,DMR,None,None,None,"Polluted Mire enters the battlefield tapped.\n{T}: Add {B}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Nantuko Monastery,0.0,None,"['G', 'W']",None,['Land'],None,Uncommon,DMR,None,None,None,{T}: Add {C}.\nThreshold — {G}{W}: Nantuko Monastery becomes a 4/4 green and white Insect Monk creature with first strike until end of turn. It's still a land. Activate only if seven or more cards are in your graveyard.
Mishra's Factory,0.0,None,None,None,['Land'],None,Uncommon,DMR,None,None,None,{T}: Add {C}.\n{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.\n{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Maze of Ith,0.0,None,None,None,['Land'],None,Rare,DMR,None,None,None,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Isolated Chapel,0.0,None,"['B', 'W']",None,['Land'],None,Rare,DMR,None,None,None,Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.\n{T}: Add {W} or {B}.
Hinterland Harbor,0.0,None,"['G', 'U']",None,['Land'],None,Rare,DMR,None,None,None,Hinterland Harbor enters the battlefield tapped unless you control a Forest or an Island.\n{T}: Add {G} or {U}.
Gemstone Mine,0.0,None,None,None,['Land'],None,Rare,DMR,None,None,None,"Gemstone Mine enters the battlefield with three mining counters on it.\n{T}, Remove a mining counter from Gemstone Mine: Add one mana of any color. If there are no mining counters on Gemstone Mine, sacrifice it."
Dromar's Cavern,0.0,None,"['B', 'U', 'W']",None,['Land'],['Lair'],Uncommon,DMR,None,None,None,"When Dromar's Cavern enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {W}, {U}, or {B}."
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DMR,None,None,None,({T}: Add {R}.)
Drifting Meadow,0.0,None,['W'],None,['Land'],None,Common,DMR,None,None,None,"Drifting Meadow enters the battlefield tapped.\n{T}: Add {W}.\nCycling {2} ({2}, Discard this card: Draw a card.)"
Dark Depths,0.0,None,None,"['Legendary', 'Snow']",['Land'],None,Mythic,DMR,None,None,None,"Dark Depths enters the battlefield with ten ice counters on it.\n{3}: Remove an ice counter from Dark Depths.\nWhen Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible."
Darigaaz's Caldera,0.0,None,"['B', 'G', 'R']",None,['Land'],['Lair'],Uncommon,DMR,None,None,None,"When Darigaaz's Caldera enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {B}, {R}, or {G}."
Crosis's Catacombs,0.0,None,"['B', 'R', 'U']",None,['Land'],['Lair'],Uncommon,DMR,None,None,None,"When Crosis's Catacombs enters the battlefield, sacrifice it unless you return a non-Lair land you control to its owner's hand.\n{T}: Add {U}, {B}, or {R}."
Clifftop Retreat,0.0,None,"['R', 'W']",None,['Land'],None,Rare,DMR,None,None,None,Clifftop Retreat enters the battlefield tapped unless you control a Mountain or a Plains.\n{T}: Add {R} or {W}.
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DMR,None,None,None,({T}: Add {G}.)
Wall of Junk,2.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,DMR,0,7,None,"Defender (This creature can't attack.)\nWhen Wall of Junk blocks, return it to its owner's hand at end of combat. (Return it only if it's on the battlefield.)"
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DMR,None,None,None,({T}: Add {G}.)
Urza's Incubator,3.0,None,None,None,['Artifact'],None,Mythic,DMR,None,None,None,"As Urza's Incubator enters the battlefield, choose a creature type.\nCreature spells of the chosen type cost {2} less to cast."
Goblin Matron,3.0,['R'],['R'],None,['Creature'],['Goblin'],Common,DMR,1,1,None,"When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, put it into your hand, then shuffle."
Urza's Blueprints,6.0,None,None,None,['Artifact'],None,Rare,DMR,None,None,None,"Echo {6} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\n{T}: Draw a card."
Umbilicus,4.0,None,None,None,['Artifact'],None,Rare,DMR,None,None,None,"At the beginning of each player's upkeep, that player may pay 2 life. If they don't, they return a permanent they control to its owner's hand."
Triskelion,6.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Rare,DMR,1,1,None,Triskelion enters the battlefield with three +1/+1 counters on it.\nRemove a +1/+1 counter from Triskelion: It deals 1 damage to any target.
Oversold Cemetery,2.0,['B'],['B'],None,['Enchantment'],None,Rare,DMR,None,None,None,"At the beginning of your upkeep, if you have four or more creature cards in your graveyard, you may return target creature card from your graveyard to your hand."
No Mercy,4.0,['B'],['B'],None,['Enchantment'],None,Mythic,DMR,None,None,None,"Whenever a creature deals damage to you, destroy it."
Tormod's Crypt,0.0,None,None,None,['Artifact'],None,Uncommon,DMR,None,None,None,"{T}, Sacrifice Tormod's Crypt: Exile target player's graveyard."
Nightscape Familiar,2.0,['B'],['B'],None,['Creature'],['Zombie'],Common,DMR,1,1,None,Blue spells and red spells you cast cost {1} less to cast.\n{1}{B}: Regenerate Nightscape Familiar.
