Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
"Astor, Bearer of Blades",4.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Warrior']",Rare,DMU,4,4,None,"When Astor, Bearer of Blades enters the battlefield, look at the top seven cards of your library. You may reveal an Equipment or Vehicle card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\nEquipment you control have equip {1}.\nVehicles you control have crew 1."
"Lagomos, Hand of Hatred",3.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Shaman']",Uncommon,DMU,1,3,None,"At the beginning of combat on your turn, create a 2/1 red Elemental creature token with trample and haste. Sacrifice it at the beginning of the next end step.\n{T}: Search your library for a card, put it into your hand, then shuffle. Activate only if five or more creatures died this turn."
"Nael, Avizoa Aeronaut",4.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Scout']",Uncommon,DMU,2,4,None,"Flying\nDomain — Whenever Nael, Avizoa Aeronaut deals combat damage to a player, look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom in a random order. Then if there are five basic land types among lands you control, draw a card."
"A-Nael, Avizoa Aeronaut",2.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Elf', 'Scout']",Uncommon,DMU,2,2,None,"Flying\nDomain — Whenever Nael, Avizoa Aeronaut deals combat damage to a player, look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom in a random order. Then if there are five basic land types among lands you control, draw a card."
"Meria, Scholar of Antiquity",3.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Elf', 'Artificer']",Rare,DMU,3,3,None,Tap an untapped nontoken artifact you control: Add {G}.\nTap two untapped nontoken artifacts you control: Exile the top card of your library. You may play it this turn.
King Darien XLVIII,3.0,"['G', 'W']","['G', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Rare,DMU,2,3,None,Other creatures you control get +1/+1.\n{3}{G}{W}: Put a +1/+1 counter on King Darien and create a 1/1 white Soldier creature token.\nSacrifice King Darien: Creature tokens you control gain hexproof and indestructible until end of turn.
"Jodah, the Unifier",5.0,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,DMU,5,5,None,"Legendary creatures you control get +X/+X, where X is the number of legendary creatures you control.\nWhenever you cast a legendary spell from your hand, exile cards from the top of your library until you exile a legendary nonland card with lesser mana value. You may cast that card without paying its mana cost. Put the rest on the bottom of your library in a random order."
"Jhoira, Ageless Innovator",2.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Human', 'Artificer']",Rare,DMU,2,3,None,"{T}: Put two ingenuity counters on Jhoira, Ageless Innovator, then you may put an artifact card with mana value X or less from your hand onto the battlefield, where X is the number of ingenuity counters on Jhoira."
Sunbathing Rootwalla,2.0,['G'],['G'],None,['Creature'],['Lizard'],Common,DMU,2,2,None,"Domain — {3}{G}: Until end of turn, Sunbathing Rootwalla gets +1/+1 for each basic land type among lands you control. Activate only once each turn."
"Ivy, Gleeful Spellthief",2.0,"['G', 'U']","['G', 'U']",['Legendary'],['Creature'],"['Faerie', 'Rogue']",Rare,DMU,2,1,None,"Flying\nWhenever a player casts a spell that targets only a single creature other than Ivy, Gleeful Spellthief, you may copy that spell. The copy targets Ivy. (A copy of an Aura spell becomes a token.)"
Strength of the Coalition,1.0,['G'],"['G', 'W']",None,['Instant'],None,Uncommon,DMU,None,None,None,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)\nTarget creature you control gets +2/+2 until end of turn. If this spell was kicked, put a +1/+1 counter on each creature you control."
"Garna, Bloodfist of Keld",4.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Human', 'Berserker']",Uncommon,DMU,4,3,None,"Whenever another creature you control dies, draw a card if it was attacking. Otherwise, Garna, Bloodfist of Keld deals 1 damage to each opponent."
Snarespinner,2.0,['G'],['G'],None,['Creature'],['Spider'],Common,DMU,1,3,None,"Reach\nWhenever Snarespinner blocks a creature with flying, Snarespinner gets +2/+0 until end of turn."
Slimefoot's Survey,5.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DMU,None,None,None,"Domain — Search your library for up to two land cards that each have a basic land type, put them onto the battlefield tapped, then shuffle. Look at the top X cards of your library, where X is the number of basic land types among lands you control. Put up to one of them on top of your library and the rest on the bottom of your library in a random order."
"Baird, Argivian Recruiter",2.0,"['R', 'W']","['R', 'W']",['Legendary'],['Creature'],"['Human', 'Soldier']",Uncommon,DMU,2,2,None,"At the beginning of your end step, if you control a creature with power greater than its base power, create a 1/1 white Soldier creature token."
Silverback Elder,5.0,['G'],['G'],None,['Creature'],"['Ape', 'Shaman']",Mythic,DMU,5,7,None,"Whenever you cast a creature spell, choose one —\n• Destroy target artifact or enchantment.\n• Look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.\n• You gain 4 life."
Ertai Resurrected,4.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Phyrexian', 'Human', 'Wizard']",Rare,DMU,3,2,None,"Flash\nWhen Ertai Resurrected enters the battlefield, choose up to one —\n• Counter target spell, activated ability, or triggered ability. Its controller draws a card.\n• Destroy another target creature or planeswalker. Its controller draws a card."
"Aron, Benalia's Ruin",3.0,"['B', 'W']","['B', 'W']",['Legendary'],['Creature'],"['Phyrexian', 'Human']",Uncommon,DMU,3,3,None,"Menace (This creature can't be blocked except by two or more creatures.)\n{W}{B}, {T}, Sacrifice another creature: Put a +1/+1 counter on each creature you control."
A-Scout the Wilderness,3.0,['G'],"['G', 'W']",None,['Sorcery'],None,Common,DMU,None,None,None,"Kicker {W} (You may pay an additional {1}{W} as you cast this spell.)\nSearch your library for a basic land card, put it onto the battlefield tapped, then shuffle. If this spell was kicked, create two 1/1 white Soldier creature tokens."
Scout the Wilderness,3.0,['G'],"['G', 'W']",None,['Sorcery'],None,Common,DMU,None,None,None,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)\nSearch your library for a basic land card, put it onto the battlefield tapped, then shuffle. If this spell was kicked, create two 1/1 white Soldier creature tokens."
Quirion Beastcaller,2.0,['G'],['G'],None,['Creature'],"['Dryad', 'Warrior']",Rare,DMU,2,2,None,"Whenever you cast a creature spell, put a +1/+1 counter on Quirion Beastcaller.\nWhen Quirion Beastcaller dies, distribute X +1/+1 counters among any number of target creatures you control, where X is the number of +1/+1 counters on Quirion Beastcaller."
Nishoba Brawler,2.0,['G'],['G'],None,['Creature'],"['Cat', 'Warrior']",Uncommon,DMU,*,3,None,Trample\nDomain — Nishoba Brawler's power is equal to the number of basic land types among lands you control.
Mossbeard Ancient,7.0,['G'],['G'],None,['Creature'],['Treefolk'],Uncommon,DMU,7,7,None,"Trample\nWhen Mossbeard Ancient enters the battlefield, you gain 5 life."
Magnigoth Sentry,4.0,['G'],['G'],None,['Creature'],['Treefolk'],Common,DMU,4,4,None,Reach
Briar Hydra,6.0,['G'],['G'],None,['Creature'],"['Plant', 'Hydra']",Rare,DMU,6,6,None,"Trample\nDomain — Whenever Briar Hydra deals combat damage to a player, put X +1/+1 counters on target creature you control, where X is the number of basic land types among lands you control."
Llanowar Stalker,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,DMU,1,1,None,"Whenever another creature enters the battlefield under your control, Llanowar Stalker gets +1/+0 until end of turn."
A-Llanowar Loamspeaker,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,DMU,1,3,None,{T}: Add one mana of any color.\n{T}: Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land. Activate only as a sorcery.
Llanowar Loamspeaker,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,DMU,1,3,None,{T}: Add one mana of any color.\n{T}: Target land you control becomes a 3/3 Elemental creature with haste until end of turn. It's still a land. Activate only as a sorcery.
A-Llanowar Greenwidow,3.0,['G'],['G'],None,['Creature'],['Spider'],Rare,DMU,4,3,None,"Reach, trample\nDomain — {5}{G}: Return Llanowar Greenwidow from your graveyard to the battlefield tapped with a finality counter on it. This ability costs {1} less to activate for each basic land type among lands you control."
Threats Undetected,3.0,['G'],['G'],None,['Sorcery'],None,Rare,DMU,None,None,None,Search your library for up to four creature cards with different powers and reveal them. An opponent chooses two of those cards. Shuffle the chosen cards into your library and put the rest into your hand.
Llanowar Greenwidow,3.0,['G'],['G'],None,['Creature'],['Spider'],Rare,DMU,4,3,None,"Reach, trample\nDomain — {7}{G}: Return Llanowar Greenwidow from your graveyard to the battlefield tapped. It gains ""If this permanent would leave the battlefield, exile it instead of putting it anywhere else."" This ability costs {1} less to activate for each basic land type among lands you control."
Linebreaker Baloth,5.0,['G'],['G'],None,['Creature'],['Beast'],Uncommon,DMU,4,5,None,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)\nLinebreaker Baloth can't be blocked by creatures with power 2 or less."
Leaf-Crowned Visionary,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Rare,DMU,1,1,None,"Other Elves you control get +1/+1.\nWhenever you cast an Elf spell, you may pay {G}. If you do, draw a card."
Hexbane Tortoise,3.0,['G'],['G'],None,['Creature'],['Turtle'],Common,DMU,3,2,None,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)\nEnlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)"
