Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Llanowar Elves,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,DOM,1,1,None,{T}: Add {G}.
Jousting Lance,2.0,None,None,None,['Artifact'],['Equipment'],Common,DOM,None,None,None,"Equipped creature gets +2/+0.\nAs long as it's your turn, equipped creature has first strike.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Krosan Druid,3.0,['G'],['G'],None,['Creature'],"['Centaur', 'Druid']",Common,DOM,2,3,None,"Kicker {4}{G} (You may pay an additional {4}{G} as you cast this spell.)\nWhen Krosan Druid enters the battlefield, if it was kicked, you gain 10 life."
Gift of Growth,2.0,['G'],['G'],None,['Instant'],None,Common,DOM,None,None,None,"Kicker {2} (You may pay an additional {2} as you cast this spell.)\nUntap target creature. It gets +2/+2 until end of turn. If this spell was kicked, that creature gets +4/+4 until end of turn instead."
Gaea's Protector,4.0,['G'],['G'],None,['Creature'],"['Elemental', 'Warrior']",Common,DOM,4,2,None,Gaea's Protector must be blocked if able.
Gaea's Blessing,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DOM,None,None,None,"Target player shuffles up to three target cards from their graveyard into their library.\nDraw a card.\nWhen Gaea's Blessing is put into your graveyard from your library, shuffle your graveyard into your library."
Fungal Plots,2.0,['G'],['G'],None,['Enchantment'],None,Uncommon,DOM,None,None,None,"{1}{G}, Exile a creature card from your graveyard: Create a 1/1 green Saproling creature token.\nSacrifice two Saprolings: You gain 2 life and draw a card."
Elfhame Druid,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Uncommon,DOM,0,2,None,{T}: Add {G}.\n{T}: Add {G}{G}. Spend this mana only to cast kicked spells.
Corrosive Ooze,2.0,['G'],['G'],None,['Creature'],['Ooze'],Common,DOM,2,2,None,"Whenever Corrosive Ooze blocks or becomes blocked by an equipped creature, destroy all Equipment attached to that creature at end of combat."
Broken Bond,2.0,['G'],['G'],None,['Sorcery'],None,Common,DOM,None,None,None,Destroy target artifact or enchantment. You may put a land card from your hand onto the battlefield.
Song of Freyalise,2.0,['G'],['G'],None,['Enchantment'],['Saga'],Uncommon,DOM,None,None,None,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI, II — Until your next turn, creatures you control gain ""{T}: Add one mana of any color.""\nIII — Put a +1/+1 counter on each creature you control. Those creatures gain vigilance, trample, and indestructible until end of turn."
Baloth Gorger,4.0,['G'],['G'],None,['Creature'],['Beast'],Common,DOM,4,4,None,"Kicker {4} (You may pay an additional {4} as you cast this spell.)\nIf Baloth Gorger was kicked, it enters the battlefield with three +1/+1 counters on it."
Saproling Migration,2.0,['G'],['G'],None,['Sorcery'],None,Common,DOM,None,None,None,"Kicker {4} (You may pay an additional {4} as you cast this spell.)\nCreate two 1/1 green Saproling creature tokens. If this spell was kicked, create four of those tokens instead."
Arbor Armament,1.0,['G'],['G'],None,['Instant'],None,Common,DOM,None,None,None,Put a +1/+1 counter on target creature. That creature gains reach until end of turn.
Ancient Animus,2.0,['G'],['G'],None,['Instant'],None,Common,DOM,None,None,None,Put a +1/+1 counter on target creature you control if it's legendary. Then it fights target creature an opponent controls. (Each deals damage equal to its power to the other.)
Adventurous Impulse,1.0,['G'],['G'],None,['Sorcery'],None,Common,DOM,None,None,None,Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.
Wizard's Lightning,3.0,['R'],['R'],None,['Instant'],None,Uncommon,DOM,None,None,None,This spell costs {2} less to cast if you control a Wizard.\nWizard's Lightning deals 3 damage to any target.
Primordial Wurm,6.0,['G'],['G'],None,['Creature'],['Wurm'],Common,DOM,7,6,None,None
