Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DPA,None,None,None,({T}: Add {G}.)
Forest,0.0,None,['G'],['Basic'],['Land'],['Forest'],Common,DPA,None,None,None,({T}: Add {G}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DPA,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DPA,None,None,None,({T}: Add {R}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DPA,None,None,None,({T}: Add {R}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DPA,None,None,None,({T}: Add {B}.)
Mountain,0.0,None,['R'],['Basic'],['Land'],['Mountain'],Common,DPA,None,None,None,({T}: Add {R}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DPA,None,None,None,({T}: Add {U}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DPA,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DPA,None,None,None,({T}: Add {B}.)
Swamp,0.0,None,['B'],['Basic'],['Land'],['Swamp'],Common,DPA,None,None,None,({T}: Add {B}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DPA,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DPA,None,None,None,({T}: Add {U}.)
Island,0.0,None,['U'],['Basic'],['Land'],['Island'],Common,DPA,None,None,None,({T}: Add {U}.)
Wurm's Tooth,2.0,None,None,None,['Artifact'],None,Uncommon,DPA,None,None,None,"Whenever a player casts a green spell, you may gain 1 life."
Loxodon Warhammer,3.0,None,None,None,['Artifact'],['Equipment'],Rare,DPA,None,None,None,Equipped creature gets +3/+0 and has trample and lifelink.\nEquip {3}
Kraken's Eye,2.0,None,None,None,['Artifact'],None,Uncommon,DPA,None,None,None,"Whenever a player casts a blue spell, you may gain 1 life."
Dragon's Claw,2.0,None,None,None,['Artifact'],None,Uncommon,DPA,None,None,None,"Whenever a player casts a red spell, you may gain 1 life."
Demon's Horn,2.0,None,None,None,['Artifact'],None,Uncommon,DPA,None,None,None,"Whenever a player casts a black spell, you may gain 1 life."
Coat of Arms,5.0,None,None,None,['Artifact'],None,Rare,DPA,None,None,None,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)"
Wall of Wood,1.0,['G'],['G'],None,['Creature'],['Wall'],Common,DPA,0,3,None,Defender (This creature can't attack.)
Vigor,6.0,['G'],['G'],None,['Creature'],"['Elemental', 'Incarnation']",Rare,DPA,6,6,None,"Trample\nIf damage would be dealt to another creature you control, prevent that damage. Put a +1/+1 counter on that creature for each 1 damage prevented this way.\nWhen Vigor is put into a graveyard from anywhere, shuffle it into its owner's library."
Talara's Battalion,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Rare,DPA,4,3,None,Cast this spell only if you've cast another green spell this turn.\nTrample
Verdant Force,8.0,['G'],['G'],None,['Creature'],['Elemental'],Rare,DPA,7,7,None,"At the beginning of each upkeep, create a 1/1 green Saproling creature token."
Trained Armodon,3.0,['G'],['G'],None,['Creature'],['Elephant'],Common,DPA,3,3,None,None
Spined Wurm,5.0,['G'],['G'],None,['Creature'],['Wurm'],Common,DPA,5,4,None,None
Runeclaw Bear,2.0,['G'],['G'],None,['Creature'],['Bear'],Common,DPA,2,2,None,None
Roughshod Mentor,6.0,['G'],['G'],None,['Creature'],"['Giant', 'Warrior']",Uncommon,DPA,5,4,None,Green creatures you control have trample.
Wall of Spears,3.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Common,DPA,2,3,None,Defender (This creature can't attack.)\nFirst strike
River Boa,2.0,['G'],['G'],None,['Creature'],['Snake'],Uncommon,DPA,2,1,None,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\n{G}: Regenerate River Boa.
The Rack,1.0,None,None,None,['Artifact'],None,Uncommon,DPA,None,None,None,"As The Rack enters the battlefield, choose an opponent.\nAt the beginning of the chosen player's upkeep, The Rack deals X damage to that player, where X is 3 minus the number of cards in their hand."
Naturalize,2.0,['G'],['G'],None,['Instant'],None,Common,DPA,None,None,None,Destroy target artifact or enchantment.
Overrun,5.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DPA,None,None,None,Creatures you control get +3/+3 and gain trample until end of turn.
Nature's Spiral,2.0,['G'],['G'],None,['Sorcery'],None,Uncommon,DPA,None,None,None,Return target permanent card from your graveyard to your hand.
Natural Spring,5.0,['G'],['G'],None,['Sorcery'],None,Common,DPA,None,None,None,Target player gains 8 life.
Troll Ascetic,3.0,['G'],['G'],None,['Creature'],"['Troll', 'Shaman']",Rare,DPA,3,2,None,Hexproof (This creature can't be the target of spells or abilities your opponents control.)\n{1}{G}: Regenerate Troll Ascetic.
Lys Alana Huntmaster,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Common,DPA,3,3,None,"Whenever you cast an Elf spell, you may create a 1/1 green Elf Warrior creature token."
Rampant Growth,2.0,['G'],['G'],None,['Sorcery'],None,Common,DPA,None,None,None,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
