Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Form of the Dragon,7.0,['R'],['R'],None,['Enchantment'],None,Rare,DRB,None,None,None,"At the beginning of your upkeep, Form of the Dragon deals 5 damage to any target.\nAt the beginning of each end step, your life total becomes 5.\nCreatures without flying can't attack you."
Bogardan Hellkite,8.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,DRB,5,5,None,"Flash\nFlying\nWhen Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of targets."
Bladewing the Risen,7.0,"['B', 'R']","['B', 'R']",['Legendary'],['Creature'],"['Zombie', 'Dragon']",Rare,DRB,4,4,None,"Flying\nWhen Bladewing the Risen enters the battlefield, you may return target Dragon permanent card from your graveyard to the battlefield.\n{B}{R}: Dragon creatures get +1/+1 until end of turn."
Ebon Dragon,7.0,['B'],['B'],None,['Creature'],['Dragon'],Rare,DRB,5,4,None,"Flying\nWhen Ebon Dragon enters the battlefield, you may have target opponent discard a card."
Thunder Dragon,7.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,DRB,5,5,None,"Flying\nWhen Thunder Dragon enters the battlefield, it deals 3 damage to each creature without flying."
Dragonstorm,9.0,['R'],['R'],None,['Sorcery'],None,Rare,DRB,None,None,None,"Search your library for a Dragon permanent card, put it onto the battlefield, then shuffle.\nStorm (When you cast this spell, copy it for each spell cast before it this turn.)"
Two-Headed Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,DRB,4,4,None,Flying\nMenace (This creature can't be blocked except by two or more creatures.)\nTwo-Headed Dragon can block an additional creature each combat.\n{1}{R}: Two-Headed Dragon gets +2/+0 until end of turn.
Shivan Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,DRB,5,5,None,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.
"Rith, the Awakener",6.0,"['G', 'R', 'W']","['G', 'R', 'W']",['Legendary'],['Creature'],['Dragon'],Rare,DRB,6,6,None,"Flying\nWhenever Rith, the Awakener deals combat damage to a player, you may pay {2}{G}. If you do, choose a color, then create a 1/1 green Saproling creature token for each permanent of that color."
"Niv-Mizzet, the Firemind",6.0,"['R', 'U']","['R', 'U']",['Legendary'],['Creature'],"['Dragon', 'Wizard']",Rare,DRB,4,4,None,"Flying\nWhenever you draw a card, Niv-Mizzet, the Firemind deals 1 damage to any target.\n{T}: Draw a card."
Nicol Bolas,8.0,"['B', 'R', 'U']","['B', 'R', 'U']",['Legendary'],['Creature'],"['Elder', 'Dragon']",Rare,DRB,7,7,None,"Flying\nAt the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.\nWhenever Nicol Bolas deals damage to an opponent, that player discards their hand."
Draco,16.0,None,None,None,"['Artifact', 'Creature']",['Dragon'],Rare,DRB,9,9,None,"Domain — This spell costs {2} less to cast for each basic land type among lands you control.\nFlying\nDomain — At the beginning of your upkeep, sacrifice Draco unless you pay {10}. This cost is reduced by {2} for each basic land type among lands you control."
"Kokusho, the Evening Star",6.0,['B'],['B'],['Legendary'],['Creature'],"['Dragon', 'Spirit']",Rare,DRB,5,5,None,"Flying\nWhen Kokusho, the Evening Star dies, each opponent loses 5 life. You gain life equal to the life lost this way."
Hellkite Overlord,8.0,"['B', 'G', 'R']","['B', 'G', 'R']",None,['Creature'],['Dragon'],Rare,DRB,8,8,None,"Flying, trample, haste\n{R}: Hellkite Overlord gets +1/+0 until end of turn.\n{B}{G}: Regenerate Hellkite Overlord."
Dragon Whelp,4.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,DRB,2,3,None,"Flying\n{R}: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step."
