Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Tower of Coireall,2.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,{T}: Target creature can't be blocked by Walls this turn.
Stone Calendar,5.0,None,None,None,['Artifact'],None,Rare,DRK,None,None,None,Spells you cast cost up to {1} less to cast.
Skull of Orm,3.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{5}, {T}: Return target enchantment card from your graveyard to your hand."
Scarecrow,5.0,None,None,None,"['Artifact', 'Creature']",['Scarecrow'],Uncommon,DRK,2,2,None,"{6}, {T}: Prevent all damage that would be dealt to you this turn by creatures with flying."
Runesword,6.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{3}, {T}: Target attacking creature gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, sacrifice Runesword. If the creature deals damage to a creature this turn, the creature dealt damage can't be regenerated this turn. If a creature dealt damage by the targeted creature would die this turn, exile that creature instead."
Reflecting Mirror,4.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{X}, {T}: Change the target of target spell with a single target if that target is you. The new target must be a player. X is twice the mana value of that spell."
Fellwar Stone,2.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,{T}: Add one mana of any color that a land an opponent controls could produce.
Necropolis,5.0,None,None,None,"['Artifact', 'Creature']",['Wall'],Uncommon,DRK,0,1,None,"Defender (This creature can't attack.)\nExile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's mana value."
Dark Sphere,0.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{T}, Sacrifice Dark Sphere: The next time a source of your choice would deal damage to you this turn, prevent half that damage, rounded down."
Living Armor,4.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{T}, Sacrifice Living Armor: Put X +0/+1 counters on target creature, where X is that creature's mana value."
Fountain of Youth,0.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{2}, {T}: You gain 1 life."
Coal Golem,5.0,None,['R'],None,"['Artifact', 'Creature']",['Golem'],Uncommon,DRK,3,3,None,"{3}, Sacrifice Coal Golem: Add {R}{R}{R}."
Book of Rass,6.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{2}, Pay 2 life: Draw a card."
Bone Flute,3.0,None,None,None,['Artifact'],None,Uncommon,DRK,None,None,None,"{2}, {T}: All creatures get -1/-0 until end of turn."
Barl's Cage,4.0,None,None,None,['Artifact'],None,Rare,DRK,None,None,None,{3}: Target creature doesn't untap during its controller's next untap step.
Dark Heart of the Wood,2.0,"['B', 'G']","['B', 'G']",None,['Enchantment'],None,Common,DRK,None,None,None,Sacrifice a Forest: You gain 3 life.
Scarwood Goblins,2.0,"['G', 'R']","['G', 'R']",None,['Creature'],['Goblin'],Common,DRK,2,2,None,None
Marsh Goblins,2.0,"['B', 'R']","['B', 'R']",None,['Creature'],['Goblin'],Common,DRK,1,1,None,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Wormwood Treefolk,5.0,['G'],"['B', 'G']",None,['Creature'],['Treefolk'],Rare,DRK,4,4,None,{G}{G}: Wormwood Treefolk gains forestwalk until end of turn and deals 2 damage to you. (It can't be blocked as long as defending player controls a Forest.)\n{B}{B}: Wormwood Treefolk gains swampwalk until end of turn and deals 2 damage to you. (It can't be blocked as long as defending player controls a Swamp.)
