Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Echoing Calm,2.0,['W'],['W'],None,['Instant'],None,Common,DST,None,None,None,Destroy target enchantment and all other enchantments with the same name as that enchantment.
Ritual of Restoration,1.0,['W'],['W'],None,['Sorcery'],None,Common,DST,None,None,None,Return target artifact card from your graveyard to your hand.
Mirrodin's Core,0.0,None,None,None,['Land'],None,Uncommon,DST,None,None,None,"{T}: Add {C}.\n{T}: Put a charge counter on Mirrodin's Core.\n{T}, Remove a charge counter from Mirrodin's Core: Add one mana of any color."
Darksteel Citadel,0.0,None,None,None,"['Artifact', 'Land']",None,Common,DST,None,None,None,Indestructible\n{T}: Add {C}.
Blinkmoth Nexus,0.0,None,None,None,['Land'],None,Rare,DST,None,None,None,"{T}: Add {C}.\n{1}: Blinkmoth Nexus becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land.\n{1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn."
Wurm's Tooth,2.0,None,None,None,['Artifact'],None,Uncommon,DST,None,None,None,"Whenever a player casts a green spell, you may gain 1 life."
Wirefly Hive,3.0,None,None,None,['Artifact'],None,Uncommon,DST,None,None,None,"{3}, {T}: Flip a coin. If you win the flip, create a 2/2 colorless Insect artifact creature token with flying named Wirefly. If you lose the flip, destroy all permanents named Wirefly."
Whispersilk Cloak,3.0,None,None,None,['Artifact'],['Equipment'],Common,DST,None,None,None,Equipped creature can't be blocked and has shroud. (It can't be the target of spells or abilities.)\nEquip {2}
Well of Lost Dreams,4.0,None,None,None,['Artifact'],None,Rare,DST,None,None,None,"Whenever you gain life, you may pay {X}, where X is less than or equal to the amount of life you gained. If you do, draw X cards."
Wand of the Elements,4.0,None,None,None,['Artifact'],None,Rare,DST,None,None,None,"{T}, Sacrifice an Island: Create a 2/2 blue Elemental creature token with flying.\n{T}, Sacrifice a Mountain: Create a 3/3 red Elemental creature token."
Vulshok Morningstar,2.0,None,None,None,['Artifact'],['Equipment'],Common,DST,None,None,None,Equipped creature gets +2/+2.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
Voltaic Construct,4.0,None,None,None,"['Artifact', 'Creature']","['Golem', 'Construct']",Uncommon,DST,2,2,None,{2}: Untap target artifact creature.
Ur-Golem's Eye,4.0,None,None,None,['Artifact'],None,Common,DST,None,None,None,{T}: Add {C}{C}.
Trinisphere,3.0,None,None,None,['Artifact'],None,Rare,DST,None,None,None,"As long as Trinisphere is untapped, each spell that would cost less than three mana to cast costs three mana to cast. (Additional mana in the cost may be paid with any color of mana or colorless mana. For example, a spell that would cost {1}{B} to cast costs {2}{B} to cast instead.)"
Thunderstaff,3.0,None,None,None,['Artifact'],None,Uncommon,DST,None,None,None,"As long as Thunderstaff is untapped, if a creature would deal combat damage to you, prevent 1 of that damage.\n{2}, {T}: Attacking creatures get +1/+0 until end of turn."
Thought Dissector,4.0,None,None,None,['Artifact'],None,Rare,DST,None,None,None,"{X}, {T}: Target opponent reveals cards from the top of their library until an artifact card or X cards are revealed, whichever comes first. If an artifact card is revealed this way, put it onto the battlefield under your control and sacrifice Thought Dissector. Put the rest of the revealed cards into that player's graveyard."
Tangle Golem,7.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,DST,5,4,None,Affinity for Forests (This spell costs {1} less to cast for each Forest you control.)
Talon of Pain,4.0,None,None,None,['Artifact'],None,Uncommon,DST,None,None,None,"Whenever a source you control other than Talon of Pain deals damage to an opponent, put a charge counter on Talon of Pain.\n{X}, {T}, Remove X charge counters from Talon of Pain: It deals X damage to any target."
Sword of Light and Shadow,3.0,None,None,None,['Artifact'],['Equipment'],Rare,DST,None,None,None,"Equipped creature gets +2/+2 and has protection from white and from black.\nWhenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.\nEquip {2}"
Sword of Fire and Ice,3.0,None,None,None,['Artifact'],['Equipment'],Rare,DST,None,None,None,"Equipped creature gets +2/+2 and has protection from red and from blue.\nWhenever equipped creature deals combat damage to a player, Sword of Fire and Ice deals 2 damage to any target and you draw a card.\nEquip {2}"
Surestrike Trident,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,DST,None,None,None,"Equipped creature has first strike and ""{T}, Unattach Surestrike Trident: This creature deals damage equal to its power to target player or planeswalker.""\nEquip {4} ({4}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)"
Sundering Titan,8.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Rare,DST,7,10,None,"When Sundering Titan enters or leaves the battlefield, choose a land of each basic land type, then destroy those lands."
Spire Golem,6.0,None,None,None,"['Artifact', 'Creature']",['Golem'],Common,DST,2,4,None,Affinity for Islands (This spell costs {1} less to cast for each Island you control.)\nFlying
Spincrusher,2.0,None,None,None,"['Artifact', 'Creature']",['Construct'],Uncommon,DST,0,2,None,"Whenever Spincrusher blocks, put a +1/+1 counter on it.\nRemove a +1/+1 counter from Spincrusher: Spincrusher can't be blocked this turn."
Spellbinder,3.0,None,None,None,['Artifact'],['Equipment'],Rare,DST,None,None,None,"Imprint — When Spellbinder enters the battlefield, you may exile an instant card from your hand.\nWhenever equipped creature deals combat damage to a player, you may copy the exiled card. If you do, you may cast the copy without paying its mana cost.\nEquip {4}"
Specter's Shroud,2.0,None,None,None,['Artifact'],['Equipment'],Uncommon,DST,None,None,None,"Equipped creature gets +1/+0.\nWhenever equipped creature deals combat damage to a player, that player discards a card.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)"
Spawning Pit,2.0,None,None,None,['Artifact'],None,Uncommon,DST,None,None,None,"Sacrifice a creature: Put a charge counter on Spawning Pit.\n{1}, Remove two charge counters from Spawning Pit: Create a 2/2 colorless Spawn artifact creature token."
Skullclamp,1.0,None,None,None,['Artifact'],['Equipment'],Uncommon,DST,None,None,None,"Equipped creature gets +1/-1.\nWhenever equipped creature dies, draw two cards.\nEquip {1}"
