Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Sibsig Icebreakers,3.0,['B'],['B'],None,['Creature'],['Zombie'],Common,DTK,2,3,None,"When Sibsig Icebreakers enters the battlefield, each player discards a card."
Warbringer,4.0,['R'],['R'],None,['Creature'],"['Orc', 'Berserker']",Uncommon,DTK,3,3,None,"Dash costs you pay cost {2} less (as long as this creature is on the battlefield).\nDash {2}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Shambling Goblin,1.0,['B'],['B'],None,['Creature'],"['Zombie', 'Goblin']",Common,DTK,1,1,None,"When Shambling Goblin dies, target creature an opponent controls gets -1/-1 until end of turn."
Volcanic Vision,7.0,['R'],['R'],None,['Sorcery'],None,Rare,DTK,None,None,None,Return target instant or sorcery card from your graveyard to your hand. Volcanic Vision deals damage equal to that card's mana value to each creature your opponents control. Exile Volcanic Vision.
Self-Inflicted Wound,2.0,['B'],['B'],None,['Sorcery'],None,Uncommon,DTK,None,None,None,"Target opponent sacrifices a green or white creature. If that player does, they lose 2 life."
Volcanic Rush,5.0,['R'],['R'],None,['Instant'],None,Common,DTK,None,None,None,Attacking creatures get +2/+0 and gain trample until end of turn.
Foul-Tongue Invocation,3.0,['B'],['B'],None,['Instant'],None,Uncommon,DTK,None,None,None,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand.\nTarget player sacrifices a creature. If you revealed a Dragon card or controlled a Dragon as you cast this spell, you gain 4 life."
Vandalize,5.0,['R'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,Choose one or both —\n• Destroy target artifact.\n• Destroy target land.
Twin Bolt,2.0,['R'],['R'],None,['Instant'],None,Common,DTK,None,None,None,Twin Bolt deals 2 damage divided as you choose among one or two targets.
Qarsi Sadist,2.0,['B'],['B'],None,['Creature'],"['Human', 'Cleric']",Common,DTK,1,3,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Qarsi Sadist exploits a creature, target opponent loses 2 life and you gain 2 life."
Tormenting Voice,2.0,['R'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,"As an additional cost to cast this spell, discard a card.\nDraw two cards."
Reckless Imp,3.0,['B'],['B'],None,['Creature'],['Imp'],Common,DTK,2,2,None,"Flying\nReckless Imp can't block.\nDash {1}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Thunderbreak Regent,4.0,['R'],['R'],None,['Creature'],['Dragon'],Rare,DTK,4,4,None,"Flying\nWhenever a Dragon you control becomes the target of a spell or ability an opponent controls, Thunderbreak Regent deals 3 damage to that player."
Risen Executioner,4.0,['B'],['B'],None,['Creature'],"['Zombie', 'Warrior']",Mythic,DTK,4,3,None,Risen Executioner can't block.\nOther Zombie creatures you control get +1/+1.\nYou may cast Risen Executioner from your graveyard if you pay {1} more to cast it for each other creature card in your graveyard.
Tail Slash,3.0,['R'],['R'],None,['Instant'],None,Common,DTK,None,None,None,Target creature you control deals damage equal to its power to target creature you don't control.
Rakshasa Gravecaller,5.0,['B'],['B'],None,['Creature'],['Demon'],Uncommon,DTK,3,6,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Rakshasa Gravecaller exploits a creature, create two 2/2 black Zombie creature tokens."
Summit Prowler,4.0,['R'],['R'],None,['Creature'],['Yeti'],Common,DTK,4,3,None,None
Pitiless Horde,3.0,['B'],['B'],None,['Creature'],"['Orc', 'Berserker']",Rare,DTK,5,3,None,"At the beginning of your upkeep, you lose 2 life.\nDash {2}{B}{B} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Stormwing Dragon,6.0,['R'],['R'],None,['Creature'],['Dragon'],Uncommon,DTK,3,3,None,"Flying, first strike\nMegamorph {5}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Stormwing Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control."
Stormcrag Elemental,6.0,['R'],['R'],None,['Creature'],['Elemental'],Uncommon,DTK,5,5,None,Trample\nMegamorph {4}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
Sprinting Warbrute,5.0,['R'],['R'],None,['Creature'],"['Ogre', 'Berserker']",Common,DTK,5,4,None,"Sprinting Warbrute attacks each combat if able.\nDash {3}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Seismic Rupture,3.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DTK,None,None,None,Seismic Rupture deals 2 damage to each creature without flying.
Screamreach Brawler,3.0,['R'],['R'],None,['Creature'],"['Orc', 'Berserker']",Common,DTK,2,3,None,"Dash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Minister of Pain,3.0,['B'],['B'],None,['Creature'],"['Human', 'Shaman']",Uncommon,DTK,2,3,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Minister of Pain exploits a creature, creatures your opponents control get -1/-1 until end of turn."
Sarkhan's Triumph,3.0,['R'],['R'],None,['Instant'],None,Uncommon,DTK,None,None,None,"Search your library for a Dragon creature card, reveal it, put it into your hand, then shuffle."
Sarkhan's Rage,5.0,['R'],['R'],None,['Instant'],None,Common,DTK,None,None,None,"Sarkhan's Rage deals 5 damage to any target. If you control no Dragons, Sarkhan's Rage deals 2 damage to you."
Mind Rot,3.0,['B'],['B'],None,['Sorcery'],None,Common,DTK,None,None,None,Target player discards two cards.
Sabertooth Outrider,4.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,DTK,4,2,None,"Trample\nFormidable — Whenever Sabertooth Outrider attacks, if creatures you control have total power 8 or greater, Sabertooth Outrider gains first strike until end of turn."
Roast,2.0,['R'],['R'],None,['Sorcery'],None,Uncommon,DTK,None,None,None,Roast deals 5 damage to target creature without flying.
Rending Volley,1.0,['R'],['R'],None,['Instant'],None,Uncommon,DTK,None,None,None,This spell can't be countered.\nRending Volley deals 4 damage to target white or blue creature.
Qal Sisma Behemoth,3.0,['R'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Uncommon,DTK,5,5,None,Qal Sisma Behemoth can't attack or block unless you pay {2}.
Magmatic Chasm,2.0,['R'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,Creatures without flying can't block this turn.
Lose Calm,4.0,['R'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,Gain control of target creature until end of turn. Untap that creature. It gains haste and menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)
Lightning Berserker,1.0,['R'],['R'],None,['Creature'],"['Human', 'Berserker']",Uncommon,DTK,1,1,None,"{R}: Lightning Berserker gets +1/+0 until end of turn.\nDash {R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Kolaghan Stormsinger,1.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Common,DTK,1,1,None,"Haste\nMegamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Kolaghan Stormsinger is turned face up, target creature gains haste until end of turn."
Kolaghan Forerunners,3.0,['R'],['R'],None,['Creature'],"['Human', 'Berserker']",Uncommon,DTK,*,3,None,"Trample\nKolaghan Forerunners's power is equal to the number of creatures you control.\nDash {2}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)"
Kolaghan Aspirant,2.0,['R'],['R'],None,['Creature'],"['Human', 'Warrior']",Common,DTK,2,1,None,"Whenever Kolaghan Aspirant becomes blocked by a creature, Kolaghan Aspirant deals 1 damage to that creature."
Marsh Hulk,6.0,['B'],['B'],None,['Creature'],"['Zombie', 'Ogre']",Common,DTK,4,6,None,Megamorph {6}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
Kindled Fury,1.0,['R'],['R'],None,['Instant'],None,Common,DTK,None,None,None,Target creature gets +1/+0 and gains first strike until end of turn.
Ire Shaman,2.0,['R'],['R'],None,['Creature'],"['Orc', 'Shaman']",Rare,DTK,2,1,None,"Menace (This creature can't be blocked except by two or more creatures.)\nMegamorph {R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Ire Shaman is turned face up, exile the top card of your library. Until end of turn, you may play that card."
Impact Tremors,2.0,['R'],['R'],None,['Enchantment'],None,Common,DTK,None,None,None,"Whenever a creature enters the battlefield under your control, Impact Tremors deals 1 damage to each opponent."
Marang River Skeleton,2.0,['B'],['B'],None,['Creature'],['Skeleton'],Uncommon,DTK,1,1,None,{B}: Regenerate Marang River Skeleton.\nMegamorph {3}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
Hardened Berserker,3.0,['R'],['R'],None,['Creature'],"['Human', 'Berserker']",Common,DTK,3,2,None,"Whenever Hardened Berserker attacks, the next spell you cast this turn costs {1} less to cast."
Dragonlord's Servant,2.0,['R'],['R'],None,['Creature'],"['Goblin', 'Shaman']",Uncommon,DTK,1,3,None,Dragon spells you cast cost {1} less to cast.
Dragon Whisperer,2.0,['R'],['R'],None,['Creature'],"['Human', 'Shaman']",Mythic,DTK,2,2,None,{R}: Dragon Whisperer gains flying until end of turn.\n{1}{R}: Dragon Whisperer gets +1/+0 until end of turn.\nFormidable — {4}{R}{R}: Create a 4/4 red Dragon creature token with flying. Activate only if creatures you control have total power 8 or greater.
Dragon Tempest,2.0,['R'],['R'],None,['Enchantment'],None,Rare,DTK,None,None,None,"Whenever a creature with flying enters the battlefield under your control, it gains haste until end of turn.\nWhenever a Dragon enters the battlefield under your control, it deals X damage to any target, where X is the number of Dragons you control."
Silumgar Butcher,5.0,['B'],['B'],None,['Creature'],"['Zombie', 'Djinn']",Common,DTK,3,3,None,"Exploit (When this creature enters the battlefield, you may sacrifice a creature.)\nWhen Silumgar Butcher exploits a creature, target creature gets -3/-3 until end of turn."
Crater Elemental,3.0,['R'],['R'],None,['Creature'],['Elemental'],Rare,DTK,0,6,None,"{R}, {T}, Sacrifice Crater Elemental: It deals 4 damage to target creature.\nFormidable — {2}{R}: Crater Elemental has base power 8 until end of turn. Activate only if creatures you control have total power 8 or greater."
Draconic Roar,2.0,['R'],['R'],None,['Instant'],None,Uncommon,DTK,None,None,None,"As an additional cost to cast this spell, you may reveal a Dragon card from your hand.\nDraconic Roar deals 3 damage to target creature. If you revealed a Dragon card or controlled a Dragon as you cast this spell, Draconic Roar deals 3 damage to that creature's controller."
Dragon Fodder,2.0,['R'],['R'],None,['Sorcery'],None,Common,DTK,None,None,None,Create two 1/1 red Goblin creature tokens.
Descent of the Dragons,6.0,['R'],['R'],None,['Sorcery'],None,Mythic,DTK,None,None,None,"Destroy any number of target creatures. For each creature destroyed this way, its controller creates a 4/4 red Dragon creature token with flying."
Commune with Lava,2.0,['R'],['R'],None,['Instant'],None,Rare,DTK,None,None,None,"Exile the top X cards of your library. Until the end of your next turn, you may play those cards."
Berserkers' Onslaught,5.0,['R'],['R'],None,['Enchantment'],None,Rare,DTK,None,None,None,Attacking creatures you control have double strike.
Atarka Pummeler,5.0,['R'],['R'],None,['Creature'],"['Ogre', 'Warrior']",Uncommon,DTK,4,5,None,Formidable — {3}{R}{R}: Creatures you control gain menace until end of turn. Activate only if creatures you control have total power 8 or greater. (They can't be blocked except by two or more creatures.)
Atarka Efreet,4.0,['R'],['R'],None,['Creature'],"['Efreet', 'Shaman']",Common,DTK,5,1,None,"Megamorph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Atarka Efreet is turned face up, it deals 1 damage to any target."
Wandering Tombshell,4.0,['B'],['B'],None,['Creature'],"['Zombie', 'Turtle']",Common,DTK,1,6,None,None
Ukud Cobra,4.0,['B'],['B'],None,['Creature'],['Snake'],Uncommon,DTK,2,5,None,Deathtouch
