Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Tuinvale Treefolk // Oaken Boon,6.0,['G'],['G'],None,['Creature'],"['Treefolk', 'Druid']",Common,ELD,6,5,None,None
Trail of Crumbs,2.0,['G'],['G'],None,['Enchantment'],None,Uncommon,ELD,None,None,None,"When Trail of Crumbs enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\nWhenever you sacrifice a Food, you may pay {1}. If you do, look at the top two cards of your library. You may reveal a permanent card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
Tall as a Beanstalk,4.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,ELD,None,None,None,"Enchant creature\nEnchanted creature gets +3/+3, has reach, and is a Giant in addition to its other types."
Rosethorn Acolyte // Seasonal Ritual,3.0,['G'],['G'],None,['Creature'],"['Elf', 'Druid']",Common,ELD,2,3,None,{T}: Add one mana of any color.
"Syr Faren, the Hengehammer",2.0,['G'],['G'],['Legendary'],['Creature'],"['Human', 'Knight']",Uncommon,ELD,2,2,None,"Whenever Syr Faren, the Hengehammer attacks, another target attacking creature gets +X/+X until end of turn, where X is Syr Faren's power."
Return of the Wildspeaker,5.0,['G'],['G'],None,['Instant'],None,Rare,ELD,None,None,None,Choose one —\n• Draw cards equal to the greatest power among non-Human creatures you control.\n• Non-Human creatures you control get +3/+3 until end of turn.
Sporecap Spider,3.0,['G'],['G'],None,['Creature'],['Spider'],Common,ELD,1,5,None,Reach
Rosethorn Halberd,1.0,['G'],['G'],None,['Artifact'],['Equipment'],Common,ELD,None,None,None,"When Rosethorn Halberd enters the battlefield, attach it to target non-Human creature you control.\nEquipped creature gets +2/+1.\nEquip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.)"
Questing Beast,4.0,['G'],['G'],['Legendary'],['Creature'],['Beast'],Mythic,ELD,4,4,None,"Vigilance, deathtouch, haste\nQuesting Beast can't be blocked by creatures with power 2 or less.\nCombat damage that would be dealt by creatures you control can't be prevented.\nWhenever Questing Beast deals combat damage to an opponent, it deals that much damage to target planeswalker that player controls."
Outmuscle,4.0,['G'],['G'],None,['Sorcery'],None,Common,ELD,None,None,None,"Put a +1/+1 counter on target creature you control, then it fights target creature you don't control. (Each deals damage equal to its power to the other.)\nAdamant — If at least three green mana was spent to cast this spell, the creature you control gains indestructible until end of turn."
Once Upon a Time,2.0,['G'],['G'],None,['Instant'],None,Rare,ELD,None,None,None,"If this spell is the first spell you've cast this game, you may cast it without paying its mana cost.\nLook at the top five cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Once and Future,4.0,['G'],['G'],None,['Instant'],None,Uncommon,ELD,None,None,None,"Return target card from your graveyard to your hand. Put up to one other target card from your graveyard on top of your library. Exile Once and Future.\nAdamant — If at least three green mana was spent to cast this spell, instead return those cards to your hand and exile Once and Future."
Oakhame Adversary,4.0,['G'],['G'],None,['Creature'],"['Elf', 'Warrior']",Uncommon,ELD,2,3,None,"This spell costs {2} less to cast if an opponent controls a green permanent.\nDeathtouch\nWhenever Oakhame Adversary deals combat damage to a player, draw a card."
Maraleaf Rider,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Knight']",Common,ELD,3,1,None,Sacrifice a Food: Target creature blocks Maraleaf Rider this turn if able.
Lovestruck Beast // Heart's Desire,3.0,['G'],['G'],None,['Creature'],"['Beast', 'Noble']",Rare,ELD,5,5,None,Lovestruck Beast can't attack unless you control a 1/1 creature.
Kenrith's Transformation,2.0,['G'],['G'],None,['Enchantment'],['Aura'],Uncommon,ELD,None,None,None,"Enchant creature\nWhen Kenrith's Transformation enters the battlefield, draw a card.\nEnchanted creature loses all abilities and is a green Elk creature with base power and toughness 3/3. (It loses all other card types and creature types.)"
Keeper of Fables,5.0,['G'],['G'],None,['Creature'],['Cat'],Uncommon,ELD,4,5,None,"Whenever one or more non-Human creatures you control deal combat damage to a player, draw a card."
Insatiable Appetite,2.0,['G'],['G'],None,['Instant'],None,Common,ELD,None,None,None,"You may sacrifice a Food. If you do, target creature gets +5/+5 until end of turn. Otherwise, that creature gets +3/+3 until end of turn."
The Great Henge,9.0,['G'],['G'],['Legendary'],['Artifact'],None,Mythic,ELD,None,None,None,"This spell costs {X} less to cast, where X is the greatest power among creatures you control.\n{T}: Add {G}{G}. You gain 2 life.\nWhenever a nontoken creature enters the battlefield under your control, put a +1/+1 counter on it and draw a card."
Gilded Goose,1.0,['G'],['G'],None,['Creature'],['Bird'],Rare,ELD,0,2,None,"Flying\nWhen Gilded Goose enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")\n{1}{G}, {T}: Create a Food token.\n{T}, Sacrifice a Food: Add one mana of any color."
Giant Opportunity,3.0,['G'],['G'],None,['Sorcery'],None,Uncommon,ELD,None,None,None,"You may sacrifice two Foods. If you do, create a 7/7 green Giant creature token. Otherwise, create three Food tokens. (They're artifacts with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
