Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Nephalia Academy,0.0,None,None,None,['Land'],None,Uncommon,EMN,None,None,None,"If a spell or ability an opponent controls causes you to discard a card, you may reveal that card and put it on top of your library instead of putting it anywhere else.\n{T}: Add {C}."
"Hanweir Battlements // Hanweir, the Writhing Township",0.0,None,['R'],None,['Land'],None,Rare,EMN,None,None,None,"{T}: Add {C}.\n{R}, {T}: Target creature gains haste until end of turn.\n{3}{R}{R}, {T}: If you both own and control Hanweir Battlements and a creature named Hanweir Garrison, exile them, then meld them into Hanweir, the Writhing Township."
Geier Reach Sanitarium,0.0,None,None,['Legendary'],['Land'],None,Rare,EMN,None,None,None,"{T}: Add {C}.\n{2}, {T}: Each player draws a card, then discards a card."
Thirsting Axe,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,EMN,None,None,None,"Equipped creature gets +4/+0.\nAt the beginning of your end step, if equipped creature didn't deal combat damage to a creature this turn, sacrifice it.\nEquip {2}"
Terrarion,1.0,None,None,None,['Artifact'],None,Common,EMN,None,None,None,"Terrarion enters the battlefield tapped.\n{2}, {T}, Sacrifice Terrarion: Add two mana in any combination of colors.\nWhen Terrarion is put into a graveyard from the battlefield, draw a card."
Stitcher's Graft,1.0,None,None,None,['Artifact'],['Equipment'],Rare,EMN,None,None,None,"Equipped creature gets +3/+3.\nWhenever equipped creature attacks, it doesn't untap during its controller's next untap step.\nWhenever Stitcher's Graft becomes unattached from a permanent, sacrifice that permanent.\nEquip {2}"
Soul Separator,3.0,None,None,None,['Artifact'],None,Rare,EMN,None,None,None,"{5}, {T}, Sacrifice Soul Separator: Exile target creature card from your graveyard. Create a token that's a copy of that card, except it's 1/1, it's a Spirit in addition to its other types, and it has flying. Create a black Zombie creature token with power equal to that card's power and toughness equal to that card's toughness."
Mercurial Geists,4.0,"['R', 'U']","['R', 'U']",None,['Creature'],['Spirit'],Uncommon,EMN,1,3,None,"Flying\nWhenever you cast an instant or sorcery spell, Mercurial Geists gets +3/+0 until end of turn."
Field Creeper,2.0,None,None,None,"['Artifact', 'Creature']",['Scarecrow'],Common,EMN,2,1,None,None
Lupine Prototype,2.0,None,None,None,"['Artifact', 'Creature']","['Wolf', 'Construct']",Rare,EMN,5,5,None,Lupine Prototype can't attack or block unless a player has no cards in hand.
Slayer's Cleaver,3.0,None,None,None,['Artifact'],['Equipment'],Uncommon,EMN,None,None,None,Equipped creature gets +3/+1 and must be blocked by an Eldrazi if able.\nEquip {4}
Geist-Fueled Scarecrow,4.0,None,None,None,"['Artifact', 'Creature']",['Scarecrow'],Uncommon,EMN,4,4,None,Creature spells you cast cost {1} more to cast.
Cultist's Staff,2.0,None,None,None,['Artifact'],['Equipment'],Common,EMN,None,None,None,Equipped creature gets +2/+2.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
Cryptolith Fragment // Aurora of Emrakul,3.0,None,None,None,['Artifact'],None,Uncommon,EMN,None,None,None,"Cryptolith Fragment enters the battlefield tapped.\n{T}: Add one mana of any color. Each player loses 1 life.\nAt the beginning of your upkeep, if each player has 10 or less life, transform Cryptolith Fragment."
Cathar's Shield,0.0,None,None,None,['Artifact'],['Equipment'],Common,EMN,None,None,None,Equipped creature gets +0/+3 and has vigilance.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
Mournwillow,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Plant', 'Skeleton']",Uncommon,EMN,3,2,None,"Haste\nDelirium — When Mournwillow enters the battlefield, if there are four or more card types among cards in your graveyard, creatures with power 2 or less can't block this turn."
"Ulrich of the Krallenhorde // Ulrich, Uncontested Alpha",5.0,"['G', 'R']","['G', 'R']",['Legendary'],['Creature'],"['Human', 'Werewolf']",Mythic,EMN,4,4,None,"Whenever this creature enters the battlefield or transforms into Ulrich of the Krallenhorde, target creature gets +4/+4 until end of turn.\nAt the beginning of each upkeep, if no spells were cast last turn, transform Ulrich of the Krallenhorde."
Heron's Grace Champion,4.0,"['G', 'W']","['G', 'W']",None,['Creature'],"['Human', 'Knight']",Rare,EMN,3,3,None,"Flash\nLifelink\nWhen Heron's Grace Champion enters the battlefield, other Humans you control get +1/+1 and gain lifelink until end of turn."
"Tamiyo, Field Researcher",4.0,"['G', 'U', 'W']","['G', 'U', 'W']",['Legendary'],['Planeswalker'],['Tamiyo'],Mythic,EMN,None,None,4,"[+1]: Choose up to two target creatures. Until your next turn, whenever either of those creatures deals combat damage, you draw a card.\n[−2]: Tap up to two target nonland permanents. They don't untap during their controller's next untap step.\n[−7]: Draw three cards. You get an emblem with ""You may cast spells from your hand without paying their mana costs."""
Spell Queller,3.0,"['U', 'W']","['U', 'W']",None,['Creature'],['Spirit'],Rare,EMN,2,3,None,"Flash\nFlying\nWhen Spell Queller enters the battlefield, exile target spell with mana value 4 or less.\nWhen Spell Queller leaves the battlefield, the exiled card's owner may cast that card without paying its mana cost."
Ride Down,2.0,"['R', 'W']","['R', 'W']",None,['Instant'],None,Uncommon,EMN,None,None,None,Destroy target blocking creature. Creatures that were blocked by that creature this combat gain trample until end of turn.
Grim Flayer,2.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Human', 'Warrior']",Mythic,EMN,2,2,None,"Trample\nWhenever Grim Flayer deals combat damage to a player, surveil 3. (Look at the top three cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)\nDelirium — Grim Flayer gets +2/+2 as long as there are four or more card types among cards in your graveyard."
Gisa and Geralf,4.0,"['B', 'U']","['B', 'U']",['Legendary'],['Creature'],"['Human', 'Wizard']",Mythic,EMN,4,4,None,"When Gisa and Geralf enters the battlefield, mill four cards.\nOnce during each of your turns, you may cast a Zombie creature spell from your graveyard."
Campaign of Vengeance,5.0,"['B', 'W']","['B', 'W']",None,['Enchantment'],None,Uncommon,EMN,None,None,None,"Whenever a creature you control attacks, defending player loses 1 life and you gain 1 life."
Bloodhall Priest,4.0,"['B', 'R']","['B', 'R']",None,['Creature'],"['Vampire', 'Cleric']",Rare,EMN,4,4,None,"Whenever Bloodhall Priest enters the battlefield or attacks, if you have no cards in hand, Bloodhall Priest deals 2 damage to any target.\nMadness {1}{B}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
Woodland Patrol,3.0,['G'],['G'],None,['Creature'],"['Human', 'Scout']",Common,EMN,3,2,None,Vigilance
Woodcutter's Grit,3.0,['G'],['G'],None,['Instant'],None,Common,EMN,None,None,None,Target creature you control gets +3/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Wolfkin Bond,5.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,EMN,None,None,None,"Enchant creature\nWhen Wolfkin Bond enters the battlefield, create a 2/2 green Wolf creature token.\nEnchanted creature gets +2/+2."
Waxing Moon,2.0,['G'],['G'],None,['Instant'],None,Common,EMN,None,None,None,Transform up to one target Werewolf you control. Creatures you control gain trample until end of turn.
Ulvenwald Observer,6.0,['G'],['G'],None,['Creature'],['Treefolk'],Rare,EMN,6,6,None,"Whenever a creature you control with toughness 4 or greater dies, draw a card."
