Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Odious Trow,1.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Troll'],Common,EVE,1,1,None,{1}{B/G}: Regenerate Odious Trow.
Noxious Hatchling,4.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Elemental'],Uncommon,EVE,6,6,None,"Noxious Hatchling enters the battlefield with four -1/-1 counters on it.\nWither (This deals damage to creatures in the form of -1/-1 counters.)\nWhenever you cast a black spell, remove a -1/-1 counter from Noxious Hatchling.\nWhenever you cast a green spell, remove a -1/-1 counter from Noxious Hatchling."
Hag Hedge-Mage,3.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Hag', 'Shaman']",Uncommon,EVE,2,2,None,"When Hag Hedge-Mage enters the battlefield, if you control two or more Swamps, you may have target player discard a card.\nWhen Hag Hedge-Mage enters the battlefield, if you control two or more Forests, you may put target card from your graveyard on top of your library."
Gift of the Deity,5.0,"['B', 'G']","['B', 'G']",None,['Enchantment'],['Aura'],Common,EVE,None,None,None,"Enchant creature\nAs long as enchanted creature is black, it gets +1/+1 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy that creature.)\nAs long as enchanted creature is green, it gets +1/+1 and all creatures able to block it do so."
Drain the Well,4.0,"['B', 'G']","['B', 'G']",None,['Sorcery'],None,Common,EVE,None,None,None,Destroy target land. You gain 2 life.
Doomgape,7.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Elemental'],Rare,EVE,10,10,None,"Trample\nAt the beginning of your upkeep, sacrifice a creature. You gain life equal to that creature's toughness."
Desecrator Hag,4.0,"['B', 'G']","['B', 'G']",None,['Creature'],['Hag'],Common,EVE,2,2,None,"When Desecrator Hag enters the battlefield, return to your hand the creature card in your graveyard with the greatest power. If two or more cards are tied for greatest power, you choose one of them."
Deity of Scars,5.0,"['B', 'G']","['B', 'G']",None,['Creature'],"['Spirit', 'Avatar']",Rare,EVE,7,7,None,"Trample\nDeity of Scars enters the battlefield with two -1/-1 counters on it.\n{B/G}, Remove a -1/-1 counter from Deity of Scars: Regenerate Deity of Scars."
Stigma Lasher,2.0,['R'],['R'],None,['Creature'],"['Elemental', 'Shaman']",Rare,EVE,2,2,None,"Wither (This deals damage to creatures in the form of -1/-1 counters.)\nWhenever Stigma Lasher deals damage to a player, that player can't gain life for the rest of the game."
Rekindled Flame,4.0,['R'],['R'],None,['Sorcery'],None,Rare,EVE,None,None,None,"Rekindled Flame deals 4 damage to any target.\nAt the beginning of your upkeep, if an opponent has no cards in hand, you may return Rekindled Flame from your graveyard to your hand."
