Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Song of Serenity,2.0,['G'],['G'],None,['Enchantment'],None,Uncommon,EXO,None,None,None,Creatures that are enchanted can't attack or block.
Skyshroud War Beast,2.0,['G'],['G'],None,['Creature'],['Beast'],Rare,EXO,*,*,None,"Trample\nAs Skyshroud War Beast enters the battlefield, choose an opponent.\nSkyshroud War Beast's power and toughness are each equal to the number of nonbasic lands the chosen player controls."
Skyshroud Elite,1.0,['G'],['G'],None,['Creature'],['Elf'],Uncommon,EXO,1,1,None,Skyshroud Elite gets +1/+2 as long as an opponent controls a nonbasic land.
Rootwater Alligator,4.0,['G'],['G'],None,['Creature'],['Crocodile'],Common,EXO,3,2,None,Sacrifice a Forest: Regenerate Rootwater Alligator.
Resuscitate,2.0,['G'],['G'],None,['Instant'],None,Uncommon,EXO,None,None,None,"Until end of turn, creatures you control gain ""{1}: Regenerate this creature."""
Reclaim,1.0,['G'],['G'],None,['Instant'],None,Common,EXO,None,None,None,Put target card from your graveyard on top of your library.
Rabid Wolverines,5.0,['G'],['G'],None,['Creature'],['Wolverine'],Common,EXO,4,4,None,"Whenever Rabid Wolverines becomes blocked by a creature, Rabid Wolverines gets +1/+1 until end of turn."
Pygmy Troll,2.0,['G'],['G'],None,['Creature'],['Troll'],Common,EXO,1,1,None,"Whenever Pygmy Troll becomes blocked by a creature, Pygmy Troll gets +1/+1 until end of turn.\n{G}: Regenerate Pygmy Troll."
Predatory Hunger,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,EXO,None,None,None,"Enchant creature\nWhenever an opponent casts a creature spell, put a +1/+1 counter on enchanted creature."
Shattering Pulse,2.0,['R'],['R'],None,['Instant'],None,Common,EXO,None,None,None,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nDestroy target artifact."
Manabond,1.0,['G'],['G'],None,['Enchantment'],None,Rare,EXO,None,None,None,"At the beginning of your end step, you may reveal your hand and put all land cards from it onto the battlefield. If you do, discard your hand."
Oath of Druids,2.0,['G'],['G'],None,['Enchantment'],None,Rare,EXO,None,None,None,"At the beginning of each player's upkeep, that player chooses target player who controls more creatures than they do and is their opponent. The first player may reveal cards from the top of their library until they reveal a creature card. If the first player does, that player puts that card onto the battlefield and all other cards revealed this way into their graveyard."
Plated Rootwalla,5.0,['G'],['G'],None,['Creature'],['Lizard'],Common,EXO,3,3,None,{2}{G}: Plated Rootwalla gets +3/+3 until end of turn. Activate only once each turn.
"Mirri, Cat Warrior",3.0,['G'],['G'],['Legendary'],['Creature'],"['Cat', 'Warrior']",Rare,EXO,2,3,None,"First strike, forestwalk, vigilance (This creature deals combat damage before creatures without first strike, it can't be blocked as long as defending player controls a Forest, and attacking doesn't cause this creature to tap.)"
Keeper of the Beasts,2.0,['G'],['G'],None,['Creature'],"['Human', 'Wizard']",Uncommon,EXO,1,2,None,"{G}, {T}: Choose target opponent who controlled more creatures than you did as you activated this ability. Create a 2/2 green Beast creature token."
Jackalope Herd,4.0,['G'],['G'],None,['Creature'],"['Rabbit', 'Beast']",Common,EXO,4,5,None,"When you cast a spell, return Jackalope Herd to its owner's hand."
Elvish Berserker,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Berserker']",Common,EXO,1,1,None,"Whenever Elvish Berserker becomes blocked, it gets +1/+1 until end of turn for each creature blocking it."
Elven Palisade,1.0,['G'],['G'],None,['Enchantment'],None,Uncommon,EXO,None,None,None,Sacrifice a Forest: Target attacking creature gets -3/-0 until end of turn.
Crashing Boars,5.0,['G'],['G'],None,['Creature'],['Boar'],Uncommon,EXO,4,4,None,"Whenever Crashing Boars attacks, defending player chooses an untapped creature they control. That creature blocks Crashing Boars this turn if able."
Sonic Burst,2.0,['R'],['R'],None,['Instant'],None,Common,EXO,None,None,None,"As an additional cost to cast this spell, discard a card at random.\nSonic Burst deals 4 damage to any target."
Cartographer,3.0,['G'],['G'],None,['Creature'],['Human'],Uncommon,EXO,2,2,None,"When Cartographer enters the battlefield, you may return target land card from your graveyard to your hand."
Seismic Assault,3.0,['R'],['R'],None,['Enchantment'],None,Rare,EXO,None,None,None,Discard a land card: Seismic Assault deals 2 damage to any target.
Bequeathal,1.0,['G'],['G'],None,['Enchantment'],['Aura'],Common,EXO,None,None,None,"Enchant creature\nWhen enchanted creature dies, you draw two cards."
Avenging Druid,3.0,['G'],['G'],None,['Creature'],"['Human', 'Druid']",Common,EXO,1,3,None,"Whenever Avenging Druid deals damage to an opponent, you may reveal cards from the top of your library until you reveal a land card. If you do, put that card onto the battlefield and put all other cards revealed this way into your graveyard."
Spellshock,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,EXO,None,None,None,"Whenever a player casts a spell, Spellshock deals 2 damage to that player."
Scalding Salamander,3.0,['R'],['R'],None,['Creature'],['Salamander'],Uncommon,EXO,2,1,None,"Whenever Scalding Salamander attacks, you may have it deal 1 damage to each creature without flying defending player controls."
Sabertooth Wyvern,5.0,['R'],['R'],None,['Creature'],['Drake'],Uncommon,EXO,3,2,None,"Flying, first strike"
Reckless Ogre,4.0,['R'],['R'],None,['Creature'],['Ogre'],Common,EXO,3,2,None,"Whenever Reckless Ogre attacks alone, it gets +3/+0 until end of turn."
Ravenous Baboons,4.0,['R'],['R'],None,['Creature'],['Monkey'],Rare,EXO,2,2,None,"When Ravenous Baboons enters the battlefield, destroy target nonbasic land."
Raging Goblin,1.0,['R'],['R'],None,['Creature'],"['Goblin', 'Berserker']",Common,EXO,1,1,None,Haste (This creature can attack and {T} as soon as it comes under your control.)
Price of Progress,2.0,['R'],['R'],None,['Instant'],None,Uncommon,EXO,None,None,None,Price of Progress deals damage to each player equal to twice the number of nonbasic lands that player controls.
Paroxysm,2.0,['R'],['R'],None,['Enchantment'],['Aura'],Uncommon,EXO,None,None,None,"Enchant creature\nAt the beginning of the upkeep of enchanted creature's controller, that player reveals the top card of their library. If that card is a land card, destroy that creature. Otherwise, it gets +3/+3 until end of turn."
Pandemonium,4.0,['R'],['R'],None,['Enchantment'],None,Rare,EXO,None,None,None,"Whenever a creature enters the battlefield, that creature's controller may have it deal damage equal to its power to any target of their choice."
Onslaught,1.0,['R'],['R'],None,['Enchantment'],None,Common,EXO,None,None,None,"Whenever you cast a creature spell, tap target creature."
Ogre Shaman,5.0,['R'],['R'],None,['Creature'],"['Ogre', 'Shaman']",Rare,EXO,3,3,None,"{2}, Discard a card at random: Ogre Shaman deals 2 damage to any target."
Oath of Mages,2.0,['R'],['R'],None,['Enchantment'],None,Rare,EXO,None,None,None,"At the beginning of each player's upkeep, that player chooses target player who has more life than they do and is their opponent. The first player may have Oath of Mages deal 1 damage to the second player."
Monstrous Hound,4.0,['R'],['R'],None,['Creature'],['Dog'],Rare,EXO,4,4,None,Monstrous Hound can't attack unless you control more lands than defending player.\nMonstrous Hound can't block unless you control more lands than attacking player.
Mogg Assassin,3.0,['R'],['R'],None,['Creature'],"['Goblin', 'Assassin']",Uncommon,EXO,2,1,None,"{T}: You choose target creature an opponent controls, and that opponent chooses target creature. Flip a coin. If you win the flip, destroy the creature you chose. If you lose the flip, destroy the creature your opponent chose."
Maniacal Rage,2.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,EXO,None,None,None,Enchant creature\nEnchanted creature gets +2/+2 and can't block.
Mage il-Vec,3.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Common,EXO,2,2,None,"{T}, Discard a card at random: Mage il-Vec deals 1 damage to any target."
Keeper of the Flame,2.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Uncommon,EXO,1,2,None,"{R}, {T}: Choose target opponent who had more life than you did as you activated this ability. Keeper of the Flame deals 2 damage to that player."
Furnace Brood,4.0,['R'],['R'],None,['Creature'],['Elemental'],Common,EXO,3,3,None,{R}: Target creature can't be regenerated this turn.
Flowstone Flood,4.0,['R'],['R'],None,['Sorcery'],None,Uncommon,EXO,None,None,None,"Buyback—Pay 3 life, Discard a card at random. (You may pay 3 life and discard a card at random in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nDestroy target land."
Fighting Chance,1.0,['R'],['R'],None,['Instant'],None,Rare,EXO,None,None,None,"For each blocking creature, flip a coin. If you win the flip, prevent all combat damage that would be dealt by that creature this turn."
Dizzying Gaze,1.0,['R'],['R'],None,['Enchantment'],['Aura'],Common,EXO,None,None,None,Enchant creature you control\n{R}: Enchanted creature deals 1 damage to target creature with flying.
Cinder Crawler,2.0,['R'],['R'],None,['Creature'],['Salamander'],Common,EXO,1,2,None,{R}: Cinder Crawler gets +1/+0 until end of turn. Activate only if Cinder Crawler is blocked.
Anarchist,5.0,['R'],['R'],None,['Creature'],"['Human', 'Wizard']",Common,EXO,2,2,None,"When Anarchist enters the battlefield, you may return target sorcery card from your graveyard to your hand."
Volrath's Dungeon,4.0,['B'],['B'],None,['Enchantment'],None,Rare,EXO,None,None,None,Pay 5 life: Destroy Volrath's Dungeon. Any player may activate this ability but only during their turn.\nDiscard a card: Target player puts a card from their hand on top of their library. Activate only as a sorcery.
Vampire Hounds,3.0,['B'],['B'],None,['Creature'],"['Vampire', 'Dog']",Common,EXO,2,2,None,Discard a creature card: Vampire Hounds gets +2/+2 until end of turn.
Thrull Surgeon,2.0,['B'],['B'],None,['Creature'],['Thrull'],Common,EXO,1,1,None,"{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Activate only as a sorcery."
Spike Cannibal,3.0,['B'],['B'],None,['Creature'],['Spike'],Uncommon,EXO,0,0,None,"Spike Cannibal enters the battlefield with a +1/+1 counter on it.\nWhen Spike Cannibal enters the battlefield, move all +1/+1 counters from all creatures onto it."
Slaughter,4.0,['B'],['B'],None,['Instant'],None,Uncommon,EXO,None,None,None,"Buyback—Pay 4 life. (You may pay 4 life in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nDestroy target nonblack creature. It can't be regenerated."
Scare Tactics,1.0,['B'],['B'],None,['Instant'],None,Common,EXO,None,None,None,Creatures you control get +1/+0 until end of turn.
Recurring Nightmare,3.0,['B'],['B'],None,['Enchantment'],None,Rare,EXO,None,None,None,"Sacrifice a creature, Return Recurring Nightmare to its owner's hand: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery."
Plaguebearer,2.0,['B'],['B'],None,['Creature'],['Zombie'],Rare,EXO,1,1,None,{X}{X}{B}: Destroy target nonblack creature with mana value X.
Pit Spawn,7.0,['B'],['B'],None,['Creature'],['Demon'],Rare,EXO,6,4,None,"First strike\nAt the beginning of your upkeep, sacrifice Pit Spawn unless you pay {B}{B}.\nWhenever Pit Spawn deals damage to a creature, exile that creature."
Oath of Ghouls,2.0,['B'],['B'],None,['Enchantment'],None,Rare,EXO,None,None,None,"At the beginning of each player's upkeep, that player chooses target player whose graveyard has fewer creature cards in it than their graveyard does and is their opponent. The first player may return a creature card from their graveyard to their hand."
Necrologia,5.0,['B'],['B'],None,['Instant'],None,Uncommon,EXO,None,None,None,"Cast this spell only during your end step.\nAs an additional cost to cast this spell, pay X life.\nDraw X cards."
Nausea,2.0,['B'],['B'],None,['Sorcery'],None,Common,EXO,None,None,None,All creatures get -1/-1 until end of turn.
Mind Maggots,4.0,['B'],['B'],None,['Creature'],['Insect'],Uncommon,EXO,2,2,None,"When Mind Maggots enters the battlefield, discard any number of creature cards. For each card discarded this way, put two +1/+1 counters on Mind Maggots."
