Name,CMC,Colors,Color identity,Supertypes,Types,Subtypes,Rarity,Set,Power,Toughness,Loyalty,Text
Spore Cloud,3.0,['G'],['G'],None,['Instant'],None,Common,FEM,None,None,None,Tap all blocking creatures. Prevent all combat damage that would be dealt this turn. Each attacking creature and each blocking creature doesn't untap during its controller's next untap step.
Night Soil,2.0,['G'],['G'],None,['Enchantment'],None,Common,FEM,None,None,None,"{1}, Exile two creature cards from a single graveyard: Create a 1/1 green Saproling creature token."
Fungal Bloom,2.0,['G'],['G'],None,['Enchantment'],None,Rare,FEM,None,None,None,{G}{G}: Put a spore counter on target Fungus.
Feral Thallid,6.0,['G'],['G'],None,['Creature'],['Fungus'],Uncommon,FEM,6,3,None,"At the beginning of your upkeep, put a spore counter on Feral Thallid.\nRemove three spore counters from Feral Thallid: Regenerate Feral Thallid."
Elvish Scout,1.0,['G'],['G'],None,['Creature'],"['Elf', 'Scout']",Common,FEM,1,1,None,"{G}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by it this turn."
Elvish Hunter,2.0,['G'],['G'],None,['Creature'],"['Elf', 'Archer']",Common,FEM,1,1,None,"{1}{G}, {T}: Target creature doesn't untap during its controller's next untap step."
Elvish Farmer,2.0,['G'],['G'],None,['Creature'],['Elf'],Rare,FEM,0,2,None,"At the beginning of your upkeep, put a spore counter on Elvish Farmer.\nRemove three spore counters from Elvish Farmer: Create a 1/1 green Saproling creature token.\nSacrifice a Saproling: You gain 2 life."
Elven Fortress,1.0,['G'],['G'],None,['Enchantment'],None,Common,FEM,None,None,None,{1}{G}: Target blocking creature gets +0/+1 until end of turn.
Raiding Party,3.0,['R'],['R'],None,['Enchantment'],None,Uncommon,FEM,None,None,None,"Raiding Party can't be the target of white spells or abilities from white sources.\nSacrifice an Orc: Each player may tap any number of untapped white creatures they control. For each creature tapped this way, that player chooses up to two Plains. Then destroy all Plains that weren't chosen this way by any player."
Orgg,5.0,['R'],['R'],None,['Creature'],['Orgg'],Rare,FEM,6,6,None,Trample\nOrgg can't attack if defending player controls an untapped creature with power 3 or greater.\nOrgg can't block creatures with power 3 or greater.
Orcish Veteran,3.0,['R'],['R'],None,['Creature'],['Orc'],Common,FEM,2,2,None,Orcish Veteran can't block white creatures with power 2 or greater.\n{R}: Orcish Veteran gains first strike until end of turn.
Orcish Spy,1.0,['R'],['R'],None,['Creature'],"['Orc', 'Rogue']",Common,FEM,1,1,None,{T}: Look at the top three cards of target player's library.
